patch_id,tls,tgfb,emt,hypoxia,mhc,icp,ifng,toxic
patch_x4641_y16969,-495.8037460482883,2359.4474235904217,2134.1518011110275,-307.58481822695285,3265.680105895979,-3583.0189782632697,-3273.916694251352,-1585.191217036302
patch_x5649_y8681,-1498.8293059693242,1966.6507778881205,-9.50314465408701,2946.1964280189823,2844.656885996359,-3786.41961822796,-3493.8227959836686,-1859.1151936444894
patch_x10017_y4313,-1128.7068299680031,2497.1596601566816,433.1433300231711,-207.95734539637124,3413.6882687110465,-3521.6653426017874,-3212.5630585898707,-1500.4965243296901
patch_x9681_y18089,-1419.3029901798527,2059.5148405605196,79.69303762550953,-533.2470458432181,2963.6634493409074,-3715.896281584465,-3419.298135275295,-1778.4218250027589
patch_x2961_y15625,-1878.621648460773,4842.496458771671,1581.2781983120913,-1048.5891543002153,8031.942970602835,-4017.996248482843,-1455.6310435265286,-2221.235021516055
patch_x6321_y9129,-1098.061791571723,2283.0944391412286,1444.9433186281694,1382.3612742321857,8655.977386796096,-4097.022398764207,-3815.095774026262,-2287.0901467505246
patch_x7777_y10137,-1674.5541211519358,4359.508593640554,-220.2395454043908,2665.497665462428,2566.6415531410294,-3906.292618338298,-3614.8628489462653,-2027.1708043694134
patch_x7441_y18313,-1670.5527970870571,2833.7582845449415,-215.4046121593292,2669.658430225134,2574.6419943742767,-3896.956195520246,-3606.860200816506,-2019.835043583802
patch_x10017_y11145,-1612.3668763102714,1776.754606642391,-149.88293059693387,2752.1151847682577,8441.96558380674,-3854.7755710029787,-3560.1780867262505,-1964.3166721836042
patch_x7441_y16297,-569.5052651114183,2224.569458236787,2031.1560959843755,-413.6140563799854,9044.998841762726,-970.6372776571598,-3341.939203354298,-1674.3873993158977
patch_x11025_y12713,-1540.343043142445,2695.518711547238,2687.5710149438346,1899.4311532454667,2755.6519772764877,-3804.2588546838797,-1473.1716818088635,-1898.62826878517
patch_x6433_y16633,769.2371039917471,2406.2962595167137,2592.6717121056736,-273.5754399514535,8970.994760355194,-3560.0113648902125,-3252.076133730553,-1557.1819485821497
patch_x3857_y10697,-1744.2438486152469,1608.8657177535042,-297.4317554893514,2873.157518631888,8824.986707848437,-3958.6432748538,-3673.715657067196,-2089.524771047115
patch_x11809_y5433,-1115.7025267571435,2512.8315127441256,446.98124241421283,-193.75342858718977,3428.689096023385,-3512.1621979476986,-3203.0599139357846,-1489.8263268233459
patch_x10241_y4537,-1115.5358049211054,2512.8315127441238,446.98124241421465,-193.35331825453613,3433.689371794164,-3510.661701423368,-3199.892199051087,-1487.9923866269437
patch_x2513_y14729,-1507.498841443231,3066.5891608456586,6022.971432913866,2913.0812387262395,9029.998014450388,-3783.4186251793008,-3487.8208098863524,511.57883912092257
patch_x5425_y10585,-1986.82412004855,3200.437654728541,3252.9905676721573,-1154.618392453247,7958.9389443494565,-2190.846574606542,-3845.7725918570013,-2319.767626613705
patch_x11585_y14729,-1292.2609511199398,2264.916142557653,238.91239104049237,-384.6060572626484,8994.996084054934,-2034.4616135699553,-462.4340401286372,-1657.0483283680906
patch_x12481_y6329,-1127.2063334436734,2499.827209533265,434.810548383537,-204.35635240249394,3417.688489327671,-3519.8314024053843,-3210.7291183934676,-1498.162418625181
patch_x13041_y1849,-1131.7078230166617,2490.8242303872903,427.974953106037,-210.5580625586117,3411.688158402736,-3523.4992827981905,-3213.0632240979803,-1503.6642392143876
patch_x9009_y9129,-1669.2190223987636,3585.2211608241123,-209.7360697340846,1759.1458873024694,8334.959682312063,-3907.6263930265923,-914.025208385945,-2018.8347125675837
patch_x5649_y11145,-1171.690412402022,3535.854492221899,1324.6625761065352,3889.311969032413,8891.99040317688,-4168.546066423923,-3891.9545404391492,-2381.1212622751837
patch_x10801_y18985,-1450.980139026813,2022.335871124351,48.68277612269412,-564.855762122801,9032.998179912856,-3748.5737614476457,-3450.3083967781085,-1809.0986428334982
