pathway,enabled,fallback_reason,baseline_raw_r2,calibrated_raw_r2,delta_raw_r2,baseline_raw_mae,calibrated_raw_mae,delta_raw_mae,median_patient_raw_mae_base,median_patient_raw_mae_calibrated,nonworse_patient_z_mse_count,outer_slope_mean,outer_slope_std,outer_slope_stability_ratio
tls,False,patient_median_raw_mae_not_lower;outer_oof_raw_mae_worsened,0.7063789877689113,0.7065242680702236,0.00014528030131233383,592.1129825078438,592.4214535436334,0.3084710357896938,604.2886049378334,604.3453612051457,4,0.9990243483479215,0.0002381225747840451,0.0002383551239709775
tgfb,False,fewer_than_4_of_6_patient_z_mse_nonworse;patient_median_raw_mae_not_lower;outer_oof_raw_r2_not_improved;outer_oof_raw_mae_worsened,0.5677518795180014,0.5675822278580827,-0.00016965165991877917,873.6741856536144,873.8839963305987,0.20981067698437528,806.353832547534,806.5899166654125,1,1.0025508163865797,0.0015546956676133162,0.001550739999104875
emt,False,fewer_than_4_of_6_patient_z_mse_nonworse;patient_median_raw_mae_not_lower;outer_oof_raw_mae_worsened,0.6311605868175749,0.6311879823127156,2.7395495140636328e-05,1002.8793656063093,1003.0316796991343,0.15231409282500863,930.4659090728728,930.7559725594131,3,0.997376569050041,0.000457126637591428,0.0004583290275643145
hypoxia,False,patient_median_raw_mae_not_lower,0.5673617741871512,0.5678969261000464,0.0005351519128952154,1303.6160518913853,1302.1462622663196,-1.4697896250656868,1322.5339555272658,1322.978118173975,5,0.9984825494868036,0.0010573136480010717,0.0010589204968632661
mhc,False,patient_median_raw_mae_not_lower;outer_oof_raw_mae_worsened,0.4417953036430414,0.441850006251322,5.470260828055462e-05,938.1997538412528,938.4190485270951,0.21929468584232836,476.00824642315746,476.1451349813098,5,0.9978931453980541,0.0006632129822563698,0.0006646132190292635
icp,True,,0.3143847451010293,0.3144900629129709,0.0001053178119415632,949.6872278581254,948.2780845600608,-1.4091432980645777,1146.4632730192693,1145.277335758791,5,0.9945779069769131,0.0020019249101155545,0.00201283868859721
ifng,False,outer_oof_raw_mae_worsened,0.4372947894646072,0.4376249035097546,0.0003301140451473783,1694.6455939370244,1694.6943110495465,0.04871711252212663,1706.7459870818175,1705.8933181569942,6,0.9948629214936971,0.0007110162459662752,0.0007146876453611034
toxic,False,fewer_than_4_of_6_patient_z_mse_nonworse;patient_median_raw_mae_not_lower;outer_oof_raw_r2_not_improved;outer_oof_raw_mae_worsened,0.47126336479063013,0.4708257601694298,-0.00043760462120034926,987.5563266833891,988.1000321985541,0.5437055151650156,1102.612483457117,1102.862301342766,1,1.0024757471568355,0.0010219350742292862,0.0010194112595078011
Glycolysis,False,fewer_than_4_of_6_patient_z_mse_nonworse;patient_median_raw_mae_not_lower;outer_oof_raw_r2_not_improved;outer_oof_raw_mae_worsened,0.7079642555261987,0.7078192195712271,-0.00014503595497161736,739.4363301621053,739.6901927521241,0.2538625900187981,741.8989195507617,742.3349242187046,0,0.99966483115464,0.000999390018514058,0.0009997250852192975
Inflammatory_Response,False,fewer_than_4_of_6_patient_z_mse_nonworse;patient_median_raw_mae_not_lower;outer_oof_raw_r2_not_improved;outer_oof_raw_mae_worsened,0.6322976740153078,0.6320273714601984,-0.00027030255510940293,906.3069423348662,906.8345467420698,0.5276044072036257,901.9507472102739,903.0937430651518,3,1.0002500047759055,0.0016823364470912774,0.001681915943253633
IL6_JAK_STAT3,False,fewer_than_4_of_6_patient_z_mse_nonworse;patient_median_raw_mae_not_lower;outer_oof_raw_r2_not_improved;outer_oof_raw_mae_worsened,0.7015502776991559,0.7013499022439879,-0.00020037545516804478,820.5686345143693,821.1000320153676,0.5313975009983096,836.1663844433426,836.4126328383397,2,0.9992989324836966,0.000534887383216882,0.0005352626331090194
P53_Pathway,False,fewer_than_4_of_6_patient_z_mse_nonworse;patient_median_raw_mae_not_lower;outer_oof_raw_r2_not_improved;outer_oof_raw_mae_worsened,0.6086388980880546,0.6083735757391784,-0.00026532234887621797,821.3193941481522,821.6227646858869,0.3033705377346223,773.4636072809981,774.8174904945664,2,1.000975080981889,0.0008341095316777183,0.0008332969912962702
DNA_Damage_Response,False,fewer_than_4_of_6_patient_z_mse_nonworse;outer_oof_raw_r2_not_improved;outer_oof_raw_mae_worsened,0.5744863929978208,0.5742575847458399,-0.00022880825198090537,733.2326058154285,733.6841330945224,0.4515272790938525,787.823870081151,787.432492464297,2,1.0008408517353296,0.001140244208453788,0.0011392862262605376
Complement,False,fewer_than_4_of_6_patient_z_mse_nonworse;patient_median_raw_mae_not_lower;outer_oof_raw_r2_not_improved,0.626655852599715,0.6263550874897992,-0.00030076510991583483,854.5988250330315,854.4136736991248,-0.18515133390667415,981.1443463650702,981.2958650143146,2,0.9982217809826776,0.00134052490980909,0.001342912889618889
Coagulation,False,outer_oof_raw_r2_not_improved,0.545699413349487,0.5455424366497096,-0.00015697669977743356,527.4128316928708,527.1867268599528,-0.22610483291794026,541.3068265846975,541.0846660613554,4,1.0003063774896077,0.0013701333614141542,0.0013697136982726591
Oxidative_Phosphorylation,False,fewer_than_4_of_6_patient_z_mse_nonworse;patient_median_raw_mae_not_lower;outer_oof_raw_r2_not_improved;outer_oof_raw_mae_worsened,0.8007613044699531,0.8007141296538152,-4.7174816137918185e-05,813.063891831442,813.6658614785013,0.6019696470592635,824.830373746774,825.5198675960085,3,0.9986263337792932,0.0006435641762243593,0.0006444494281903239
Reactive_Oxygen_Species,False,patient_median_raw_mae_not_lower;outer_oof_raw_r2_not_improved;outer_oof_raw_mae_worsened,0.42630372683020223,0.4261860598825664,-0.00011766694763581942,683.3648557361774,683.5795937905765,0.21473805439904936,686.1072278564932,686.1759345879352,4,0.9980410105780737,0.0006197970433614841,0.00062101359621721
Wound_Healing,False,fewer_than_4_of_6_patient_z_mse_nonworse;patient_median_raw_mae_not_lower;outer_oof_raw_r2_not_improved;outer_oof_raw_mae_worsened,0.7776571986331532,0.7775406374633851,-0.00011656116976810349,759.783374939107,759.9657721969969,0.1823972578898747,742.2882463374125,742.503031032405,2,1.0015450318151593,0.0009055852096578513,0.0009041882010784115
Fibrosis,False,outer_oof_raw_r2_not_improved,0.8067599151309804,0.8067577939169607,-2.1212140197679474e-06,965.4756213477988,965.300807777604,-0.17481357019482857,901.8535889527623,901.5146721602468,4,1.0018995156627184,0.0002405968920175754,0.00024014073852208855
MYC_Targets,False,fewer_than_4_of_6_patient_z_mse_nonworse;patient_median_raw_mae_not_lower;outer_oof_raw_r2_not_improved;outer_oof_raw_mae_worsened,0.810307275149678,0.8102304272144959,-7.684793518214494e-05,1071.3644070707282,1071.5362740328387,0.17186696211047092,1086.4146465329566,1086.5804814820394,3,1.0011458952837409,0.0004063960564344396,0.0004059308980735035
