pathway,baseline_raw_r2,calibrated_raw_r2,delta_raw_r2,baseline_raw_mae,calibrated_raw_mae,delta_raw_mae,baseline_pcc,calibrated_pcc
tls,0.38636895043839303,0.38636895043839303,0.0,1178.2267359477232,1178.2267359477232,0.0,0.66398694973013,0.66398694973013
tgfb,0.08320535300564746,0.08320535300564746,0.0,847.5146751116738,847.5146751116738,0.0,0.43903472678560207,0.43903472678560207
emt,0.17257837188166636,0.17257837188166636,0.0,869.8545799863355,869.8545799863355,0.0,0.5918671407677207,0.5918671407677207
hypoxia,0.03963418867963697,0.03963418867963697,0.0,1143.814110590295,1143.814110590295,0.0,0.3555700616231422,0.3555700616231422
mhc,0.21835453475610422,0.21835453475610422,0.0,425.56124414744147,425.56124414744147,0.0,0.5032254594953265,0.5032254594953265
icp,-0.307725356548999,-0.30833260337536683,-0.0006072468263678132,1726.5154009248738,1726.9183283743805,0.40292744950670567,0.30584107611413425,0.30584107611413425
ifng,-0.3741041801445575,-0.3741041801445575,0.0,1845.3599149908255,1845.3599149908255,0.0,0.15060565879049495,0.15060565879049495
toxic,0.11746255396386518,0.11746255396386518,0.0,1594.8491520268567,1594.8491520268567,0.0,0.3802570834244679,0.3802570834244679
Glycolysis,-0.40584123842597575,-0.40584123842597575,0.0,1029.8651051785666,1029.8651051785666,0.0,0.6073809749322643,0.6073809749322643
Inflammatory_Response,0.19196587971703194,0.19196587971703194,0.0,1348.6907257231373,1348.6907257231373,0.0,0.4489064159039051,0.4489064159039051
IL6_JAK_STAT3,-0.32629065674481894,-0.32629065674481894,0.0,1215.704886519293,1215.704886519293,0.0,0.5584903307397228,0.5584903307397228
P53_Pathway,-0.2763090352977946,-0.2763090352977946,0.0,1205.826915503647,1205.826915503647,0.0,0.5617481612020473,0.5617481612020473
DNA_Damage_Response,-0.16611754532726186,-0.16611754532726186,0.0,1078.3234257272038,1078.3234257272038,0.0,0.5041214406174793,0.5041214406174793
Complement,-1.694794006752065,-1.694794006752065,0.0,2058.585426103899,2058.585426103899,0.0,0.36128576791316236,0.36128576791316236
Coagulation,0.1324687726026995,0.1324687726026995,0.0,553.1261609417287,553.1261609417287,0.0,0.42860532269722934,0.42860532269722934
Oxidative_Phosphorylation,0.6128963380644099,0.6128963380644099,0.0,702.5372076749677,702.5372076749677,0.0,0.7854307111791455,0.7854307111791455
Reactive_Oxygen_Species,-0.5280710591823379,-0.5280710591823379,0.0,855.5255749528155,855.5255749528155,0.0,0.28059079569286816,0.28059079569286816
Wound_Healing,0.336362170261597,0.336362170261597,0.0,808.9291361452321,808.9291361452321,0.0,0.6335773292191307,0.6335773292191307
Fibrosis,0.512135037285919,0.512135037285919,0.0,1077.3604235216903,1077.3604235216903,0.0,0.7206142753278977,0.7206142753278977
MYC_Targets,0.4073893825920357,0.4073893825920357,0.0,982.4016059364344,982.4016059364344,0.0,0.7729682828699456,0.7729682828699456
E2F_Targets,0.0011873488603014737,0.0011873488603014737,0.0,1229.8409829246207,1229.8409829246207,0.0,0.6338882302821979,0.6338882302821979
G2M_Checkpoint,-0.19134676819013863,-0.19134676819013863,0.0,1899.2600324743275,1899.2600324743275,0.0,0.6742574845520563,0.6742574845520563
Mitotic_Spindle,-0.09960305101121492,-0.09960305101121492,0.0,1540.587489113689,1540.587489113689,0.0,0.6354781658498119,0.6354781658498119
Unfolded_Protein_Response,0.13969131721038708,0.13969131721038708,0.0,1008.6035752670011,1008.6035752670011,0.0,0.6025634370370728,0.6025634370370728
mTOR_Signaling,0.3904013826778301,0.3904013826778301,0.0,735.0332123827197,735.0332123827197,0.0,0.6623655704256955,0.6623655704256955
Interferon_Alpha,-2.6751053783419865,-2.6751053783419865,0.0,1904.6700871651312,1904.6700871651312,0.0,0.21723214005805583,0.21723214005805583
Angiogenesis,0.3150827482024734,0.3150827482024734,0.0,1218.0562699419245,1218.0562699419245,0.0,0.6370193712361414,0.6370193712361414
Apoptosis,0.0903887225938308,0.0903887225938308,0.0,767.5715575665446,767.5715575665446,0.0,0.42524181345045514,0.42524181345045514
TNF_Signaling,-0.27495764543330403,-0.27495764543330403,0.0,1355.9178568500229,1355.9178568500229,0.0,0.30415236445966204,0.30415236445966204
ECM_Organization,0.532193669386217,0.532193669386217,0.0,1078.227683146989,1078.227683146989,0.0,0.7352796536234457,0.7352796536234457
