epoch,train_loss,train_pcc,is_best,val_loss,val_pcc,val_mae,val_r2
1,0.437123,0.751199,False,0.350098,0.815796,0.440982,0.662421
2,0.318175,0.825779,False,0.333079,0.825079,0.428716,0.679195
3,0.295528,0.839367,False,0.332251,0.825715,0.426331,0.679873
4,0.281767,0.847543,False,0.324474,0.829952,0.421236,0.687133
5,0.270542,0.854126,False,0.32054,0.83225,0.417645,0.69121
6,0.26173,0.859268,False,0.320527,0.832178,0.417341,0.691246
7,0.254614,0.863403,False,0.319472,0.833103,0.416867,0.691869
8,0.247925,0.867269,False,0.318859,0.833234,0.416403,0.692778
9,0.242162,0.870593,False,0.317799,0.834441,0.414597,0.693635
10,0.235932,0.874159,True,0.316594,0.834697,0.414122,0.694842
11,0.230931,0.877015,False,0.320261,0.832748,0.415324,0.691259
12,0.225465,0.880127,False,0.318476,0.834133,0.413797,0.693178
13,0.22062,0.882881,False,0.319391,0.833146,0.415294,0.692058
14,0.216304,0.885322,False,0.318117,0.834957,0.414004,0.693324
15,0.211503,0.88803,False,0.32133,0.832125,0.416844,0.69038
16,0.207488,0.890291,False,0.320753,0.832616,0.415432,0.691031
17,0.203502,0.892529,False,0.318247,0.834348,0.413714,0.69314
18,0.198796,0.895153,False,0.324859,0.830919,0.419501,0.686512
19,0.195292,0.897111,False,0.319856,0.833097,0.415988,0.69156
20,0.191089,0.899449,False,0.324553,0.830891,0.418601,0.687132
