epoch,train_loss,train_pcc,is_best,val_loss,val_pcc,val_mae,val_r2
1,0.509191,0.701336,False,0.424171,0.767445,0.492295,0.58739
2,0.402481,0.773023,False,0.407,0.778503,0.477062,0.603989
3,0.383692,0.785066,False,0.397646,0.783666,0.471586,0.613146
4,0.370281,0.793578,False,0.391254,0.787308,0.466336,0.619317
5,0.36145,0.799104,False,0.389067,0.788658,0.466614,0.621396
6,0.353243,0.804231,False,0.384042,0.79167,0.45921,0.626302
7,0.34711,0.808035,False,0.38218,0.792653,0.458292,0.628098
8,0.340533,0.812092,False,0.382341,0.792702,0.459914,0.62795
9,0.335035,0.81548,False,0.379306,0.794381,0.456905,0.630864
10,0.330399,0.818309,False,0.37912,0.794523,0.457121,0.631059
11,0.325742,0.821168,False,0.378213,0.795064,0.457702,0.631914
12,0.320973,0.824066,False,0.377422,0.795598,0.456035,0.632697
13,0.316098,0.827018,False,0.376894,0.795995,0.455471,0.63324
14,0.31164,0.829719,False,0.375988,0.796584,0.455068,0.634099
15,0.307963,0.831926,True,0.374886,0.797126,0.454207,0.635124
16,0.30388,0.834384,False,0.375114,0.796941,0.454688,0.634866
17,0.299608,0.836947,False,0.3751,0.797097,0.452635,0.634932
18,0.295757,0.839251,False,0.375747,0.796638,0.454956,0.634282
19,0.291545,0.841753,False,0.377072,0.79575,0.455823,0.632966
20,0.286869,0.844538,False,0.375358,0.797172,0.455032,0.634614
21,0.283887,0.84632,False,0.376745,0.797188,0.456051,0.633354
22,0.279492,0.848891,False,0.37543,0.797252,0.454856,0.634594
23,0.275551,0.851225,False,0.377634,0.79547,0.45477,0.63241
24,0.2717,0.853493,False,0.377873,0.795445,0.454606,0.63218
25,0.268298,0.855478,False,0.377759,0.795919,0.455636,0.632329
