pathway,pcc,r2,mae,mae_raw,r2_raw
Oxidative_Phosphorylation,0.7860688,0.6136341,0.28833762,701.281494140625,0.6136341094970703
MYC_Targets,0.77556694,0.41109276,0.30885327,977.1229858398438,0.41109275817871094
ECM_Organization,0.7329555,0.52640104,0.3415122,1082.3538818359375,0.5264010429382324
Fibrosis,0.71919835,0.51153123,0.3872871,1074.936279296875,0.5115312337875366
G2M_Checkpoint,0.67886704,-0.17352629,0.8741723,1881.6754150390625,-0.17352628707885742
mTOR_Signaling,0.66169834,0.38571966,0.41016906,739.0693969726562,0.3857196569442749
tls,0.65130657,0.36505932,0.7534654,1191.429443359375,0.3650593161582947
Mitotic_Spindle,0.6394238,-0.08512616,0.82741946,1526.9383544921875,-0.08512616157531738
Angiogenesis,0.63753206,0.3200181,0.6853687,1211.1063232421875,0.32001811265945435
E2F_Targets,0.6362612,0.022124648,0.59989417,1215.05517578125,0.022124648094177246
Wound_Healing,0.63201046,0.3398288,0.40300855,806.3103637695312,0.3398287892341614
Glycolysis,0.6102678,-0.41370654,0.5948751,1033.822998046875,-0.41370654106140137
Unfolded_Protein_Response,0.60742277,0.15922832,0.5166655,993.3726196289062,0.15922832489013672
emt,0.58793634,0.13250971,0.41447508,890.5255737304688,0.13250970840454102
P53_Pathway,0.5666295,-0.27422118,0.7184456,1204.792724609375,-0.27422118186950684
IL6_JAK_STAT3,0.5636171,-0.3103236,0.61298704,1205.8765869140625,-0.3103235960006714
mhc,0.5084118,0.23165172,0.16322573,360.5563659667969,0.23165172338485718
DNA_Damage_Response,0.50292206,-0.16344607,0.7323638,1076.943603515625,-0.1634460687637329
Inflammatory_Response,0.4483671,0.19199353,0.7025526,1342.900390625,0.19199353456497192
tgfb,0.43471903,0.079959095,0.50029254,847.3511352539062,0.07995909452438354
Apoptosis,0.43059936,0.098911226,0.48797253,762.34375,0.09891122579574585
Coagulation,0.42354745,0.13044441,0.55669564,553.4778442382812,0.13044440746307373
toxic,0.38221952,0.10994488,0.82607234,1584.4254150390625,0.10994488000869751
hypoxia,0.35838458,0.044751287,0.45439357,1141.7886962890625,0.04475128650665283
Complement,0.35768315,-1.7239261,1.1824806,2066.578125,-1.723926067352295
icp,0.3051537,-0.42128134,1.1881436,1802.25537109375,-0.4212813377380371
TNF_Signaling,0.29557928,-0.28595984,0.6220383,1361.42919921875,-0.2859598398208618
Reactive_Oxygen_Species,0.29222134,-0.48436654,0.74094516,839.8872680664062,-0.4843665361404419
Interferon_Alpha,0.21839742,-2.6603334,1.020186,1898.482177734375,-2.6603333950042725
ifng,0.170469,-0.38132703,0.63806856,1852.3890380859375,-0.3813270330429077
