pathway,pcc,r2,mae
Oxidative_Phosphorylation,0.74702823,0.43744045,0.4231015
ECM_Organization,0.7383735,0.5381969,0.37143686
Fibrosis,0.7288304,0.5152923,0.43265766
MYC_Targets,0.701494,-0.23687994,0.54053235
Wound_Healing,0.67209584,0.35652876,0.44375652
G2M_Checkpoint,0.65868896,-0.5568073,1.2805403
tls,0.6420415,0.32921487,1.0344647
Mitotic_Spindle,0.62523943,-0.21994877,1.0967298
E2F_Targets,0.6252387,-0.10348868,0.79119915
mTOR_Signaling,0.6138915,0.11399448,0.582612
Angiogenesis,0.6135791,0.16753483,0.96268106
Unfolded_Protein_Response,0.57947105,-0.28568256,0.7530161
Glycolysis,0.56484157,-1.3428977,0.8693378
emt,0.5531376,0.08377212,0.4150982
IL6_JAK_STAT3,0.5475911,-0.7595304,0.78525317
P53_Pathway,0.51801205,-0.8205477,0.9922943
DNA_Damage_Response,0.45071894,-0.3592099,0.99813265
tgfb,0.4424928,-0.043993115,0.59158784
Inflammatory_Response,0.4298111,0.15740436,0.85566044
Apoptosis,0.41636646,-0.08422053,0.6398766
Coagulation,0.41476575,0.12471348,0.60393894
Complement,0.41246265,-1.3818636,1.3600123
mhc,0.38975525,0.061968386,0.19317962
hypoxia,0.37356228,-0.047246695,0.48541835
toxic,0.32748717,0.08814752,1.1711252
icp,0.31321374,-0.24648917,1.4231027
TNF_Signaling,0.27738643,-0.6246035,0.8240891
Reactive_Oxygen_Species,0.2726295,-0.9379736,0.92653847
Interferon_Alpha,0.22961645,-2.8997207,1.2424016
ifng,0.19111833,-0.4945593,0.7443521
