pathway,pcc,r2,mae,mae_raw,r2_raw
Oxidative_Phosphorylation,0.70837104,0.3245293,0.48717156,1039.850341796875,0.3245292901992798
G2M_Checkpoint,0.6695639,-0.47322857,1.3042178,2152.563720703125,-0.4732285737991333
Fibrosis,0.6627809,0.23204005,0.576227,1403.430908203125,0.23204004764556885
tls,0.6574761,0.347533,1.0690901,1320.165771484375,0.3475329875946045
ECM_Organization,0.65005803,0.34714895,0.46438166,1342.8492431640625,0.34714895486831665
MYC_Targets,0.6460815,-0.5872154,0.6375375,1845.34716796875,-0.5872154235839844
E2F_Targets,0.6403959,-0.2093426,0.87515044,1383.576416015625,-0.2093425989151001
Mitotic_Spindle,0.6305896,-0.24965763,1.1594342,1657.352294921875,-0.24965763092041016
mTOR_Signaling,0.59054524,-0.00096583366,0.647825,995.2100219726562,-0.0009658336639404297
Angiogenesis,0.5676734,0.2659303,0.9080578,1250.3919677734375,0.26593029499053955
Wound_Healing,0.55252385,-0.011636257,0.5755511,1020.7496337890625,-0.01163625717163086
emt,0.52770907,0.21377867,0.38661587,851.2552490234375,0.21377867460250854
Glycolysis,0.5187588,-1.3682668,0.894541,1417.7801513671875,-1.3682668209075928
DNA_Damage_Response,0.51358855,-0.3520981,1.0513793,1181.627197265625,-0.35209810733795166
Unfolded_Protein_Response,0.48057824,-0.46373892,0.8251306,1376.0955810546875,-0.46373891830444336
P53_Pathway,0.46994072,-1.180047,1.131345,1663.9515380859375,-1.1800470352172852
IL6_JAK_STAT3,0.44650885,-0.968097,0.8425354,1536.1673583984375,-0.9680969715118408
Coagulation,0.390704,0.0876143,0.6523603,575.6533813476562,0.08761429786682129
Apoptosis,0.38599953,-0.123624206,0.67821467,879.3633422851562,-0.12362420558929443
tgfb,0.3776946,-0.3377316,0.72804004,1091.4237060546875,-0.33773159980773926
mhc,0.37467042,0.07851964,0.18868582,489.20751953125,0.07851964235305786
toxic,0.36598635,0.1303922,1.2126898,1663.579833984375,0.1303921937942505
Inflammatory_Response,0.34273925,0.018725812,0.9587937,1436.7646484375,0.018725812435150146
hypoxia,0.32681277,-0.0635792,0.4885832,1204.2386474609375,-0.06357920169830322
Complement,0.2953435,-2.5611157,1.7902014,2426.753662109375,-2.5611157417297363
icp,0.28126535,-0.19557166,1.4892421,1657.6580810546875,-0.1955716609954834
Reactive_Oxygen_Species,0.27417225,-0.9711118,0.9668603,1008.4890747070312,-0.9711117744445801
Interferon_Alpha,0.1613828,-3.1153517,1.2607503,2040.78369140625,-3.115351676940918
TNF_Signaling,0.15190268,-0.8791678,0.9274854,1712.2274169921875,-0.8791677951812744
ifng,0.106692664,-0.50962687,0.77895296,1924.7789306640625,-0.5096268653869629
