pathway,pcc,r2,mae,mae_raw,r2_raw
Oxidative_Phosphorylation,0.78543067,0.6128963,0.2888539,702.5372314453125,0.6128963232040405
MYC_Targets,0.7729683,0.4073894,0.31052172,982.4015502929688,0.40738940238952637
ECM_Organization,0.7352796,0.53219366,0.34021026,1078.227783203125,0.532193660736084
Fibrosis,0.72061425,0.5121351,0.3881605,1077.3604736328125,0.5121350884437561
G2M_Checkpoint,0.67425746,-0.19134688,0.8823416,1899.2598876953125,-0.1913468837738037
tls,0.66398686,0.38636893,0.745116,1178.2266845703125,0.38636893033981323
mTOR_Signaling,0.6623656,0.3904013,0.4079291,735.033203125,0.39040130376815796
Angiogenesis,0.63701934,0.31508273,0.68930167,1218.05615234375,0.31508272886276245
Mitotic_Spindle,0.6354781,-0.099603176,0.83481574,1540.5875244140625,-0.09960317611694336
E2F_Targets,0.63388824,0.0011873841,0.60719424,1229.8409423828125,0.0011873841285705566
Wound_Healing,0.63357735,0.33636224,0.40431744,808.9291381835938,0.33636224269866943
Glycolysis,0.6073809,-0.40584135,0.59259766,1029.8651123046875,-0.4058413505554199
Unfolded_Protein_Response,0.6025635,0.1396913,0.5245874,1008.6035766601562,0.1396912932395935
emt,0.59186715,0.1725784,0.40485424,869.8545532226562,0.17257839441299438
P53_Pathway,0.5617482,-0.27630925,0.7190624,1205.826904296875,-0.2763092517852783
IL6_JAK_STAT3,0.55849034,-0.3262906,0.6179832,1215.704833984375,-0.3262906074523926
DNA_Damage_Response,0.5041214,-0.16611755,0.73330224,1078.323486328125,-0.16611754894256592
mhc,0.50322556,0.21835452,0.19265378,425.5612487792969,0.21835452318191528
Inflammatory_Response,0.4489064,0.19196582,0.70558184,1348.6907958984375,0.19196581840515137
tgfb,0.43903473,0.0832054,0.5003891,847.5146484375,0.08320540189743042
Coagulation,0.4286054,0.13246876,0.5563418,553.1261596679688,0.13246876001358032
Apoptosis,0.42524183,0.090388775,0.49131882,767.5715942382812,0.09038877487182617
toxic,0.38025707,0.117462635,0.8315071,1594.84912109375,0.1174626350402832
Complement,0.36128575,-1.6947944,1.1779073,2058.585693359375,-1.6947944164276123
hypoxia,0.3555701,0.039634228,0.4551996,1143.814208984375,0.03963422775268555
icp,0.30584112,-0.3077253,1.1382118,1726.5155029296875,-0.30772531032562256
TNF_Signaling,0.30415234,-0.27495766,0.6195201,1355.9178466796875,-0.27495765686035156
Reactive_Oxygen_Species,0.2805908,-0.52807117,0.75474125,855.5255737304688,-0.5280711650848389
Interferon_Alpha,0.21723214,-2.675105,1.0235112,1904.670166015625,-2.675105094909668
ifng,0.15060565,-0.37410426,0.6356473,1845.35986328125,-0.37410426139831543
