pathway,pcc,mae_raw,r2_raw
Oxidative_Phosphorylation,0.7829152,726.6954956054688,0.5953185558319092
MYC_Targets,0.76679873,1098.5093994140625,0.3138962388038635
ECM_Organization,0.7145845,1131.2816162109375,0.5010972023010254
Fibrosis,0.6999367,1159.15576171875,0.4490465521812439
G2M_Checkpoint,0.6715159,1738.9881591796875,-0.017958998680114746
tls,0.6704622,1221.836669921875,0.3930903673171997
mTOR_Signaling,0.63638717,792.0426025390625,0.30926764011383057
Angiogenesis,0.6307937,1271.281005859375,0.2740895748138428
Mitotic_Spindle,0.6294636,1342.6871337890625,0.12599849700927734
E2F_Targets,0.6286992,1139.6124267578125,0.11632037162780762
Glycolysis,0.61874497,1127.049560546875,-0.6133781671524048
Wound_Healing,0.61865926,851.7947387695312,0.2723543643951416
Unfolded_Protein_Response,0.58985364,1062.4522705078125,0.06086325645446777
emt,0.583491,821.05810546875,0.25920605659484863
IL6_JAK_STAT3,0.5754129,1316.0086669921875,-0.48695945739746094
P53_Pathway,0.5493419,1230.866943359375,-0.33165276050567627
mhc,0.5056692,380.9192810058594,0.2534877061843872
DNA_Damage_Response,0.47828898,1029.68603515625,-0.09008955955505371
Inflammatory_Response,0.43823078,1349.2537841796875,0.15376347303390503
Apoptosis,0.4323472,776.2454223632812,0.0833669900894165
tgfb,0.41860473,856.3937377929688,0.06669485569000244
Coagulation,0.40932673,576.5517578125,0.06872189044952393
hypoxia,0.37435392,1168.61572265625,0.014629065990447998
Complement,0.36126548,2265.826904296875,-2.1914854049682617
toxic,0.34236318,1656.8951416015625,0.09667861461639404
Reactive_Oxygen_Species,0.3213799,885.5265502929688,-0.6000291109085083
TNF_Signaling,0.30692068,1412.6544189453125,-0.35409796237945557
icp,0.29840332,1787.3724365234375,-0.3915344476699829
Interferon_Alpha,0.20952022,2064.70654296875,-3.2681822776794434
ifng,0.08077062,2055.978759765625,-0.7240862846374512
