epoch,train_loss,train_pcc,is_best,val_loss,val_pcc,val_mae,val_r2
1,0.552409,0.672727,False,0.435983,0.759811,0.497233,0.575767
2,0.452839,0.741946,False,0.421277,0.770348,0.485793,0.589994
3,0.433171,0.754982,False,0.41281,0.774848,0.48195,0.59833
4,0.419542,0.763914,False,0.406457,0.7781,0.476575,0.604473
5,0.410158,0.769962,False,0.410328,0.776282,0.481011,0.600586
6,0.401764,0.775371,False,0.403959,0.779723,0.470896,0.606866
7,0.395108,0.77962,False,0.402083,0.780698,0.471633,0.608708
8,0.387569,0.7844,False,0.404734,0.778767,0.473431,0.606189
9,0.382088,0.78788,False,0.402666,0.779978,0.47201,0.608086
10,0.37645,0.791421,False,0.401808,0.780649,0.471882,0.608929
11,0.371806,0.794342,False,0.400415,0.781456,0.471019,0.610323
12,0.36588,0.798038,False,0.402851,0.779956,0.473513,0.607984
13,0.360557,0.801341,False,0.400485,0.781818,0.47219,0.610279
14,0.355676,0.804385,True,0.398432,0.782725,0.46949,0.612232
15,0.350638,0.807477,False,0.402853,0.779889,0.471055,0.608009
16,0.345556,0.810607,False,0.400256,0.781517,0.469909,0.610422
17,0.340944,0.813441,False,0.400043,0.781579,0.470551,0.610663
18,0.336171,0.816345,False,0.401592,0.780694,0.471204,0.609187
19,0.330705,0.819674,False,0.403786,0.779305,0.473043,0.606943
20,0.325541,0.822806,False,0.405594,0.778395,0.474492,0.605218
21,0.321097,0.825515,False,0.408482,0.778084,0.476883,0.602491
22,0.315931,0.828597,False,0.410189,0.776569,0.47579,0.600903
23,0.311221,0.831419,False,0.407909,0.776978,0.473674,0.603029
24,0.307468,0.833672,False,0.410948,0.775003,0.474862,0.600112
