pathway,pcc,r2,mae,mae_raw,r2_raw
Oxidative_Phosphorylation,0.78939784,0.62236226,0.28283334,681.232666015625,0.6223622560501099
MYC_Targets,0.7513802,0.44159526,0.29873526,935.6228637695312,0.44159525632858276
ECM_Organization,0.70045555,0.47769243,0.3659841,1154.66796875,0.4776924252510071
Fibrosis,0.6894132,0.47217602,0.40470138,1120.178466796875,0.4721760153770447
tls,0.6889095,0.42107517,0.75174177,1172.4776611328125,0.42107516527175903
G2M_Checkpoint,0.66422653,-0.028621197,0.81151474,1737.8770751953125,-0.028621196746826172
E2F_Targets,0.6480762,0.2060436,0.5273251,1062.2093505859375,0.20604360103607178
mTOR_Signaling,0.6418338,0.38522172,0.411122,732.8466796875,0.3852217197418213
Mitotic_Spindle,0.6339176,0.14627725,0.7153582,1314.4241943359375,0.14627724885940552
Angiogenesis,0.6201771,0.19438887,0.7689141,1352.7996826171875,0.19438886642456055
emt,0.59637207,0.24040419,0.38488212,825.4816284179688,0.2404041886329651
Glycolysis,0.59007776,-0.35196102,0.5816917,1008.8264770507812,-0.35196101665496826
Wound_Healing,0.5849237,0.28951365,0.42058188,838.3297119140625,0.28951364755630493
IL6_JAK_STAT3,0.56959903,-0.19296134,0.58476937,1140.3060302734375,-0.19296133518218994
Unfolded_Protein_Response,0.55678535,0.078573525,0.5459758,1046.399169921875,0.07857352495193481
P53_Pathway,0.53512824,-0.38236547,0.7540475,1261.548095703125,-0.38236546516418457
DNA_Damage_Response,0.515721,0.0059440136,0.6689903,981.3323364257812,0.005944013595581055
mhc,0.4720449,0.21780425,0.15492377,336.23651123046875,0.21780425310134888
Apoptosis,0.46422988,0.14722788,0.4743543,736.8824462890625,0.14722788333892822
tgfb,0.4335462,0.124473035,0.48217463,819.4578857421875,0.12447303533554077
toxic,0.38433397,0.13670832,0.8428323,1613.3336181640625,0.1367083191871643
Coagulation,0.38188168,-0.0037692785,0.60431534,602.1473999023438,-0.0037692785263061523
hypoxia,0.36421654,0.07015222,0.44034094,1111.9345703125,0.07015222311019897
Inflammatory_Response,0.35058746,0.07311022,0.73520356,1427.165771484375,0.07311022281646729
Complement,0.31324744,-2.0465517,1.2612736,2206.11376953125,-2.0465517044067383
icp,0.3040621,-0.34557462,1.1528915,1764.4747314453125,-0.34557461738586426
Reactive_Oxygen_Species,0.2842393,-0.57810676,0.7755837,880.4068603515625,-0.5781067609786987
TNF_Signaling,0.23240997,-0.29446852,0.61793226,1355.19921875,-0.2944685220718384
Interferon_Alpha,0.21081592,-3.5194097,1.1483941,2136.57568359375,-3.519409656524658
ifng,0.18092495,-0.47855353,0.6647635,1912.667236328125,-0.47855353355407715
