epoch,train_loss,train_pcc,is_best,val_loss,val_pcc,val_mae,val_r2
1,0.542895,0.687342,False,0.404678,0.793937,0.473916,0.619383
2,0.483623,0.727967,False,0.392479,0.799841,0.465895,0.630907
3,0.46509,0.740237,False,0.391087,0.800639,0.461848,0.631965
4,0.451091,0.749376,True,0.387716,0.801564,0.458809,0.635364
5,0.43919,0.757055,False,0.393405,0.7989,0.462249,0.629877
6,0.428093,0.764153,False,0.387835,0.802126,0.461807,0.635305
7,0.418394,0.770301,False,0.391611,0.799296,0.461874,0.631815
8,0.409825,0.775692,False,0.391229,0.798885,0.460774,0.631975
9,0.400778,0.781341,False,0.406085,0.791388,0.472922,0.618225
10,0.392545,0.786454,False,0.397673,0.795972,0.466622,0.625962
11,0.385462,0.790818,False,0.398424,0.794112,0.464377,0.625336
12,0.377504,0.795693,False,0.396111,0.795578,0.463624,0.627475
13,0.370697,0.799846,False,0.403706,0.792077,0.470399,0.620592
14,0.363583,0.804154,False,0.402651,0.792377,0.468439,0.621391
