epoch,train_loss,train_pcc,is_best,val_loss,val_pcc,val_mae,val_r2
1,0.656547,0.601061,False,0.737669,0.59949,0.660835,-0.00806
2,0.415861,0.764954,False,0.635113,0.643639,0.606424,0.122783
3,0.373327,0.791843,False,0.613831,0.664184,0.594078,0.147959
4,0.350992,0.805842,False,0.589021,0.664073,0.574235,0.191424
5,0.334187,0.816226,False,0.556257,0.685325,0.559783,0.223283
6,0.322036,0.823561,False,0.557624,0.676546,0.559132,0.215381
7,0.311617,0.82987,False,0.559139,0.675879,0.559526,0.20475
8,0.302968,0.835081,False,0.543283,0.687518,0.550555,0.233826
9,0.295803,0.839354,False,0.55221,0.67964,0.553934,0.2102
10,0.287841,0.844124,True,0.538206,0.684401,0.545671,0.235481
11,0.28332,0.846819,False,0.543057,0.680355,0.547369,0.212787
12,0.277454,0.850215,False,0.539844,0.681317,0.546024,0.218526
13,0.270307,0.854458,False,0.540663,0.679032,0.544226,0.212046
14,0.267012,0.856336,False,0.552679,0.676906,0.554105,0.192786
15,0.261799,0.859438,False,0.546556,0.674668,0.548882,0.199455
16,0.25614,0.862696,False,0.555126,0.67215,0.55285,0.175866
17,0.25215,0.865017,False,0.556549,0.670548,0.554601,0.175658
18,0.248901,0.86686,False,0.557942,0.673042,0.554554,0.177772
19,0.243159,0.87027,False,0.550665,0.676082,0.551205,0.189466
20,0.240075,0.871963,False,0.562754,0.670308,0.559812,0.157646
