pathway,pcc,r2,mae
Oxidative_Phosphorylation,0.80522245,0.6285999,0.28681037
MYC_Targets,0.7764393,0.30959153,0.35224506
ECM_Organization,0.75297195,0.56576765,0.33433372
Fibrosis,0.73771095,0.50402975,0.3974686
G2M_Checkpoint,0.68881154,-0.16617405,0.87115514
tls,0.6858933,0.4001335,0.7627495
mTOR_Signaling,0.6697904,0.38582808,0.4130309
E2F_Targets,0.66664994,0.08123577,0.5782597
Wound_Healing,0.66001713,0.32641733,0.41087756
Mitotic_Spindle,0.64810145,-0.049857855,0.81038845
Angiogenesis,0.6456561,0.25327176,0.73863626
Unfolded_Protein_Response,0.6216101,-0.13133764,0.6316378
IL6_JAK_STAT3,0.6114206,-0.4391755,0.6599061
emt,0.61032856,0.28686118,0.3719819
P53_Pathway,0.599617,-0.60955095,0.8363842
Glycolysis,0.5861398,-0.69265485,0.66809165
DNA_Damage_Response,0.5313704,-0.21907628,0.7555013
mhc,0.52318436,0.26905698,0.14442249
tgfb,0.4831802,0.033405125,0.5224711
Apoptosis,0.45892453,0.07167584,0.5005729
Inflammatory_Response,0.42145315,0.14245522,0.71589184
Coagulation,0.420409,0.049403667,0.58441955
hypoxia,0.37793,0.043635607,0.45341453
toxic,0.36661,0.13244414,0.8533626
Complement,0.36279574,-1.8269866,1.211586
Reactive_Oxygen_Species,0.32253277,-0.71505606,0.8175016
icp,0.31721723,-0.3577994,1.1508224
TNF_Signaling,0.2853314,-0.4518547,0.67603177
Interferon_Alpha,0.25433645,-2.0258422,0.9192767
ifng,0.20416495,-0.26152945,0.6052525
