pathway,pcc,r2,mae
Oxidative_Phosphorylation,0.7360178,0.49940783,0.34211144
MYC_Targets,0.7229235,0.16416395,0.39603227
ECM_Organization,0.72076917,0.5162116,0.35211205
Fibrosis,0.693788,0.46693075,0.40939632
tls,0.6344637,0.38814992,0.7995221
Wound_Healing,0.60702443,0.29659456,0.41659665
mTOR_Signaling,0.60420406,0.27178216,0.45037332
Angiogenesis,0.59229404,0.27631515,0.7006427
G2M_Checkpoint,0.5839517,-0.4508252,0.9715438
emt,0.55517805,0.09983128,0.42374617
Glycolysis,0.54754275,-0.5315585,0.6227916
E2F_Targets,0.5428085,-0.17428923,0.6509867
Mitotic_Spindle,0.53522813,-0.29363537,0.897227
P53_Pathway,0.48889652,-0.280555,0.70949566
Unfolded_Protein_Response,0.47317883,-0.099053144,0.5927002
mhc,0.44930965,0.18013406,0.20516813
IL6_JAK_STAT3,0.4457572,-0.405573,0.629271
Apoptosis,0.39767754,0.07221532,0.48496702
DNA_Damage_Response,0.34792763,-0.38939643,0.7844512
Complement,0.32586282,-2.1899147,1.2833705
hypoxia,0.31642985,-0.12173247,0.4865513
Inflammatory_Response,0.31457272,0.032821536,0.77372515
Coagulation,0.30543098,-0.03580153,0.61615664
toxic,0.30444235,0.04848969,0.86428815
tgfb,0.2587481,-0.30774295,0.58956766
icp,0.2453722,-0.2836032,1.1149886
TNF_Signaling,0.22966346,-0.33490193,0.6127285
Reactive_Oxygen_Species,0.2211361,-1.0006745,0.8715594
Interferon_Alpha,0.18970463,-3.144084,1.0839401
ifng,0.14694917,-0.3771299,0.637241
