epoch,train_loss,train_pcc,is_best
1,0.417143,0.763532,False
2,0.362479,0.798454,False
3,0.346957,0.808114,False
4,0.335964,0.814887,False
5,0.327258,0.820212,False
6,0.319585,0.824876,False
7,0.312589,0.829105,False
8,0.306728,0.832635,False
9,0.300846,0.836161,False
10,0.295214,0.839522,False
11,0.290082,0.842574,False
12,0.285211,0.84546,False
13,0.280601,0.848181,False
14,0.276008,0.850886,False
15,0.271871,0.853314,False
16,0.267809,0.85569,False
17,0.26361,0.85814,False
18,0.259891,0.860305,False
19,0.256806,0.862094,False
20,0.252538,0.864567,False
21,0.249266,0.866457,False
22,0.246037,0.868319,False
23,0.242792,0.870184,False
24,0.239947,0.871815,False
25,0.23699,0.873511,False
26,0.233926,0.875262,False
27,0.231099,0.876875,False
28,0.228446,0.878384,False
29,0.225977,0.879789,False
30,0.223707,0.881078,False
31,0.221341,0.882419,False
32,0.219268,0.883591,False
33,0.216524,0.885144,False
34,0.214561,0.886252,False
35,0.212194,0.887586,False
36,0.210573,0.888498,False
37,0.208454,0.889688,False
38,0.206194,0.890958,False
39,0.204821,0.891727,False
40,0.202887,0.892811,False
41,0.200817,0.89397,False
42,0.199313,0.89481,False
43,0.197459,0.895845,False
44,0.19623,0.89653,False
45,0.194439,0.897529,False
46,0.193191,0.898224,False
47,0.191508,0.89916,False
48,0.189957,0.900022,False
49,0.188694,0.900723,False
50,0.187644,0.901306,True
