epoch,train_loss,train_pcc,is_best,val_loss,val_pcc,val_mae,val_r2
1,0.462251,0.733408,True,1.057387,0.714575,0.815424,-0.380526
2,0.405614,0.770971,False,1.11411,0.699802,0.841923,-0.417056
3,0.389624,0.781272,False,1.059093,0.717648,0.815769,-0.355838
4,0.378233,0.788528,False,1.137342,0.688344,0.848257,-0.435181
5,0.36859,0.79462,False,1.087271,0.701281,0.824459,-0.391036
6,0.360655,0.799598,False,1.099452,0.695507,0.831213,-0.404191
7,0.353124,0.804295,False,1.117905,0.689565,0.835571,-0.388648
8,0.346214,0.808582,False,1.152532,0.678337,0.855311,-0.450369
9,0.339631,0.812643,False,1.192185,0.664948,0.870029,-0.480721
10,0.333704,0.816283,False,1.141924,0.689274,0.850059,-0.402866
11,0.328152,0.81968,False,1.162043,0.666156,0.852059,-0.472271
