pathway,pcc,r2,mae
Oxidative_Phosphorylation,0.7950345,0.46671855,0.37674552
MYC_Targets,0.7341373,-0.14532542,0.45287967
ECM_Organization,0.72191435,0.44336325,0.40580547
Fibrosis,0.72073144,0.3348384,0.49730447
tls,0.68805236,0.2544768,1.096604
mTOR_Signaling,0.6729729,0.21192896,0.49301913
G2M_Checkpoint,0.67188853,-0.484136,1.0897554
E2F_Targets,0.6602922,-0.45932364,0.83880293
Wound_Healing,0.63938886,0.10449684,0.50293803
Mitotic_Spindle,0.6321799,-0.5127835,1.1191542
Unfolded_Protein_Response,0.62284404,-1.0017376,0.9461985
P53_Pathway,0.6208431,-1.5733209,1.1547997
Glycolysis,0.61983186,-1.2907243,0.7964696
Angiogenesis,0.6179072,0.21092159,0.88095737
IL6_JAK_STAT3,0.6113088,-0.62702024,0.69091606
emt,0.5928489,0.33522928,0.36517552
DNA_Damage_Response,0.56889707,-1.20133,1.3177017
mhc,0.50827426,0.25504297,0.16640827
tgfb,0.46189037,-0.45608974,0.6844255
Apoptosis,0.44041806,-0.19243324,0.5964412
Inflammatory_Response,0.43584093,0.13534993,0.8042629
Complement,0.41729555,-1.0701609,1.1237044
TNF_Signaling,0.4043027,-0.16487491,0.5758807
Reactive_Oxygen_Species,0.39943373,-1.8272121,1.1370869
toxic,0.39710593,0.030242682,1.0627799
hypoxia,0.39253154,0.005109608,0.45422587
Coagulation,0.3794887,0.08224642,0.6028315
icp,0.3202691,-0.06453729,1.0873561
Interferon_Alpha,0.2814088,-0.12199974,0.52231395
ifng,0.21332791,-0.023250818,0.5500251
