pathway,pcc,mae_raw,r2_raw
Oxidative_Phosphorylation,0.7171357,961.07275390625,0.3044430613517761
mTOR_Signaling,0.64343727,817.9136352539062,0.21792930364608765
MYC_Targets,0.62713647,1732.07373046875,-0.37960612773895264
G2M_Checkpoint,0.6260292,2604.119384765625,-1.0235438346862793
tls,0.61160064,1453.4112548828125,0.1668376326560974
Fibrosis,0.5965252,1845.58251953125,-0.23585057258605957
Glycolysis,0.5822023,1214.0242919921875,-0.783001184463501
ECM_Organization,0.5753663,1915.9923095703125,-0.18608856201171875
E2F_Targets,0.57378435,1753.3900146484375,-0.719029426574707
Mitotic_Spindle,0.5676881,2286.380615234375,-1.183211326599121
Wound_Healing,0.53818035,1229.9554443359375,-0.3504685163497925
emt,0.51361614,1076.3446044921875,-0.0383068323135376
IL6_JAK_STAT3,0.5118428,1034.6796875,-0.11844086647033691
Angiogenesis,0.49487877,1721.2989501953125,-0.17779159545898438
DNA_Damage_Response,0.49314913,1436.84716796875,-0.8228955268859863
P53_Pathway,0.4854109,1254.9876708984375,-0.35321998596191406
Complement,0.42980608,1870.4056396484375,-1.1613550186157227
Unfolded_Protein_Response,0.4281439,1198.1573486328125,-0.20969724655151367
tgfb,0.41910848,1049.237548828125,-0.23749160766601562
Reactive_Oxygen_Species,0.41526002,863.8734130859375,-0.4925053119659424
mhc,0.40426585,449.8567810058594,0.07885807752609253
Coagulation,0.38711873,609.8822021484375,-0.04612839221954346
Apoptosis,0.35715404,785.231689453125,0.041378140449523926
Inflammatory_Response,0.32790476,1659.8272705078125,-0.06964230537414551
TNF_Signaling,0.31825238,1098.13525390625,0.05524086952209473
Interferon_Alpha,0.31366807,1060.8043212890625,-0.24559521675109863
hypoxia,0.2996881,1116.31298828125,0.04349428415298462
toxic,0.22779347,1921.38916015625,-0.054278016090393066
ifng,0.07777224,1629.53076171875,-0.01555633544921875
icp,0.02784469,1568.137451171875,-0.052300214767456055
