pathway,pcc,r2,mae,rank
Oxidative_Phosphorylation,0.6406716549969409,0.39609553375210727,0.6013313849523013,1
ECM_Organization,0.6308018894311261,0.233531510586777,0.5673657985041657,2
MYC_Targets,0.6277036830780781,0.3757222999463651,0.6302765930192241,3
Fibrosis,0.6155779847811909,0.2433932069185637,0.5559810093276799,4
tls,0.5931733628210872,0.2532344205411414,0.4678558392616253,5
IL6_JAK_STAT3,0.5565274146544892,0.3047900641345077,0.6563547788150433,6
toxic,0.5328256152222375,0.19441204447232152,0.5165044908689378,7
Wound_Healing,0.5248166473499802,0.12648889092373006,0.6316524446244632,8
Glycolysis,0.5164723200997269,0.23052006956774196,0.6982313507677815,9
E2F_Targets,0.47667297534209035,0.20768463847236573,0.5902720456770773,10
emt,0.4592760022437606,0.14143556176168348,0.6194155353398493,11
mhc,0.45339925359088784,0.19744641476174485,0.7247116176889171,12
Angiogenesis,0.4527252539356939,0.13651128945741198,0.6366594873838042,13
mTOR_Signaling,0.44299363841776307,0.18764640527454146,0.6459486295223357,14
G2M_Checkpoint,0.4156781962671326,0.10931320531501154,0.5738551934830546,15
Mitotic_Spindle,0.4060734067939268,0.1487367875751031,0.5971543411710659,16
hypoxia,0.3995461801241361,0.10741936734176427,0.7433365388594425,17
P53_Pathway,0.39312879343890555,0.11853121863145077,0.6616528371301009,18
Coagulation,0.3817357980879394,0.10281280162613027,0.7137933271359811,19
Unfolded_Protein_Response,0.36992548827025024,0.1357259049502635,0.7002199604026177,20
Inflammatory_Response,0.3396318938281515,0.08407731207105151,0.7578679927050997,21
Complement,0.33516653808217683,0.06605596855192597,0.6432259566667118,22
DNA_Damage_Response,0.295712386052146,0.03904009161946298,0.6333413536619483,23
Reactive_Oxygen_Species,0.2939838171264737,0.07097369799262121,0.7198614604497646,24
icp,0.2901530859937483,0.017891470877245297,0.4651394397248395,25
TNF_Signaling,0.255791035345626,0.02926428859831498,0.7573721130593312,26
Apoptosis,0.18602644153827078,-0.010638540163154353,0.6689414051610019,27
ifng,0.15871372370194348,-0.04068044958999084,0.6808153792357275,28
tgfb,0.14077497650169593,0.008807987993671662,0.6683934183619548,29
Interferon_Alpha,0.043251358082341394,-0.22667687799063807,0.8496990830351149,30
