pathway,pcc,r2,mae,rank
MYC_Targets,0.6774543002597281,0.44197205156722674,0.5886561186693695,1
ECM_Organization,0.6710294819678561,0.2249575227769406,0.5880752688384595,2
Oxidative_Phosphorylation,0.6519842968820546,0.41633307309464207,0.5759665840516196,3
Fibrosis,0.6270568585658726,0.18736481514622128,0.5957721490569114,4
IL6_JAK_STAT3,0.5797355925177202,0.33184596054380544,0.625150670498968,5
Glycolysis,0.571308552007722,0.3156004948354221,0.6483688131395217,6
tls,0.5708491503620398,0.2610406954462664,0.44442092618359696,7
Wound_Healing,0.5446043674830118,0.13663475306133643,0.6444928341600378,8
toxic,0.5047251407514117,0.18553994179815625,0.5168292709268437,9
emt,0.48663914422051785,0.08712313069850952,0.6345971990025394,10
E2F_Targets,0.4847306765669901,0.22133973200845247,0.5889554017811864,11
mhc,0.4504254312953413,0.1519117026021397,0.7725954890217236,12
Angiogenesis,0.4337175795213251,0.1189580099203087,0.6457422079396496,13
hypoxia,0.4287219588507953,0.11383957868520678,0.7382698948663352,14
mTOR_Signaling,0.41600154575360043,0.16903738268084245,0.6560296895297251,15
G2M_Checkpoint,0.4062694718644788,0.160728745307827,0.5914239239327571,16
Mitotic_Spindle,0.3891914603556241,0.1423725923067619,0.6007972777284445,17
P53_Pathway,0.380471108398795,0.1406659180314438,0.6767813488115021,18
Inflammatory_Response,0.36315895871877013,0.09894101885857998,0.7453436692966855,19
Complement,0.34494711317798704,-0.00868620535429776,0.6619021577646419,20
Unfolded_Protein_Response,0.3233462816140694,0.0563779026961615,0.7007311966726102,21
TNF_Signaling,0.31274390551805636,0.07692971826117201,0.7376779955206448,22
DNA_Damage_Response,0.28537978621444493,0.06767586630260736,0.6303280277441706,23
icp,0.28504733884276817,0.03569172999696835,0.449083882768757,24
Reactive_Oxygen_Species,0.26894646373685066,0.02581309364084272,0.7395182053825121,25
Coagulation,0.23523961194436313,-0.0026806341736487216,0.7643489756351487,26
Apoptosis,0.22000218555745807,0.019254981893785827,0.6695729657365762,27
ifng,0.1656802875276317,-0.04906348016575168,0.6843571852494222,28
tgfb,0.16450607918162843,0.018816624661400105,0.6685483239844482,29
Interferon_Alpha,0.0744342531306233,-0.23892288153022267,0.8582237527287871,30
