pathway,pcc,r2,mae,rank
MYC_Targets,0.6948973428264713,0.4827944796082366,0.5464373055789868,1
Oxidative_Phosphorylation,0.6843129519885043,0.46067664611517845,0.5488332151895668,2
ECM_Organization,0.6620897374859367,0.17325419522886887,0.6045352251134087,3
Fibrosis,0.6068267177596043,0.16988934114438026,0.5893522969891148,4
tls,0.5919122181586163,0.31519110607389034,0.4301331484600301,5
IL6_JAK_STAT3,0.572799907674023,0.30286152553453105,0.6268077037323843,6
Wound_Healing,0.5519422184515221,0.12397698002790247,0.638794511206064,7
Glycolysis,0.5490243875023374,0.2993069019816985,0.6380945561404745,8
toxic,0.5154619568841357,0.21968735852559962,0.48923326313221277,9
E2F_Targets,0.49964116570166756,0.24054593299915605,0.582235123428693,10
emt,0.47499371583480704,0.09343675679417862,0.6244746408981168,11
mTOR_Signaling,0.45095110974770786,0.18996953241325698,0.6335919029754049,12
mhc,0.42435313278406367,0.11667047022440158,0.7823630075805611,13
hypoxia,0.4185612049603389,0.16230731461726056,0.6852900035572331,14
G2M_Checkpoint,0.40755701229299285,0.13991219379118058,0.5899678954447118,15
P53_Pathway,0.40199862393972213,0.13529358444751138,0.6578422224432795,16
Angiogenesis,0.39647494511260595,0.056747523273314227,0.6614218426883539,17
Mitotic_Spindle,0.3903971982942003,0.14183715698160626,0.6047187337477024,18
Unfolded_Protein_Response,0.3529494775259336,0.08634256871092172,0.6835851262039623,19
Complement,0.35264912587289393,-0.0014663901534224255,0.6704744458232993,20
icp,0.3056001219761836,0.05984405792157821,0.4535274097897137,21
TNF_Signaling,0.28855747590511316,0.043727456992958436,0.7458784667244369,22
Reactive_Oxygen_Species,0.2646265578374036,0.0530745499400761,0.7075513909262436,23
Inflammatory_Response,0.22580611941461814,-0.006541822449303014,0.7791223783860451,24
DNA_Damage_Response,0.2154817055338632,0.02691925411876206,0.6317164952221729,25
Apoptosis,0.20781178091074923,0.011268834255022009,0.6732073023826478,26
tgfb,0.13151518139569937,-0.022064210558268016,0.6617398378626896,27
Coagulation,0.1312353223562188,-0.11757628254806551,0.7998374491517325,28
ifng,0.11533163914431191,-0.09655486973228533,0.6785702721447985,29
Interferon_Alpha,-0.07091833999071098,-0.39043106573028274,0.9212787482089377,30
