pathway,pcc,r2,mae,rank
Oxidative_Phosphorylation,0.6739760716461907,0.4516885525723491,0.5654764455917928,1
MYC_Targets,0.6681803386175131,0.44257481755873385,0.5667596867122937,2
ECM_Organization,0.6525575704537685,0.33537438169048617,0.5456734053588512,3
Fibrosis,0.6201063961215191,0.3008815726894186,0.5530443626055518,4
tls,0.5787065526149237,0.2959574163502112,0.4340758181705725,5
IL6_JAK_STAT3,0.5572556691476432,0.2988950635150447,0.6373822038006253,6
Glycolysis,0.5451238201712356,0.2804329247753137,0.6364904713034426,7
toxic,0.5063513061511241,0.21786487065285542,0.4850677651661807,8
E2F_Targets,0.49704035114248396,0.23865291952658252,0.5951275886463089,9
Wound_Healing,0.4875478646024594,0.13700529381149928,0.6406522969323801,10
emt,0.485914576875671,0.14520041360859248,0.6135056264929191,11
mTOR_Signaling,0.44763294793712943,0.1945415515610801,0.6415976156109982,12
mhc,0.421563615831922,0.11531498770672566,0.7736142303661205,13
Angiogenesis,0.40952608562277554,0.1281777486607505,0.6495999564072392,14
G2M_Checkpoint,0.4025723935774296,0.14164272190807603,0.5810569329961206,15
P53_Pathway,0.39675052056045,0.15062264357811972,0.6687130534000351,16
hypoxia,0.38859175698699794,0.11281570709507405,0.7004514863173784,17
Mitotic_Spindle,0.3820480370364649,0.14355784536748395,0.6042397982012016,18
Unfolded_Protein_Response,0.3564991321329674,0.08854766742836062,0.6812463241804332,19
Complement,0.3116003943444883,0.029058456357788254,0.6947060236862372,20
icp,0.3071454044298947,0.06628799675342234,0.4329806647597884,21
Inflammatory_Response,0.28918056079103976,0.05031435411459095,0.7679543358251854,22
TNF_Signaling,0.2781276490312343,0.0484510153180987,0.7503850973541845,23
DNA_Damage_Response,0.27658063746561046,0.06214469745769069,0.6215845551234753,24
Reactive_Oxygen_Species,0.22420047038537796,0.022941738803433753,0.7242454280436776,25
Apoptosis,0.19698459088231737,0.02618028563040309,0.6828303271657977,26
Coagulation,0.19626847397009298,-0.010858155154656934,0.7690500582892128,27
tgfb,0.18041726063011804,0.004021566792347886,0.668511561597405,28
ifng,0.13675225507231525,-0.050139340294878654,0.6947304013411977,29
Interferon_Alpha,-0.061321520036673884,-0.5096052911265212,0.9846442308436233,30
