pathway,pcc,r2,mae,rank
MYC_Targets,0.6889961602722122,0.45415598000854396,0.5710322716800301,1
Oxidative_Phosphorylation,0.6415942030537406,0.4113833804477752,0.5827170353324029,2
ECM_Organization,0.6338925627540662,0.24123213219727135,0.5829313080598117,3
Fibrosis,0.5921426426893999,0.19799916065098888,0.5915422048616761,4
tls,0.5743761916523888,0.26911067388329957,0.45534750090120524,5
IL6_JAK_STAT3,0.5621540145348132,0.31362470171750056,0.6399286835460859,6
Glycolysis,0.5539129770837569,0.26715957109762634,0.6644940156614388,7
toxic,0.5124134551973137,0.19708574246089927,0.5034023428581771,8
Wound_Healing,0.5030604251838674,0.14347762169659783,0.633834623852919,9
emt,0.46205040445648615,0.07606480279138472,0.6380535907829001,10
E2F_Targets,0.451787203459947,0.1939996465480609,0.6036540582362373,11
mTOR_Signaling,0.44012299823883505,0.1921008970843232,0.6466645981002734,12
Angiogenesis,0.40371423075331936,0.0792300317618364,0.6602910473603013,13
hypoxia,0.4012083023532794,0.05576971166191347,0.7642202048771599,14
mhc,0.39897171494791267,0.14686150247980967,0.770835264825533,15
P53_Pathway,0.3982797886858334,0.15245425618693376,0.6665235236153721,16
G2M_Checkpoint,0.39790048520148813,0.1335867033239646,0.5807523854383239,17
Mitotic_Spindle,0.377018511512892,0.12901843749315134,0.5997642290901318,18
Unfolded_Protein_Response,0.33468872178234255,0.09598730098609876,0.6927142102856347,19
Complement,0.317549781885922,-0.01984895186200797,0.6905026389691262,20
icp,0.2874961115526463,0.04579351073882143,0.45495817638261166,21
DNA_Damage_Response,0.2579922113284959,0.03739589057843007,0.6357733031092403,22
TNF_Signaling,0.24237302779681372,0.021236951694634465,0.7718937551548172,23
Inflammatory_Response,0.23397732191865292,0.007128918375627458,0.7929163741119585,24
Reactive_Oxygen_Species,0.21417833930490962,0.013498489486390763,0.7483309443947925,25
Apoptosis,0.21354693539528538,0.03295256346059561,0.6825505965639675,26
tgfb,0.17281199311807482,-0.0032057643897651644,0.6616560978844106,27
ifng,0.12582185142383992,-0.0805267052948535,0.7056683923237175,28
Coagulation,0.08040311579320797,-0.1260636206825494,0.7971608011894953,29
Interferon_Alpha,-0.07346111663946593,-0.4214722085066087,0.9247519492584519,30
