pathway,pcc,r2,mae,rank
MYC_Targets,0.712826212491656,0.497370285471035,0.5289695399638309,1
ECM_Organization,0.7063476187942487,0.20603956182875205,0.6502238016962938,2
Oxidative_Phosphorylation,0.6635987521474065,0.4273217712719519,0.5583741137161582,3
Fibrosis,0.6565423374730618,0.21268668461533746,0.6232157639983453,4
tls,0.5966259352358,0.3010040408152844,0.4379217406706967,5
IL6_JAK_STAT3,0.5961803998008645,0.3511430442980855,0.6036739597364821,6
Wound_Healing,0.5674393942176941,0.11976642022201855,0.6686991438378155,7
Glycolysis,0.549778070080418,0.28302586777988814,0.6449100692942275,8
toxic,0.5298515347891463,0.2346603563929509,0.4862535638812506,9
emt,0.5212097703573728,0.03423522687433356,0.676684944327322,10
E2F_Targets,0.5175136426507453,0.2487782699569019,0.5856451539880603,11
Angiogenesis,0.46763648553571846,0.15157231465808907,0.6350792803999247,12
mTOR_Signaling,0.46330773514334334,0.2002965325534486,0.624002461074855,13
G2M_Checkpoint,0.45624687152292837,0.19572009215970965,0.5673371165019209,14
mhc,0.44657042893343996,0.125638196743859,0.749518490659548,15
hypoxia,0.43763821368127903,0.1620439412765181,0.6887371882103352,16
Mitotic_Spindle,0.4241909944579592,0.16245993279354232,0.58780242929887,17
P53_Pathway,0.4121539119094606,0.16610900674770623,0.6694489032408087,18
Unfolded_Protein_Response,0.3693985953742574,0.1316084957977588,0.6828177912330357,19
Complement,0.35751417745300107,0.01670735095481779,0.6799552769646328,20
DNA_Damage_Response,0.30921564327306017,0.08633626913199843,0.6120208442360764,21
icp,0.3034125597926159,0.06292260626042023,0.4176192723713699,22
Inflammatory_Response,0.29663027310722984,0.047508027284604126,0.7719769763419301,23
TNF_Signaling,0.29341965840665446,0.06601958217924564,0.7541964526316837,24
Coagulation,0.2625637891163157,-0.051844481155056465,0.770138900609177,25
Reactive_Oxygen_Species,0.25144235940182624,0.0194749706063706,0.7175685621801356,26
Apoptosis,0.21332933812004956,0.03410337979270772,0.6704147921853671,27
tgfb,0.18345840711612874,0.004572704859541754,0.6677750555572316,28
ifng,0.14681696891200585,-0.08764269804853164,0.7103118080723202,29
Interferon_Alpha,-0.027041317675708512,-0.41010701494868984,0.9409348645231487,30
