pathway,pcc,r2,mae,rank
MYC_Targets,0.6726046025813263,0.41738228129717436,0.6104442592989124,1
Oxidative_Phosphorylation,0.6148895363664348,0.3602347196257071,0.638984016223349,2
ECM_Organization,0.5996050637585141,0.3381648275219634,0.6704893564206162,3
Glycolysis,0.5698642248465553,0.31003376650263903,0.6731176529792348,4
Fibrosis,0.5382934257067054,0.2525047240617898,0.7166351795776142,5
G2M_Checkpoint,0.5083077074629673,0.22724787297903848,0.6441147680488656,6
IL6_JAK_STAT3,0.49634542398373543,0.2311662289233155,0.7129188259682884,7
E2F_Targets,0.4906719845853054,0.22944226707402937,0.6478231709865744,8
mTOR_Signaling,0.4872898141295479,0.23532493415591194,0.6965535451734939,9
Interferon_Alpha,0.48159210335387465,0.21891187135219947,0.7282684821519495,10
mhc,0.4774042054097651,0.16822688463949054,0.6572928114214696,11
hypoxia,0.46690776006186535,0.20364434975877466,0.7477166928744272,12
Mitotic_Spindle,0.43788343761028536,0.1662929831660317,0.6848534687525237,13
emt,0.43176160415800424,0.17023882418835456,0.7739212068610066,14
Unfolded_Protein_Response,0.41279960935218923,0.16748585316966702,0.7344217103610705,15
Complement,0.40889615852102557,0.1578339775930203,0.7065346115517976,16
Wound_Healing,0.3930922106876551,0.07346515111929985,0.7956620986826531,17
P53_Pathway,0.379319142497262,0.13226113644820459,0.734303956447496,18
Angiogenesis,0.36320864317442175,0.1255303835592334,0.7533854475462248,19
tls,0.35914166808637593,0.03553018063415325,0.6271621130738364,20
tgfb,0.3191142322802916,0.04562010243341119,0.7961994168042249,21
ifng,0.31214992759265064,0.08979808792077415,0.7249620505581378,22
Apoptosis,0.2909411729553583,0.08043394770600931,0.7530531193465311,23
DNA_Damage_Response,0.2434987817073963,0.04007958291104896,0.6953743564511365,24
toxic,0.2391280618190932,-0.04400440814125539,0.547175067178295,25
icp,0.19872743326858786,-0.028887082452024204,0.5543798543418577,26
Coagulation,0.16503692213117338,-0.01282107420429024,0.8629583636919912,27
Reactive_Oxygen_Species,0.15540218738789502,-0.024402843415676223,0.7958998734857924,28
TNF_Signaling,0.13650573381598258,-0.04307986726484847,0.8301366647284116,29
Inflammatory_Response,0.05197133401593675,-0.11065429696794915,0.8388678110080067,30
