pathway,pcc,r2,mae,rank
ECM_Organization,0.6855474071682739,0.43979744374024665,0.6037077071662709,1
Fibrosis,0.6585369532979577,0.40240476885649235,0.6185441156471329,2
MYC_Targets,0.6230684578428962,0.29706288380498347,0.5940864740961894,3
Oxidative_Phosphorylation,0.5747923044642654,0.23323943539882497,0.6421122206081998,4
Wound_Healing,0.5605988934334711,0.29758664637472143,0.6723200973062531,5
E2F_Targets,0.5467923874635322,0.2885673278435871,0.6322524862436459,6
mhc,0.5040066122190217,0.24773541162955648,0.6631787216349674,7
emt,0.5022920474114742,0.23095650267869594,0.692191877743611,8
tls,0.4887832182669633,0.22577686934074792,0.5216788536127885,9
Glycolysis,0.47613401006608286,0.06604210477665073,0.7088790111166577,10
mTOR_Signaling,0.4642453124467767,0.16962023437183005,0.632949998297431,11
IL6_JAK_STAT3,0.4595018658293064,0.12726310162636434,0.6997234176163714,12
Interferon_Alpha,0.45390587516943176,0.12369347009663645,0.7656669804860268,13
Complement,0.4286379777081126,0.18322912719912698,0.6779760067640902,14
P53_Pathway,0.42049557864949433,0.1605793260061168,0.6370980295023791,15
hypoxia,0.3840420243916475,0.049022151085698074,0.6709769149666313,16
Unfolded_Protein_Response,0.3587430063357067,0.06736571218492049,0.6836510862687728,17
G2M_Checkpoint,0.3537501133612299,0.11843888330762986,0.586671060536293,18
toxic,0.3447028369492993,0.050543169469173144,0.5518255118301225,19
Angiogenesis,0.33915435323648424,0.10869317462835204,0.6894637448642713,20
Mitotic_Spindle,0.3153598750779084,0.09799164772313207,0.637746523370575,21
ifng,0.29167491363710707,0.04344294764294321,0.7270186324159638,22
Reactive_Oxygen_Species,0.26396820720757475,0.04809002720191258,0.7149677523169119,23
Apoptosis,0.2463100771968081,0.04954973335614854,0.6687349216940802,24
icp,0.22868927748199985,0.021796430402324818,0.5071795202296946,25
DNA_Damage_Response,0.17780551349327084,0.030171920891139736,0.6554969534980702,26
Coagulation,0.1663650866362833,-0.12891086734035317,0.8575709218851165,27
tgfb,0.14809398869537385,0.004955810380720682,0.7108666644385757,28
TNF_Signaling,0.13291934106052056,-0.07019710794565226,0.7210947912092839,29
Inflammatory_Response,0.1240101943310868,-0.0021225663616706303,0.6783252197025949,30
