comparison,split,metric,unit,raw_units,valid_repetitions,estimate,ci_low,ci_high
lora_s0_vs_lora_s1,external_test,pcc,spatial_block_2048px,21,10000,-0.01459924681567729,-0.022076215425215935,-0.008614748704073513
lora_s0_vs_lora_s1,external_test,ccc,spatial_block_2048px,21,10000,0.001713046849402864,-0.001445974787363015,0.005252076192858011
lora_s0_vs_lora_s1,external_test,z_rmse,spatial_block_2048px,21,10000,0.004886401092484176,0.0003683868294960878,0.00990440262604684
lora_s0_vs_lora_s1,external_test,ssim,block,11,10000,-0.004594284995672112,-0.0093084794645413,0.0012532342824490613
lora_s0_vs_lora_s1,internal_val,pcc,patient,6,10000,-0.0024659741493155544,-0.006109291641182825,0.0016419958841525028
lora_s0_vs_lora_s1,internal_val,ccc,patient,6,10000,-0.0022078336915614945,-0.006358944395674264,0.0022809316186908975
lora_s0_vs_lora_s1,internal_val,z_rmse,patient,6,10000,-0.0030086927343386275,-0.004860760671288651,-0.0005423847187771536
lora_s0_vs_lora_dropout10,external_test,pcc,spatial_block_2048px,21,10000,-0.01360928830818772,-0.021782232444641957,-0.007068696758011943
lora_s0_vs_lora_dropout10,external_test,ccc,spatial_block_2048px,21,10000,-0.0008397989725575942,-0.0038024573399789117,0.0023081748099181734
lora_s0_vs_lora_dropout10,external_test,z_rmse,spatial_block_2048px,21,10000,0.004614283600061298,-0.00042825898055420363,0.009611257458352737
lora_s0_vs_lora_dropout10,external_test,ssim,block,11,10000,-0.006921389366325108,-0.011029473907491334,-0.001661868363338086
lora_s0_vs_lora_dropout10,internal_val,pcc,patient,6,10000,-0.0022249802136317053,-0.006179579773636738,0.0028055797477225006
lora_s0_vs_lora_dropout10,internal_val,ccc,patient,6,10000,-0.004380928859327992,-0.009003326833177895,0.0015375068726055329
lora_s0_vs_lora_dropout10,internal_val,z_rmse,patient,6,10000,-0.002478402014582124,-0.005018164465329461,0.00020885318922495103
w007_fbr_vs_w007_rcc,XZY,pcc,spatial_block_2048px,21,10000,-0.0014650539238612024,-0.011520256858823593,0.004913881639287087
w007_fbr_vs_w007_rcc,XZY,ccc,spatial_block_2048px,21,10000,0.000784776278655627,-0.0007727178985860149,0.002262964202138192
w007_fbr_vs_w007_rcc,XZY,z_rmse,spatial_block_2048px,21,10000,-0.0031480339641933685,-0.006855683268667245,0.00011827602467314275
w007_fbr_vs_w007_rcc,XZY,ssim,block,11,10000,-0.0009332187385400751,-0.0026544313349504247,0.0008250917942619192
w007_fbr_vs_w007_rcc,internal_val,pcc,patient,6,10000,0.0019813972557448057,-0.0008285791099049843,0.004866489727001018
w007_fbr_vs_w007_rcc,internal_val,ccc,patient,6,10000,0.0033820778738771554,4.7966704676152365e-05,0.006835263587881098
w007_fbr_vs_w007_rcc,internal_val,z_rmse,patient,6,10000,0.0018761546981892819,-0.0005335534406662226,0.004425570269026817
w007_fbr_vs_w007_hcr,XZY,pcc,spatial_block_2048px,21,10000,0.00013822674183268095,-0.0020756179611558265,0.0015315035354675985
w007_fbr_vs_w007_hcr,XZY,ccc,spatial_block_2048px,21,10000,0.00035414393072130245,-0.00026814300244513213,0.0009513257393301344
w007_fbr_vs_w007_hcr,XZY,z_rmse,spatial_block_2048px,21,10000,0.0002971246207448966,-0.0007424443406809754,0.0012836245708774752
w007_fbr_vs_w007_hcr,XZY,ssim,block,11,10000,-0.00015273580000042399,-0.0013694078174538143,0.0008624756467860063
w007_fbr_vs_w007_hcr,internal_val,pcc,patient,6,10000,0.000221214691204799,-0.0001547743375400892,0.0007714734307598006
w007_fbr_vs_w007_hcr,internal_val,ccc,patient,6,10000,0.0008533982691549927,0.0005988496269781124,0.0011101170974618217
w007_fbr_vs_w007_hcr,internal_val,z_rmse,patient,6,10000,0.0008571048182500294,0.000536432666719561,0.0012085708586377962
w007_fbr_vs_w007_cpgcr,XZY,pcc,spatial_block_2048px,21,10000,0.0018570867084626323,-0.0025074775627520612,0.005050865199298925
w007_fbr_vs_w007_cpgcr,XZY,ccc,spatial_block_2048px,21,10000,0.0015519923460310624,0.00043834281114485244,0.0026890403739866045
w007_fbr_vs_w007_cpgcr,XZY,z_rmse,spatial_block_2048px,21,10000,-0.0006864598360029784,-0.003260737585258127,0.0016168922669372516
w007_fbr_vs_w007_cpgcr,XZY,ssim,block,11,10000,0.0004223239793112475,-0.0007935055576819962,0.00170023949531221
w007_fbr_vs_w007_cpgcr,internal_val,pcc,patient,6,10000,0.0018218651401132266,-0.00035719121741193836,0.004393733058289175
w007_fbr_vs_w007_cpgcr,internal_val,ccc,patient,6,10000,0.0024516695201345115,-0.00014783237182902496,0.005101762179005552
w007_fbr_vs_w007_cpgcr,internal_val,z_rmse,patient,6,10000,0.0014151422930572927,-0.00039104361929959326,0.003103593125665984
