experiment,arm,evidence_status,split,comparison_split,pooled_pcc,scalar_pairs,fbr_pooled_pcc,delta_vs_fbr,interpretation
huber_delta1,Huber,accepted,external_test,external_xzy,0.6526906629745168,31170,0.6548958201828082,-0.0022051572082913973,supplementary_flattened_not_pathway_balanced
huber_mse,MSE,accepted,external_test,external_xzy,0.6548958191047395,31170,0.6548958201828082,-1.0780687453859628e-09,supplementary_flattened_not_pathway_balanced
lora_dropout10,LoRA_dropout10,accepted_smoke,external_test,external_xzy,0.6437993003584291,31170,0.6548958201828082,-0.011096519824379092,supplementary_flattened_not_pathway_balanced
lora_s0,S0,accepted_smoke,external_test,external_xzy,0.6445469798675462,31170,0.6548958201828082,-0.010348840315262064,supplementary_flattened_not_pathway_balanced
lora_s1,S1,accepted_smoke,external_test,external_xzy,0.6464384939083354,31170,0.6548958201828082,-0.00845732627447282,supplementary_flattened_not_pathway_balanced
w007_cpgcr,CPGCR,accepted,XZY,external_xzy,0.654932091288604,31170,0.6548958201828082,3.627110579573767e-05,supplementary_flattened_not_pathway_balanced
w007_fbr,FBR,accepted,XZY,external_xzy,0.6548958201828082,31170,0.6548958201828082,0.0,supplementary_flattened_not_pathway_balanced
w007_hcr,HCR,accepted,XZY,external_xzy,0.6559820519855328,31170,0.6548958201828082,0.001086231802724602,supplementary_flattened_not_pathway_balanced
w007_rcc,RCC,accepted,XZY,external_xzy,0.6537580094959384,31170,0.6548958201828082,-0.0011378106868698001,supplementary_flattened_not_pathway_balanced
lora_dropout10,LoRA_dropout10,accepted_smoke,internal_val,internal_val,0.7929069281672305,32340,0.7971258175957333,-0.004218889428502792,supplementary_flattened_not_pathway_balanced
lora_s0,S0,accepted_smoke,internal_val,internal_val,0.7947911293888171,32340,0.7971258175957333,-0.00233468820691618,supplementary_flattened_not_pathway_balanced
lora_s1,S1,accepted_smoke,internal_val,internal_val,0.7929702603888888,32340,0.7971258175957333,-0.004155557206844462,supplementary_flattened_not_pathway_balanced
w007_cpgcr,CPGCR,accepted,internal_val,internal_val,0.7980001061374344,32340,0.7971258175957333,0.0008742885417011292,supplementary_flattened_not_pathway_balanced
w007_fbr,FBR,accepted,internal_val,internal_val,0.7971258175957333,32340,0.7971258175957333,0.0,supplementary_flattened_not_pathway_balanced
w007_hcr,HCR,accepted,internal_val,internal_val,0.7977058338884363,32340,0.7971258175957333,0.0005800162927029895,supplementary_flattened_not_pathway_balanced
w007_rcc,RCC,accepted,internal_val,internal_val,0.7981542615500501,32340,0.7971258175957333,0.0010284439543167823,supplementary_flattened_not_pathway_balanced
