experiment,arm,evidence_status,split,comparison_split,metric,mean,median,q1,q3,iqr,min,max,valid_pathways,baseline,fbr_mean,delta_candidate_better,delta_definition
huber_delta1,Huber,accepted,external_test,external_xzy,abs_moran_delta,,,,,,,,0,w007_fbr,0.10762428980820607,,FBR_mean-candidate_mean (positive=candidate_better)
huber_delta1,Huber,accepted,external_test,external_xzy,ccc,0.3973785018589197,0.3800760384261118,0.3037585200292015,0.5063120796115165,0.20255355958231497,0.06171200589159817,0.7572432115051935,30,w007_fbr,0.3988582103332689,-0.001479708474349195,candidate_mean-FBR_mean (positive=candidate_better)
huber_delta1,Huber,accepted,external_test,external_xzy,nrmse_sigma_train,0.7690378263781324,0.717809858895837,0.5453109688696998,0.9044277083168691,0.3591167394471694,0.3756309514142198,1.5098717866406874,30,w007_fbr,0.7672245654708524,-0.0018132609072800676,FBR_mean-candidate_mean (positive=candidate_better)
huber_delta1,Huber,accepted,external_test,external_xzy,pcc,0.5205145812633333,0.5651232861577308,0.3925515302368745,0.638950893536397,0.2463993632995225,0.17046900500056678,0.7860688099513973,30,w007_fbr,0.519386206636611,0.0011283746267223282,candidate_mean-FBR_mean (positive=candidate_better)
huber_delta1,Huber,accepted,external_test,external_xzy,raw_mae,1174.215922093128,1112.0712936830705,858.1447219052127,1356.7969824063161,498.65226050110346,360.55635116193355,2066.578113988168,30,w007_fbr,1176.211373424824,1.9954513316959037,FBR_mean-candidate_mean (positive=candidate_better)
huber_delta1,Huber,accepted,external_test,external_xzy,raw_r2,-0.09009133325487895,0.08943511563612788,-0.2830251604279183,0.2979264791525448,0.580951639580463,-2.6603334752957153,0.6136341297835677,30,w007_fbr,-0.08801664134310691,-0.0020746919117720364,candidate_mean-FBR_mean (positive=candidate_better)
huber_delta1,Huber,accepted,external_test,external_xzy,ssim,,,,,,,,0,w007_fbr,0.3093753110282321,,candidate_mean-FBR_mean (positive=candidate_better)
huber_delta1,Huber,accepted,external_test,external_xzy,z_mae,0.6184122444667427,0.6064406600262031,0.42445469539137876,0.7387998479245982,0.31434515253321943,0.1632257089637151,1.1881435911047642,30,w007_fbr,0.6191226720887658,0.0007104276220231132,FBR_mean-candidate_mean (positive=candidate_better)
huber_delta1,Huber,accepted,external_test,external_xzy,z_rmse,0.7690378263781324,0.717809858895837,0.5453109688696998,0.904427708316869,0.35911673944716926,0.3756309514142198,1.5098717866406877,30,w007_fbr,0.7672245654708524,-0.0018132609072800676,FBR_mean-candidate_mean (positive=candidate_better)
huber_mse,MSE,accepted,external_test,external_xzy,abs_moran_delta,,,,,,,,0,w007_fbr,0.10762428980820607,,FBR_mean-candidate_mean (positive=candidate_better)
