comparison,control,candidate,split,pathway,metric,control_value,candidate_value,delta_candidate_better
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,tls,pcc,0.670981328037018,0.6576477270492955,-0.013333600987722516
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,tls,ccc,0.5034799437398614,0.5139966543810042,0.01051671064114279
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,tls,z_rmse,1.058802904734181,1.0627079321608297,-0.0039050274266487772
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,tls,ssim,0.20134269413500222,0.18490540205479258,-0.016437292080209637
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,tls,abs_moran_delta,0.02318276102169703,0.04080377563793025,-0.01762101461623322
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,tgfb,pcc,0.3885786368727636,0.42109433368478616,0.03251569681202254
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,tgfb,ccc,0.26291337410385945,0.30402329727895255,0.0411099231750931
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,tgfb,z_rmse,0.6732458101091163,0.6417723814522686,0.03147342865684777
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,tgfb,ssim,0.18681247726319467,0.1760751917903616,-0.010737285472833064
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,tgfb,abs_moran_delta,0.012308685171266098,0.01653010170682484,-0.004221416535558742
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,emt,pcc,0.5813549547492062,0.5666497270302066,-0.014705227718999625
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,emt,ccc,0.539969304577182,0.5205321316229555,-0.019437172954226423
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,emt,z_rmse,0.5196464390983164,0.5272126356065524,-0.007566196508235978
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,emt,ssim,0.5325986981278895,0.5144466618859311,-0.01815203624195838
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,emt,abs_moran_delta,0.002701674186349423,0.013567087897725316,-0.010865413711375893
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,hypoxia,pcc,0.36066541401533997,0.3366593347108888,-0.024006079304451144
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,hypoxia,ccc,0.33039847567097186,0.29929304568514997,-0.031105429985821886
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,hypoxia,z_rmse,0.5861046988781142,0.6005666476481303,-0.014461948770016053
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,hypoxia,ssim,0.2589860822354932,0.21544319367470824,-0.04354288856078495
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,hypoxia,abs_moran_delta,0.020474649234364373,0.025223366710650674,-0.004748717476286302
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,mhc,pcc,0.49338382870588493,0.4493148895220855,-0.04406893918379945
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,mhc,ccc,0.4044377686079563,0.37066424088411937,-0.03377352772383696
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,mhc,z_rmse,0.3746154641949545,0.389506905408602,-0.014891441213647494
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,mhc,ssim,0.7086113189770274,0.6748427361489827,-0.033768582828044735
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,mhc,abs_moran_delta,0.0010622717329039633,0.0006079343522191749,0.00045433738068478835
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,icp,pcc,0.30700695879658807,0.30450297364844603,-0.0025039851481420405
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,icp,ccc,0.1658754765201881,0.17130546782264428,0.005429991302456166
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,icp,z_rmse,1.4412564806389176,1.4550158557313744,-0.013759375092456727
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,icp,ssim,-0.06905958068853645,-0.09012862788903557,-0.021069047200499125
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,icp,abs_moran_delta,0.3409587101828234,0.3272674491376829,0.013691261045140513
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,ifng,pcc,0.16506189785736297,0.12037379747856046,-0.04468810037880251
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,ifng,ccc,0.10577137620532195,0.07543460375724988,-0.030336772448072077
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,ifng,z_rmse,0.8328555076843214,0.8372344620287163,-0.0043789543443949475
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,ifng,ssim,0.058470918021957204,0.04218518591657158,-0.01628573210538562
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,ifng,abs_moran_delta,0.08304352300656676,0.10864006717673275,-0.02559654417016599
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,toxic,pcc,0.36870511233428044,0.3609862587449633,-0.007718853589317121
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,toxic,ccc,0.2699562418983145,0.2811279220904809,0.011171680192166356
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,toxic,z_rmse,1.0941292612419207,1.1022659557956824,-0.008136694553761759
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,toxic,ssim,0.0971809624620993,0.10638837390054796,0.009207411438448665
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,toxic,abs_moran_delta,0.27116373549727846,0.256165512981805,0.014998222515473447
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Glycolysis,pcc,0.6058237103430195,0.5989988416029315,-0.00682486874008803
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Glycolysis,ccc,0.33426426540249715,0.3476678752872408,0.01340360988474365
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Glycolysis,z_rmse,0.7550303413041034,0.7263298221277039,0.028700519176399486
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Glycolysis,ssim,0.30369989432597505,0.30458069116752856,0.0008807968415535106
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Glycolysis,abs_moran_delta,0.11503195073525829,0.10515517026478594,0.009876780470472357
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Inflammatory_Response,pcc,0.42767744560817317,0.42661743709145306,-0.0010600085167201123
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Inflammatory_Response,ccc,0.3576979067063473,0.35560997953359785,-0.002087927172749471
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Inflammatory_Response,z_rmse,0.924972689139807,0.9222171743280578,0.0027555148117491823
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Inflammatory_Response,ssim,0.11944299290401016,0.17893468176448327,0.05949168886047311
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Inflammatory_Response,abs_moran_delta,0.206423466250929,0.23641754277252963,-0.029994076521600632
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,IL6_JAK_STAT3,pcc,0.5504545132658233,0.5210931710091008,-0.02936134225672249
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,IL6_JAK_STAT3,ccc,0.3110457830631695,0.2614298356338219,-0.04961594742934761
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,IL6_JAK_STAT3,z_rmse,0.6874378841909011,0.7630924551964892,-0.07565457100558803
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,IL6_JAK_STAT3,ssim,0.2760692255447795,0.23198295784195916,-0.044086267702820314
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,IL6_JAK_STAT3,abs_moran_delta,0.1673879404118538,0.18505943474352016,-0.01767149433166637
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,P53_Pathway,pcc,0.5333217674054459,0.5300817569572547,-0.0032400104481912217
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,P53_Pathway,ccc,0.3141630296470885,0.2835192353360809,-0.030643794311007555
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,P53_Pathway,z_rmse,0.8380632402103297,0.9052073549077672,-0.06714411469743742
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,P53_Pathway,ssim,0.16577696291751565,0.15842724843525652,-0.007349714482259129
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,P53_Pathway,abs_moran_delta,0.03039226022488717,0.037130940561259373,-0.006738680336372205
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,DNA_Damage_Response,pcc,0.4379225193701701,0.48306160144273563,0.045139082072565506
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,DNA_Damage_Response,ccc,0.2757919829564313,0.35243776093131973,0.07664577797488842
