pathway,baseline_raw_r2,intercept_oracle_raw_r2,intercept_delta_raw_r2,location_scale_oracle_raw_r2,location_scale_delta_raw_r2,location_scale_increment_over_intercept,positive_affine_oracle_raw_r2,positive_affine_delta_raw_r2,positive_affine_increment_over_intercept,positive_affine_slope,positive_affine_intercept,intercept_gain_ci95_low,intercept_gain_ci95_high,intercept_gain_supported,location_scale_gain_ci95_low,location_scale_gain_ci95_high,location_scale_gain_supported,location_scale_increment_ci95_low,location_scale_increment_ci95_high,location_scale_increment_supported,positive_affine_gain_ci95_low,positive_affine_gain_ci95_high,positive_affine_gain_supported,positive_affine_increment_over_intercept_ci95_low,positive_affine_increment_over_intercept_ci95_high,positive_affine_increment_over_intercept_supported,trim_1pct_gain_ci95_low,trim_1pct_gain_ci95_high,trim_1pct_gain_supported,trim_5pct_gain_ci95_low,trim_5pct_gain_ci95_high,trim_5pct_gain_supported,patient_balanced_pcc_gap_ci95_low,patient_balanced_pcc_gap_ci95_high,patient_balanced_pcc_gap_supported,patient_balanced_r2_gap_ci95_low,patient_balanced_r2_gap_ci95_high,patient_balanced_r2_gap_supported
tls,0.38636895043839303,0.3916560026269368,0.0052870521885437505,0.32797389946025923,-0.0583950509781338,-0.06368210316667755,0.44087866941192155,0.05450971897352852,0.04922266678498477,1.5018077547859638,2115.403284028441,,,,,,,,,,,,,,,,,,,,,,,,,,,
tgfb,0.08320535300564746,0.19166393839220675,0.10845858538655928,-0.12193054642879586,-0.20513589943444333,-0.3135944848210026,0.19275149132370817,0.1095461383180607,0.0010875529315014232,0.9301331069087153,738.8304172317585,,,,,,,,,,,,,,,,,,,,,,,,,,,
emt,0.17257837188166636,0.3119405102081969,0.13936213832653055,0.18373428153544147,0.011155909653775109,-0.12820622867275544,0.350306712320557,0.17772834043889063,0.03836620211236008,0.7513482780771427,477.275235540837,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypoxia,0.039634188679637194,0.03964114498760973,6.956307972538767e-06,-0.2888598767537156,-0.3284940654333528,-0.32850102174132534,0.12643006872268492,0.08679588004304772,0.08678892373507519,0.5468881172931599,1850.5802315968385,,,,,,,,,,,,,,,,,,,,,,,,,,,
mhc,0.2183545347561041,0.24653625842912663,0.02818172367302252,0.006450918990652754,-0.21190361576545136,-0.24008533943847388,0.25323586308428236,0.03488132832817825,0.006699604655155733,0.8601018796244598,1105.6774586685306,,,,,,,,,,,,,,,,,,,,,,,,,,,
icp,-0.307725356548999,0.07958213465706854,0.38730749120606756,-0.3883178477717313,-0.08059249122273227,-0.4678999824287998,0.09353876383865178,0.4012641203876508,0.013956629181583247,0.7213585874800076,36.660753703937644,,,,,,,,,,,,,,,,,,,,,,,,,,,
ifng,-0.3741041801445575,-0.11456726568893583,0.25953691445562166,-0.6987886824190099,-0.32468450227445245,-0.5842214167300741,0.022682064459719098,0.3967862446042766,0.13724933014865492,0.2890274100058056,737.390864188839,,,,,,,,,,,,,,,,,,,,,,,,,,,
toxic,0.11746255396386518,0.1367590726853748,0.019296518721509615,-0.23948583315106453,-0.3569483871149297,-0.3762449058364393,0.14459544949448266,0.027132895530617485,0.00783637680910787,0.811162512223429,-347.19468695713294,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glycolysis,-0.40584123842597597,0.3631639032454923,0.7690051416714683,0.21476194986452835,0.6206031882905043,-0.14840195338096396,0.36891164870966786,0.7747528871356438,0.005747745464175558,0.8890303612675795,1332.0815095236667,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inflammatory_Response,0.19196587971703183,0.19197276736000457,6.887642972741581e-06,-0.10218716819218998,-0.2941530479092218,-0.29415993555219455,0.20151697023968973,0.009551090522657901,0.00954420287968516,0.8212691475176739,-25.874787874447463,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL6_JAK_STAT3,-0.32629065674481916,0.30768809651744744,0.6339787532622666,0.11698066147944552,0.4432713182242647,-0.19070743503800192,0.3119114495297646,0.6382021062745837,0.0042233530123171326,1.131685784043481,466.79339292385885,,,,,,,,,,,,,,,,,,,,,,,,,,,
P53_Pathway,-0.2763090352977946,0.3137676770914197,0.5900767123892143,0.12349632240409514,0.39980535770188974,-0.1902713546873246,0.3155609966138817,0.5918700319116763,0.001793319522461978,1.081531686625032,775.2711705383158,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNA_Damage_Response,-0.16611754532726208,0.2454199063137511,0.4115374516410132,0.008242881234958643,0.17436042656222073,-0.23717702507879246,0.2541384268902427,0.42025597221750477,0.008718520576491584,0.8437257165449042,1163.5979238447399,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complement,-1.694794006752065,-0.030726265968093802,1.6640677407839712,-0.2774284641736755,1.4173655425783895,-0.2467021982055817,0.13052740609660352,1.8253214128486686,0.16125367206469732,0.47360013438542764,1251.4159845166532,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coagulation,0.1324687726026994,0.13402530736047458,0.0015565347577751742,-0.1427893546055412,-0.2752581272082406,-0.2768146619660158,0.18370252264439613,0.051233750041696724,0.04967721528392155,0.6578855547152972,-204.96306277213654,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxidative_Phosphorylation,0.6128963380644099,0.616481418600944,0.0035850805365340577,0.5708614223582908,-0.04203491570611906,-0.045619996242653116,0.6169014020633782,0.004005063998968272,0.0004199834624342147,1.026791085204097,-39.27460366728701,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive_Oxygen_Species,-0.5280710591823379,0.03848190476617397,0.5665529639485118,-0.43881840861426347,0.08925265056807441,-0.47730031338043744,0.07873119462755684,0.6068022538098947,0.040249289861382875,0.5830905756392223,2134.468786662722,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wound_Healing,0.336362170261597,0.3754978244493681,0.039135654187771096,0.26715465843826114,-0.06920751182333584,-0.10834316601110694,0.40142023210044653,0.06505806183884955,0.02592240765107845,0.7973721627662802,1014.699722708715,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibrosis,0.512135037285919,0.5161810841688796,0.004046046882960619,0.44122855065579536,-0.07090648663012367,-0.07495253351308429,0.5192849338063511,0.007149896520432075,0.0031038496374714564,0.9282361156359791,467.8937405777406,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYC_Targets,0.4073893825920357,0.5902727697581416,0.18288338716610586,0.5459365657398915,0.13854718314785575,-0.044336204018250114,0.5974799663229124,0.19009058373087673,0.007207196564770868,0.9010387898668091,1190.0948621677226,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2F_Targets,0.0011873488603014737,0.39472753127607885,0.3935401824157774,0.26777646056439586,0.2665891117040944,-0.126951070711683,0.4018142884902969,0.4006269396299954,0.007086757214218031,0.8827652603997659,1308.2247172070684,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2M_Checkpoint,-0.19134676819013885,0.453242338801512,0.6445891069916508,0.3485149691041124,0.5398617372942512,-0.1047273696973996,0.4546231554744663,0.6459699236646052,0.0013808166729543103,1.0583259299678682,1468.6976416809293,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitotic_Spindle,-0.09960305101121492,0.40349981575650085,0.5031028667677158,0.2709563316996241,0.370559382710839,-0.13254348405687677,0.4038324992718413,0.5034355502830562,0.0003326835153404373,1.0295503478286454,1157.8729100949004,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unfolded_Protein_Response,0.13969131721038708,0.35915249456334386,0.21946117735295678,0.2051268740741451,0.06543555686375802,-0.15402562048919877,0.36308269565393025,0.22339137844354318,0.003930201090586394,1.1161225287567105,128.02784038612663,,,,,,,,,,,,,,,,,,,,,,,,,,,
mTOR_Signaling,0.3904013826778301,0.43870103636521984,0.048299653687389754,0.32473114085139054,-0.06567024182643955,-0.1139698955138293,0.4387281488853567,0.04832676620752663,2.711252013687382e-05,0.9922001458748563,286.40955912775826,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interferon_Alpha,-2.6751053783419865,-0.06269470232265828,2.612410676019328,-0.565535719883888,2.1095696584580983,-0.5028410175612297,0.04718980267420281,2.7222951810161895,0.10988450499686109,0.3958885382387415,3657.8696718820074,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angiogenesis,0.3150827482024734,0.4035776266052443,0.08849487840277093,0.2740387424722822,-0.04104400573019118,-0.1295388841329621,0.4057936793300887,0.0907109311276153,0.002216052724844375,1.0797956028291213,-656.1981324095378,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apoptosis,0.0903887225938309,0.1672378648701317,0.0768491422763008,-0.14951637309908983,-0.23990509569292073,-0.31675423796922153,0.18083059990663164,0.09044187731280073,0.013592735036499937,0.7848255905942214,776.6538446660682,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNF_Signaling,-0.27495764543330403,0.04019481595725305,0.3151524613905571,-0.3916952710806758,-0.11673762564737178,-0.43189008703792886,0.09250866080640308,0.3674663062397071,0.052313844849150026,0.5707766604939352,1272.3929551382348,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_Organization,0.5321936693862169,0.537976143153543,0.005782473767326102,0.47055930724689177,-0.06163436213932516,-0.06741683590665126,0.5406361690326145,0.008442499646397539,0.002660025879071437,0.9344537015505756,245.89307205649584,,,,,,,,,,,,,,,,,,,,,,,,,,,
__MEAN__,-0.08801663997401364,0.2693684384995919,0.35738507847360557,0.03877241306669402,0.1267890530407077,-0.2305960254328979,0.2977848643942244,0.385801504368238,0.028416425894632478,0.8463929689048303,862.889075899412,0.19127274463251528,0.5773093417568721,True,-0.03640123812317878,0.3322877652589412,False,-0.2854662107456827,-0.17930506491184098,False,0.2131870736576405,0.6154130282550904,True,0.014783544884721491,0.044402526394434254,True,0.014196498644894603,0.03531218950198989,True,-2.0527484866203745,0.1255040661801146,False,0.09092255493135447,0.16865427689158086,True,-0.48636491203782356,0.7081954849077389,False
