pathway,internal_true_mean,internal_true_std,internal_pred_mean,internal_pred_std,internal_bias,internal_mse,internal_raw_r2,internal_pcc,internal_ccc,internal_mae,internal_patient_balanced_raw_r2,internal_patient_balanced_pcc,xzy_true_mean,xzy_true_std,xzy_pred_mean,xzy_pred_std,xzy_bias,xzy_error_variance,xzy_bias_squared,xzy_bias_share_of_mse,xzy_mse_identity_abs_error,xzy_mse,xzy_raw_r2,xzy_pcc,xzy_ccc,xzy_mae,xzy_calibrated_raw_r2,ridge_delta_raw_r2,xzy_true_mean_minus_internal_mean,xzy_pred_mean_minus_internal_pred_mean,xzy_true_std_ratio_to_internal,xzy_pred_std_ratio_to_internal,xzy_true_mean_outside_internal_patient_range,xzy_true_std_outside_internal_patient_range,xzy_pred_mean_outside_internal_patient_range,xzy_pred_std_outside_internal_patient_range,trim_1pct_raw_r2,trim_1pct_delta_raw_r2,trim_5pct_raw_r2,trim_5pct_delta_raw_r2
tls,-2334.2908663897592,1613.9619393417572,-2390.340589435031,1375.6836698197687,-56.04972304527123,764845.4885830306,0.7063789877689113,0.8412541009437826,0.8300539843680919,592.1129825078438,0.5392880832980794,0.7321053751088714,-3745.8752936095007,2158.377525193241,-3902.815496164011,954.2729452235216,-156.9402025545103,2834027.417026017,24630.227177850724,0.00861601151428198,0.0,2858657.6442038678,0.38636895043839303,0.6639869497301302,0.4889651642829509,1178.2267359477232,0.38636895043839303,0.0,-1411.5844272197414,-1512.4749067289804,1.337316248035886,0.6936717838255235,False,True,False,False,0.3877683781420107,0.0013994277036176728,0.35925994713877574,-0.027109003299617296
tgfb,3983.279363110888,1738.1714974858244,3937.203974336929,1250.0633555456004,-46.075388773958714,1305925.3783817634,0.5677518795180014,0.7548000583293607,0.7152378414462418,873.6741856536144,0.2708839533060148,0.4921130310384499,5713.2913984195675,1108.8376690928205,5348.1173223909445,523.3855665214242,-365.1740760286229,993866.1437266974,133352.10580335846,0.118301940071458,0.0,1127218.2495300558,0.08320535300564746,0.43903472678560207,0.3113303770685345,847.5146751116737,0.08320535300564746,0.0,1730.0120353086795,1410.9133480540154,0.6379334091582431,0.41868723229070914,True,False,False,False,0.07735244181389489,-0.0058529111917525745,0.10351280531764917,0.020307452312001706
emt,2291.5878797740224,2129.882825834255,2333.2136700054007,1753.1980705004341,41.62579023137843,1673203.428132158,0.6311605868175749,0.795188041243632,0.7801840185272493,1002.8793656063091,0.5026235007073683,0.7086050001651009,3308.6164275653286,1231.4908492042905,3768.34721611459,970.0946805461637,459.730788549261,1043490.1820480486,211352.39794012532,0.1684294120319994,0.0,1254842.579988174,0.17257837188166636,0.5918671407677207,0.5298464392492157,869.8545799863355,0.17257837188166636,0.0,1017.0285477913062,1435.1335461091894,0.5781965253050609,0.5533286266218963,False,True,False,True,0.21249844354869463,0.03992007166702827,0.29369167741831126,0.1211133055366449
hypoxia,2625.0152257256927,2509.001888597513,2788.304517655186,1913.9063664376188,163.28929192949397,2723496.775294534,0.5673617741871512,0.7560706691534103,0.7272354871792664,1303.6160518913853,0.4048967009427548,0.6529041211899221,4079.4129018008894,1490.4052703894097,4075.4819856677977,969.016288850433,-3.930916133091483,2133252.682667561,15.452101645398898,7.243394017635119e-06,0.0,2133268.1347692064,0.039634188679637194,0.3555700616231422,0.3249826254999001,1143.814110590295,0.039634188679637194,0.0,1454.3976760751966,1287.1774680126118,0.5940231759739805,0.5063028713646409,False,False,False,False,0.04853065310058102,0.008896464420943828,0.1016512758528284,0.06201708717319121
mhc,8062.238702613864,2133.315541009311,8131.419145375202,1443.1111431295778,69.18044276133716,2540409.220536932,0.44179530364304154,0.6655568226964388,0.6173155124771275,938.1997538412528,-8.216877906780448,0.429925728863209,8880.434421838278,946.6009335361956,9039.344230435101,553.8340294587474,158.9098085968224,675143.692688434,25252.327268278725,0.0360543557483942,1.1641532182693481e-10,700396.0199567128,0.2183545347561041,0.5032254594953265,0.42966248476218094,425.56124414744147,0.2183545347561041,0.0,818.1957192244136,907.9250850598992,0.4437228883113753,0.3837778067860282,False,False,True,False,0.20788814207045936,-0.010466392685644754,-21.06455966442886,-21.282914199184965
icp,-3626.674085186663,1599.360777060909,-3593.5950397381494,1004.5855995464474,33.07904544851317,1753772.8974932174,0.3143847451010293,0.5646587148957284,0.5085049670699637,949.6872278581254,0.20216559443549106,0.4545522935911652,-2963.5745732625564,1921.088618388687,-4159.145505493335,814.5017201654861,-1195.5709322307787,3396877.127421983,1429389.8539951732,0.2961688318318967,9.313225746154785e-10,4826266.981417156,-0.307725356548999,0.3058410761141342,0.16549434389573156,1726.5154009248738,-0.30833260337536683,-0.0006072468263678132,663.0995119241065,-565.5504657551855,1.201160267240645,0.8107837903840341,False,False,False,False,-0.30008198025264976,0.007643376296349258,-0.20715982370950314,0.10056553283949587
ifng,-632.8554566347752,2943.6699980536814,-636.305374027539,2125.0666989501515,-3.4499173927635205,4875949.283717366,0.4372947894646071,0.6638294840810389,0.6300806219444576,1694.6455939370242,0.16860210568075118,0.4158726727333894,617.2912568663681,2027.3357017932733,-415.5301648382016,1056.3988687160618,-1032.82142170457,4580971.826273439,1066720.0891318491,0.18887717409339236,0.0,5647691.915405288,-0.3741041801445575,0.15060565879049492,0.1025136583129922,1845.3599149908255,-0.3741041801445575,0.0,1250.1467135011435,220.77520918933737,0.6887102505150791,0.4971132761329117,False,False,False,False,-0.3513766462309229,0.02272753391363458,-0.2555117683497634,0.11859241179479407
toxic,-2051.811362928906,1980.6602166561102,-2035.4805988025462,1330.8754258194037,16.330764126360066,2074241.6948474413,0.47126336479063013,0.6866943851556261,0.6357471783488754,987.5563266833891,0.31593113740990364,0.5735089801569105,-3164.8054370855853,2222.5676572213765,-3473.5465553077247,1041.8961457328332,-308.74111822213905,4264243.567602676,95321.07808105684,0.02186481583096404,9.313225746154785e-10,4359564.645683734,0.11746255396386518,0.3802570834244679,0.2877314700601653,1594.8491520268567,0.11746255396386518,0.0,-1112.9940741566793,-1438.0659565051785,1.1221347500853385,0.782865267116455,False,False,False,False,0.15189414650447108,0.034431592540605904,0.19663451428894974,0.07917196032508456
Glycolysis,2752.42166350445,1735.0930726994698,2771.799280581646,1453.1439688355458,19.377617077195517,879187.6179645435,0.7079642555261986,0.841489680490381,0.8283691772938248,739.4363301621053,0.49717603899617807,0.7258312676986717,4779.103546783198,1028.3848020707183,3877.282697460149,702.587212878367,-901.8208493230487,673502.1267956217,813280.844273745,0.5470071019772267,2.3283064365386963e-10,1486782.9710693664,-0.40584123842597597,0.6073809749322644,0.3712021811860701,1029.8651051785666,-0.40584123842597597,0.0,2026.681883278748,1105.4834168785028,0.5926971977766876,0.4834945662275805,True,False,False,True,-0.3282818926945754,0.07755934573140055,-0.17360657495651255,0.23223466346946342
Inflammatory_Response,-17.438179644815712,1978.096861368656,-53.414321992965114,1583.127551403413,-35.97614234814943,1438770.3681193085,0.6322976740153078,0.7953947405836402,0.7759083241687231,906.3069423348662,0.42321594499732645,0.6436890092454378,-168.08675167804896,1933.5474915760271,-173.16121545956534,1056.8787066297302,-5.074463781516387,3020895.381070016,25.750182669921593,8.52395065979222e-06,0.0,3020921.131252686,0.19196587971703183,0.44890641590390523,0.37785113222986555,1348.6907257231373,0.19196587971703183,0.0,-150.64857203323325,-119.74689346660023,0.9774786712103649,0.6675891059395859,False,False,False,False,0.19823616202630434,0.006270282309272512,0.21097167924389082,0.01900579952685899
