pathway,prediction_decile,n_patches,mean_true,mean_prediction,mean_residual_pred_minus_true,mae
tls,1,104,-4543.998238192311,-4997.372502287994,-453.374264095684,868.3906923829286
tls,2,104,-4684.298873196351,-4685.549201139825,-1.2503279434733328,800.1674494900915
tls,3,104,-4386.358049503958,-4503.994449119549,-117.63639961559186,1004.9073362980752
tls,4,104,-4399.676726434063,-4345.867538311733,53.809188122329786,978.8019868832324
tls,5,104,-4244.689183897697,-4192.394444460024,52.29473943767269,1097.001704339545
tls,6,103,-4289.776482744668,-4042.225144927685,247.55133781698362,997.7680699100114
tls,7,104,-3962.201407770023,-3876.3486815140964,85.85272625592587,1315.2047600752364
tls,8,104,-4146.213529037254,-3633.0738271928644,513.1397018443905,1193.87213282213
tls,9,104,-3285.5174543929725,-3187.309731427682,98.20772296529012,1013.2116608361847
tls,10,104,478.7471899479946,-1565.3599186506103,-2044.107108598605,2511.2063869586655
tgfb,1,104,4347.11107712041,4213.782325252588,-133.32875186782252,1259.9546279385754
tgfb,2,104,5689.017394104808,4891.439323218369,-797.5780708864387,1185.2385813560238
tgfb,3,104,5733.998781112929,5117.355693881982,-616.6430872309462,1047.997837167232
tgfb,4,104,5794.619119548365,5259.1920553324435,-535.427064215922,896.3165485316841
tgfb,5,104,5870.778794798174,5386.211005189753,-484.5677896084211,857.800856019851
tgfb,6,103,5908.047612419108,5484.47668240452,-423.5709300145892,719.256204852395
tgfb,7,104,5872.882280482407,5570.657058586147,-302.2252218962582,718.9726535069923
tgfb,8,104,5856.062109014486,5674.421385646426,-181.64072336805992,665.3098582302835
tgfb,9,104,5862.025167037102,5807.047029664337,-54.9781373727647,641.71195275813
tgfb,10,104,6200.244304461727,6077.901812425318,-122.34249203640965,481.3543762338461
emt,1,104,1953.4247839718978,2036.4994742172971,83.07469024539945,925.0788508018657
emt,2,104,2416.869463940422,2642.9992844193166,226.12982047889454,976.9843991896876
emt,3,104,2895.84608685493,3117.855510287972,222.00942343304104,872.7969599989837
emt,4,104,3061.2365156990954,3449.754200158088,388.51768445899256,889.9643323266653
emt,5,104,3088.5590434297746,3706.6753056140465,618.1162621842719,949.8266187206347
emt,6,103,3544.117307818543,3946.593426794002,402.47611897545977,758.4089008132769
emt,7,104,3716.8061555174813,4186.305266126911,469.4991106094298,707.951465751664
emt,8,104,3919.758951348289,4449.023177616334,529.2642262680454,751.9748163499764
emt,9,104,4113.059624419781,4761.189670472637,648.1300460528546,786.9640394151874
emt,10,104,4378.750774193969,5388.290751311211,1009.5399771172426,1077.5238234264423
hypoxia,1,104,2755.3495754831943,2043.552035540106,-711.7975399430882,1914.8126145769977
hypoxia,2,104,3795.0089769616698,3234.525644403271,-560.4833325583985,1177.9788136274333
hypoxia,3,104,3872.727829440974,3586.346938958013,-286.3808904829608,974.6723714062656
hypoxia,4,104,3905.2239182456888,3827.959597840602,-77.2643204050872,1028.3297891644602
hypoxia,5,104,4322.137860830707,4037.17395134647,-284.9639094842371,914.6654449335674
hypoxia,6,103,4146.107271761197,4260.500307998987,114.3930362377887,1193.6843899433813
hypoxia,7,104,4272.902903228749,4478.042765420924,205.13986219217546,1032.38693876853
hypoxia,8,104,4314.4587956779715,4709.266542786844,394.80774710887323,1018.3759747724015
hypoxia,9,104,4537.83394283804,5007.175907480632,469.3419646425931,1070.5613171918558
hypoxia,10,104,4873.019235559554,5572.055187232239,699.035951672685,1113.1529734349149
mhc,1,104,7727.3300123923045,7773.540092410728,46.21008001842426,1623.156853076078
mhc,2,104,8867.652521231914,8640.76450832574,-226.8880129061776,510.37770977817115
mhc,3,104,8963.628969315141,8886.48076549387,-77.14820382127101,215.36528454382986
mhc,4,104,9028.603709129808,9012.363717552867,-16.239991576940017,40.98442371108398
mhc,5,104,9028.074827837136,9117.94481881428,89.86999097714427,89.86999097714427
mhc,6,103,9036.843049937608,9208.429730915244,171.58668097763496,171.58668097763496
mhc,7,104,9040.960153454384,9281.646431891531,240.68627843714603,240.68627843714603
