grid_size_px,cell_x,cell_y,pathway,n_patches,bias,mae,raw_r2
1024,12,5,tls,2,-554.2047887163885,1222.8402258343071,-2.299281832515347
1024,12,5,tgfb,2,-594.3925877358206,594.3925877358206,0.29798698874881124
1024,12,5,emt,2,-77.66947881725548,946.9671160391316,0.15872052946290327
1024,12,5,hypoxia,2,-44.49431522454279,1090.012565489466,-0.5912585595416531
1024,12,5,mhc,2,-609.2583778057406,609.2583778057406,
1024,12,5,icp,2,-432.090779002373,1436.0337351716507,-0.1418754735402088
1024,12,5,ifng,2,-315.17758163454073,315.17758163454073,-69.52184256002455
1024,12,5,toxic,2,343.4963179501474,998.2146453323958,-7.757046541732912
1024,12,5,Glycolysis,2,-767.5391220512149,767.5391220512149,-0.7217512766197975
1024,12,5,Inflammatory_Response,2,-1167.0212119003547,1167.0212119003547,-0.0034974037230901533
1024,12,5,IL6_JAK_STAT3,2,-2617.855321592574,2617.855321592574,-45.70750090014506
1024,12,5,P53_Pathway,2,-939.739825149595,996.2579963234758,-4.730992741676321
1024,12,5,DNA_Damage_Response,2,-1703.9496767593887,1703.9496767593887,-31.73537586075272
1024,12,5,Complement,2,-1770.2502975027974,1770.2502975027974,-6.494622128493177
1024,12,5,Coagulation,2,-756.7768970433453,756.7768970433453,-182.69318795480686
1024,12,5,Oxidative_Phosphorylation,2,200.49178912129832,200.49178912129832,0.9523794451070858
1024,12,5,Reactive_Oxygen_Species,2,-1450.068227376808,1450.068227376808,-164.86296127827038
1024,12,5,Wound_Healing,2,-46.66036886748384,747.2458581940612,-0.7640604495917822
1024,12,5,Fibrosis,2,672.3577127151999,672.3577127151999,-0.06693061553048052
1024,12,5,MYC_Targets,2,-2352.963306065247,2352.963306065247,-437.58225479407537
1024,12,5,E2F_Targets,2,-2068.1386370531263,2068.1386370531263,-1287.0514945940652
1024,12,5,G2M_Checkpoint,2,-2183.7209834199884,2183.7209834199884,-38.625913387517976
1024,12,5,Mitotic_Spindle,2,-848.1255844084997,1017.5190303164043,-27.381250537833427
1024,12,5,Unfolded_Protein_Response,2,-1692.3964524315372,1692.3964524315372,-3540.290127512262
1024,12,5,mTOR_Signaling,2,-454.349914638594,712.1976321696719,0.5520596733665826
1024,12,5,Interferon_Alpha,2,-1864.3483010416192,1864.3483010416192,-16.20457467027722
1024,12,5,Angiogenesis,2,1144.375034673321,1144.375034673321,-12023.26547235413
1024,12,5,Apoptosis,2,428.14993038925036,428.14993038925036,-96292.47200758744
1024,12,5,TNF_Signaling,2,-1468.19337669548,1468.19337669548,-9.297205063723766
1024,12,5,ECM_Organization,2,29.314678336649195,449.04639714509904,0.8563124353732218
1024,12,6,tls,10,248.77331498194684,824.5916353387698,-0.2124232118282554
1024,12,6,tgfb,10,-1140.0486673573234,1140.0486673573234,-2.8049714687931964
1024,12,6,emt,10,1523.6983364019818,1647.0024121214046,-3.3132284383329527
1024,12,6,hypoxia,10,-1260.6401558499444,1358.3586229697542,-1.841741399496792
1024,12,6,mhc,10,-221.2239680761968,341.534324086004,-1154.6045406179937
1024,12,6,icp,10,-1528.678432566782,1880.0177816952964,-0.30285785892255057
1024,12,6,ifng,10,200.10747334762095,779.3986189123324,-2.873511769152319
1024,12,6,toxic,10,30.98511047089132,590.3621388855437,0.2967413777762866
1024,12,6,Glycolysis,10,-1331.887130785811,1331.887130785811,-16.87417023176859
1024,12,6,Inflammatory_Response,10,-1698.0435397762926,1698.0435397762926,-10.788495466436851
1024,12,6,IL6_JAK_STAT3,10,-1787.3541301573082,1787.3541301573082,-11.055713598045775
1024,12,6,P53_Pathway,10,-1186.6909156413822,1186.6909156413822,-1.1777897786389357
1024,12,6,DNA_Damage_Response,10,-817.2004999352506,1052.3299097487654,-0.878470417069942
1024,12,6,Complement,10,-1580.181481497213,1580.181481497213,-2.730385024052926
1024,12,6,Coagulation,10,-736.2666026479981,736.2666026479981,-1.6982426315145167
1024,12,6,Oxidative_Phosphorylation,10,-453.2483704629659,689.6364262120301,-1.2196175872433948
1024,12,6,Reactive_Oxygen_Species,10,-919.3472298967129,952.9222690124923,-3.927481046307646
1024,12,6,Wound_Healing,10,-71.49826525583596,621.9367849405102,-0.49255613982579294
1024,12,6,Fibrosis,10,1128.1016700266841,1209.6159833329937,-0.6001177024648452
1024,12,6,MYC_Targets,10,-1083.3966494270699,1083.3966494270699,-2.2421549148244373
1024,12,6,E2F_Targets,10,-957.4426444453596,1085.1244505688096,-0.20968681256673172
1024,12,6,G2M_Checkpoint,10,-1440.1110144363095,1580.0860752622216,-1.0709395779723252
1024,12,6,Mitotic_Spindle,10,-1014.0359703938324,1488.5671360555968,-0.4602939849642218
1024,12,6,Unfolded_Protein_Response,10,-1835.4101635685633,1835.4101635685633,-5.086491412680653
1024,12,6,mTOR_Signaling,10,59.06790988991688,715.7896384909935,-0.2574622528088202
1024,12,6,Interferon_Alpha,10,-1601.6831919091683,1601.6831919091683,-10.582677008943609
1024,12,6,Angiogenesis,10,972.5921255292639,994.1853674591239,-3.861067817514641
1024,12,6,Apoptosis,10,-533.639795938372,695.4001762908817,0.21166890193085686
1024,12,6,TNF_Signaling,10,-2032.9197782865776,2265.854924462041,-2.5039391397321715
1024,12,6,ECM_Organization,10,1002.8504804775448,1063.0349989328047,-1.116714589533561
1024,12,7,tls,14,501.93150295010184,682.434621229391,0.21963407438056803
1024,12,7,tgfb,14,-696.6891815533544,932.3647779937185,-1.0176180254579124
1024,12,7,emt,14,-8.945820951503363,723.0552070676453,0.09693390416995762
1024,12,7,hypoxia,14,-1085.6679676124954,1136.9357743165144,-6.706721040598292
1024,12,7,mhc,14,-21.40688213037434,222.6268008915431,-263.55890610198975
1024,12,7,icp,14,-1122.8444250148589,1445.7305897553338,-0.4862325607919129
1024,12,7,ifng,14,-133.51513049035216,1073.8956288896875,-1.712451865563556
1024,12,7,toxic,14,-528.4270441058169,1331.3684906982141,-0.073457310954131
1024,12,7,Glycolysis,14,-1323.4757399947205,1328.657304909016,-7.148736043138392
1024,12,7,Inflammatory_Response,14,-4265.536438423435,4265.536438423435,-14.68149539307764
1024,12,7,IL6_JAK_STAT3,14,-2093.249503144202,2093.249503144202,-5.889871615322939
1024,12,7,P53_Pathway,14,-1558.1318297821592,1558.1318297821592,-8.683579695811018
1024,12,7,DNA_Damage_Response,14,33.334914874192286,672.2080203876436,0.43303331771260445
1024,12,7,Complement,14,-1942.3742234530607,1942.3742234530607,-1.3035782725332572
1024,12,7,Coagulation,14,-682.7438261260359,684.1013994188943,-1.847773092619089
1024,12,7,Oxidative_Phosphorylation,14,-174.28202130034373,820.3745993169601,0.49621032733731296
1024,12,7,Reactive_Oxygen_Species,14,-221.93561804291207,268.87541510415525,0.5889932945438484
1024,12,7,Wound_Healing,14,-1052.6143642752136,1060.6779907205641,-4.2714967019557974
1024,12,7,Fibrosis,14,-667.1778422782193,825.9701683187769,-0.8187781898171482
1024,12,7,MYC_Targets,14,-1215.7864224415455,1260.6865974517154,-6.0032807508664225
1024,12,7,E2F_Targets,14,-35.12713854831491,880.6698983770782,0.5054899602108396
1024,12,7,G2M_Checkpoint,14,-1091.1194748053044,1447.9833539322922,0.4372254881488822
1024,12,7,Mitotic_Spindle,14,-574.421961229292,952.2093089237493,0.5672039709507385
1024,12,7,Unfolded_Protein_Response,14,-1592.8074701219375,1611.108291213001,-5.2755942136015825
1024,12,7,mTOR_Signaling,14,106.70773172930178,868.4364099503063,0.15428180706157857
1024,12,7,Interferon_Alpha,14,-1346.0865002695266,1570.0498972752232,-2.112745888594716
1024,12,7,Angiogenesis,14,-479.7074269478756,1209.5936093131315,-0.40029348999817604
1024,12,7,Apoptosis,14,-757.8237665886162,850.6367694108178,-1.2308903279032863
1024,12,7,TNF_Signaling,14,-3100.2117488956824,3100.2117488956824,-5.9543152369769405
1024,12,7,ECM_Organization,14,-745.4414850908032,858.8386824761808,-1.573694793471498
1024,12,8,tls,3,310.43046263361003,1116.9379682795254,-0.12609956199587424
1024,12,8,tgfb,3,-957.6324491824856,957.6324491824856,-2.2876824201506776
1024,12,8,emt,3,-204.76538592933744,307.9694192993017,-2.227027853629082
1024,12,8,hypoxia,3,459.6848391541377,459.6848391541377,-0.5483899400199912
1024,12,8,mhc,3,-185.30216288894312,316.01466459955253,-1116.7969950609552
1024,12,8,icp,3,-1605.909907695528,2159.993613575198,-0.5321609355022903
1024,12,8,ifng,3,-667.5052716434974,667.5052716434974,-0.5668631701508835
1024,12,8,toxic,3,-1138.9843569643733,1604.910798939499,-0.28764745977681305
1024,12,8,Glycolysis,3,-969.3919491078053,969.3919491078053,-31.401806158625583
1024,12,8,Inflammatory_Response,3,-4375.716986610336,4375.716986610336,-46.80282300048894
1024,12,8,IL6_JAK_STAT3,3,-2386.1994142014414,2386.1994142014414,-149.02684566179946
1024,12,8,P53_Pathway,3,-1371.399630601875,1371.399630601875,-6.449265514728259
