pathway,Mode_A1_Pure_OLS_Unconstrained_k,Mode_A1_Pure_OLS_Unconstrained_pcc,Mode_A1_Pure_OLS_Unconstrained_delta_pcc,Mode_A1_Pure_OLS_Unconstrained_pcc_changed,Mode_A2_Positive_OLS_Unconstrained_k,Mode_A2_Positive_OLS_Unconstrained_pcc,Mode_A2_Positive_OLS_Unconstrained_delta_pcc,Mode_A2_Positive_OLS_Unconstrained_pcc_changed,Mode_B_Pathway_Specific_Lambda_k,Mode_B_Pathway_Specific_Lambda_pcc,Mode_B_Pathway_Specific_Lambda_delta_pcc,Mode_B_Pathway_Specific_Lambda_pcc_changed,Mode_C_Lambda_0.0001_k,Mode_C_Lambda_0.0001_pcc,Mode_C_Lambda_0.0001_delta_pcc,Mode_C_Lambda_0.0001_pcc_changed,Mode_C_Lambda_0.01_k,Mode_C_Lambda_0.01_pcc,Mode_C_Lambda_0.01_delta_pcc,Mode_C_Lambda_0.01_pcc_changed,Mode_C_Lambda_0.1_k,Mode_C_Lambda_0.1_pcc,Mode_C_Lambda_0.1_delta_pcc,Mode_C_Lambda_0.1_pcc_changed,Mode_C_Lambda_1.0_k,Mode_C_Lambda_1.0_pcc,Mode_C_Lambda_1.0_delta_pcc,Mode_C_Lambda_1.0_pcc_changed,Mode_C_Lambda_10.0_k,Mode_C_Lambda_10.0_pcc,Mode_C_Lambda_10.0_delta_pcc,Mode_C_Lambda_10.0_pcc_changed
tls,0.998616298121453,0.6639869497301297,-4.440892098500626e-16,False,0.998616298121453,0.6639869497301297,-4.440892098500626e-16,False,0.9966379588880256,0.6639869497301298,-3.3306690738754696e-16,False,0.9986152912821296,0.6639869497301297,-4.440892098500626e-16,False,0.9985179075729487,0.6639869497301296,-5.551115123125783e-16,False,0.9978100205704191,0.6639869497301296,-5.551115123125783e-16,False,0.9966379588880256,0.6639869497301298,-3.3306690738754696e-16,False,0.9990191690016899,0.6639869497301296,-5.551115123125783e-16,False
tgfb,1.039655056872022,0.4390347267856021,5.551115123125783e-17,False,1.039655056872022,0.4390347267856021,5.551115123125783e-17,False,1.0025543121713425,0.43903472678560207,0.0,False,1.0396487884352468,0.439034726785602,-5.551115123125783e-17,False,1.0390385060089227,0.4390347267856022,1.1102230246251565e-16,False,1.0342860122799207,0.43903472678560207,0.0,False,1.0158319453598503,0.43903472678560207,0.0,False,1.0025543121713425,0.43903472678560207,0.0,False
emt,0.9618404807278496,0.5918671407677207,0.0,False,0.9618404807278496,0.5918671407677207,0.0,False,0.9973804456021951,0.5918671407677208,1.1102230246251565e-16,False,0.9618458209615227,0.5918671407677208,1.1102230246251565e-16,False,0.9623670252128108,0.5918671407677206,-1.1102230246251565e-16,False,0.9665124655726425,0.5918671407677206,-1.1102230246251565e-16,False,0.9839359334141707,0.5918671407677206,-1.1102230246251565e-16,False,0.9973804456021951,0.5918671407677208,1.1102230246251565e-16,False
hypoxia,0.9861132014426517,0.35557006162314214,-5.551115123125783e-17,False,0.9861132014426517,0.35557006162314214,-5.551115123125783e-17,False,0.9921606900438477,0.35557006162314214,-5.551115123125783e-17,False,0.9861141118302205,0.35557006162314214,-5.551115123125783e-17,False,0.9862041388315785,0.3555700616231422,0.0,False,0.9870042771851193,0.3555700616231421,-1.1102230246251565e-16,False,0.9921606900438477,0.35557006162314214,-5.551115123125783e-17,False,0.9984866585320007,0.35557006162314214,-5.551115123125783e-17,False
mhc,0.9512065790610569,0.5032254594953265,0.0,False,0.9512065790610569,0.5032254594953265,0.0,False,0.9853102096034247,0.5032254594953265,0.0,False,0.9512186378034159,0.5032254594953264,-1.1102230246251565e-16,False,0.9523821592967474,0.5032254594953269,4.440892098500626e-16,False,0.9607852963207357,0.5032254594953265,0.0,False,0.9853102096034247,0.5032254594953265,0.0,False,0.9978934522788101,0.5032254594953262,-3.3306690738754696e-16,False
icp,0.8933074691433467,0.3058410761141343,1.1102230246251565e-16,False,0.8933074691433467,0.3058410761141343,1.1102230246251565e-16,False,0.9945780086769422,0.30584107611413425,5.551115123125783e-17,False,0.8933274386909118,0.30584107611413414,-5.551115123125783e-17,False,0.895268046493616,0.30584107611413414,-5.551115123125783e-17,False,0.9101280282872032,0.3058410761141343,1.1102230246251565e-16,False,0.9628208808234388,0.30584107611413414,-5.551115123125783e-17,False,0.9945780086769422,0.30584107611413425,5.551115123125783e-17,False
ifng,0.9145788670875151,0.15060565879049503,1.1102230246251565e-16,False,0.9145788670875151,0.15060565879049503,1.1102230246251565e-16,False,0.9667157415711805,0.15060565879049495,2.7755575615628914e-17,False,0.9145922949663884,0.150605658790495,8.326672684688674e-17,False,0.9159009842404258,0.15060565879049495,2.7755575615628914e-17,False,0.9261775413273569,0.150605658790495,8.326672684688674e-17,False,0.9667157415711805,0.15060565879049495,2.7755575615628914e-17,False,0.9948592635618697,0.15060565879049495,2.7755575615628914e-17,False
toxic,1.0438376440795756,0.38025708342446785,-5.551115123125783e-17,False,1.0438376440795756,0.38025708342446785,-5.551115123125783e-17,False,1.0024980385611424,0.3802570834244678,-1.1102230246251565e-16,False,1.0438303596187521,0.3802570834244679,0.0,False,1.0431210199404262,0.3802570834244678,-1.1102230246251565e-16,False,1.037592548434429,0.38025708342446785,-5.551115123125783e-17,False,1.016492282687978,0.3802570834244679,0.0,False,1.0024980385611424,0.3802570834244678,-1.1102230246251565e-16,False
Glycolysis,0.9960395363916067,0.6073809749322643,-1.1102230246251565e-16,False,0.9960395363916067,0.6073809749322643,-1.1102230246251565e-16,False,0.9996695215326614,0.6073809749322644,0.0,False,0.9960400044211045,0.6073809749322641,-3.3306690738754696e-16,False,0.9960857533500824,0.6073809749322642,-2.220446049250313e-16,False,0.9964548324536099,0.6073809749322646,2.220446049250313e-16,False,0.9981413442027525,0.6073809749322644,0.0,False,0.9996695215326614,0.6073809749322644,0.0,False
Inflammatory_Response,1.0016127800768464,0.44890641590390495,-2.7755575615628914e-16,False,1.0016127800768464,0.44890641590390495,-2.7755575615628914e-16,False,1.0002587246447079,0.448906415903905,-2.220446049250313e-16,False,1.0016127916275626,0.44890641590390506,-1.6653345369377348e-16,False,1.0016137049057028,0.44890641590390495,-2.7755575615628914e-16,False,1.0016051197907974,0.4489064159039051,-1.1102230246251565e-16,False,1.0011813280160426,0.4489064159039051,-1.1102230246251565e-16,False,1.0002587246447079,0.448906415903905,-2.220446049250313e-16,False
