sampling_method,calibration_fraction,n_calibration,n_test,repeats,baseline_mean_r2_median,calibrated_mean_r2_median,delta_mean_r2_median,delta_mean_r2_p05,delta_mean_r2_p95,baseline_mean_raw_mae_median,calibrated_mean_raw_mae_median,delta_mean_raw_mae_median,calibrated_mean_ccc_median
random,0.01,10,1029,200,-0.0867924213442,0.203884174985,0.291105676961,0.224409851054,0.322350442195,1176.19343415,992.005663134,-183.847329519,0.444680381703
random,0.02,21,1018,200,-0.0870522904772,0.23381721867,0.321690753457,0.294252011325,0.341580222157,1176.37192536,969.487153212,-206.663579147,0.451852544845
random,0.05,52,987,200,-0.0873174455169,0.25566743076,0.344377106209,0.328585822066,0.35331550871,1176.33528893,955.918978893,-220.688816518,0.45803505331
random,0.1,104,935,200,-0.0865010667491,0.262314638691,0.349545215304,0.333972847392,0.363644047775,1175.95809587,952.417223105,-224.055311881,0.460293699546
random,0.2,208,831,200,-0.0869391517551,0.265871398739,0.354080044226,0.33318565684,0.374281609873,1176.16823186,949.326594491,-226.933391196,0.460657669411
spatial_stratified,0.01,10,1029,200,-0.0859724561669,0.211168062749,0.297361106898,0.256755397185,0.326242947576,1176.3397082,986.259712536,-190.234976982,0.44597485823
spatial_stratified,0.02,21,1018,200,-0.0907791267317,0.238889977095,0.329711022498,0.304484093431,0.342464291142,1175.90656279,970.093337943,-206.019569502,0.452746109611
spatial_stratified,0.05,52,987,200,-0.087206915354,0.258211030119,0.344753956294,0.332832320844,0.353056014128,1176.00387215,955.617871068,-220.787906374,0.458506965122
spatial_stratified,0.1,104,935,200,-0.0840863433479,0.263903774122,0.349082597897,0.337175672491,0.358924502372,1176.82486516,951.441243177,-225.401661208,0.46036256396
spatial_stratified,0.2,208,831,200,-0.086663055606,0.26631588457,0.354387568127,0.338521345368,0.36757172018,1176.56523685,949.248173192,-227.173267952,0.460744518107
