sampling_method,calibration_fraction,repeat,seed,pathway,intercept_z,intercept_raw,baseline_raw_r2,calibrated_raw_r2,delta_raw_r2,baseline_raw_mae,calibrated_raw_mae
random,0.01,0,20260725,tls,0.63629142493,1006.14615409,0.386530908952,0.232586968385,-0.153943940567,1173.36223525,1581.2846507
random,0.01,0,20260725,tgfb,-0.162745927274,-275.644615042,0.0830334810347,-0.14662947462,-0.229662955654,847.010295269,981.686913488
random,0.01,0,20260725,emt,0.0298243582249,64.0794967172,0.172606178279,0.130840881208,-0.0417652970714,872.907563243,896.185715798
random,0.01,0,20260725,hypoxia,-0.360520518571,-905.906870388,0.0439959007952,-0.335260972979,-0.379256873774,1141.82269671,1380.35741743
random,0.01,0,20260725,mhc,-0.0725671618246,-160.296752563,0.21875206438,0.246689124299,0.0279370599184,426.61749431,401.119379152
random,0.01,0,20260725,icp,0.549159476161,833.00162741,-0.305539292709,0.0470778814162,0.352617174125,1725.92428546,1495.4138995
random,0.01,0,20260725,ifng,0.601468630135,1746.13508286,-0.368398644975,-0.238398442356,0.130000202619,1841.86581933,1807.35892259
random,0.01,0,20260725,toxic,-0.0637868218124,-122.34454799,0.116323433788,0.0978659841908,-0.0184574495971,1597.97407685,1595.46257127
random,0.01,0,20260725,Glycolysis,0.257434743643,447.391333319,-0.411620296198,0.166588254388,0.578208550586,1031.45994947,746.264258848
random,0.01,0,20260725,Inflammatory_Response,-0.0441561609507,-84.4026838654,0.18874211605,0.186574161262,-0.00216795478783,1353.53052825,1347.13246729
random,0.01,0,20260725,IL6_JAK_STAT3,0.246325431764,484.57470766,-0.330021561398,0.144415884455,0.474437445853,1220.75347337,895.176227484
random,0.01,0,20260725,P53_Pathway,0.5937543571,995.69243129,-0.273285748947,0.312748462679,0.586034211626,1207.33509201,774.139039194
random,0.01,0,20260725,DNA_Damage_Response,0.43875580132,645.191884412,-0.164116249952,0.236397859881,0.400514109833,1080.2559629,837.125497427
random,0.01,0,20260725,Complement,0.976123735867,1705.93573355,-1.68440489136,-0.0286407017146,1.65576418964,2055.05740721,1166.69371227
