pathway,intercept_z,intercept_raw
tls,0.0564968362451,89.3365402691
tgfb,0.46614991799,789.523380698
emt,-0.117437390238,-252.321569017
hypoxia,-0.274860637635,-690.662881047
mhc,-0.0356628715992,-78.7772645461
icp,0.783594593406,1188.60840953
ifng,0.323501828313,939.164344545
toxic,0.77296236828,1482.55907527
Glycolysis,0.745921127498,1296.32326647
Inflammatory_Response,-0.0576995238662,-110.290264534
IL6_JAK_STAT3,0.450662758946,886.549850358
P53_Pathway,0.707099570334,1185.7659349
DNA_Damage_Response,0.288600408658,424.387873492
Complement,0.765172040462,1337.26317491
Coagulation,0.157343281806,156.433827011
Oxidative_Phosphorylation,0.0499770790339,121.551957766
Reactive_Oxygen_Species,0.322511248291,365.57777125
Wound_Healing,0.281836656481,563.878392986
Fibrosis,0.262051811442,727.338912681
MYC_Targets,0.464515006542,1469.5921319
E2F_Targets,0.365690413676,740.687316486
G2M_Checkpoint,0.771906533092,1661.54610923
Mitotic_Spindle,0.672256607562,1240.59737376
Unfolded_Protein_Response,0.359694781899,691.571020991
mTOR_Signaling,0.163344854116,294.325408529
Interferon_Alpha,0.879863948934,1637.35454628
Angiogenesis,-0.654585385323,-1156.70961387
Apoptosis,0.132061766088,206.315846249
TNF_Signaling,0.366764645837,802.72248709
ECM_Organization,0.0298168163281,94.498375376
