pathway,intercept_z_median,intercept_z_p05,intercept_z_p95,intercept_raw_median,baseline_raw_r2_median,calibrated_raw_r2_median,delta_raw_r2_median,delta_raw_r2_p05,delta_raw_r2_p95,baseline_raw_mae_median,calibrated_raw_mae_median
tls,0.0367767198011,-0.402522081733,0.522345685512,58.153785731,0.386697446841,0.371526867479,-0.0148476135029,-0.156618585858,0.00512807550273,1178.8347456,1193.60367006
tgfb,0.279202520102,-0.044806195125,0.533255213797,472.888461551,0.0852304728375,0.150153807523,0.0648438175121,-0.165734418214,0.107785009877,847.819785056,769.46224676
emt,-0.201399238855,-0.453707994968,0.0372130610235,-432.718845709,0.172499452552,0.286152530148,0.113980637848,-0.10528420741,0.138743312828,869.811775169,810.396891327
hypoxia,0.0328569117934,-0.238264940046,0.317487895321,82.5620196357,0.04103511276,0.00280057235744,-0.0378586665373,-0.31322150322,-0.000441812255701,1144.35937237,1170.37075843
mhc,-0.0526664182544,-0.264277578108,0.0552557109296,-116.337136565,0.219729291886,0.23891944326,0.0190177589059,-0.18582957027,0.0278846444107,426.610044332,411.095205316
icp,0.756500361301,0.232485130057,1.42566246323,1147.51007577,-0.307496608782,0.0370478535796,0.342239957826,0.0778821110175,0.387014711354,1726.15430838,1521.02258652
ifng,0.374166786764,0.0687089173167,0.734879865181,1086.25075436,-0.373546500121,-0.163935896968,0.207668307011,-0.070556121611,0.258584920731,1845.62703871,1723.1811112
toxic,0.118887245841,-0.358379516583,0.765388425589,228.028391147,0.117882550357,0.0951758790485,-0.0206009647553,-0.312080717653,0.0189858746173,1594.85290549,1634.92093729
Glycolysis,0.548051219434,0.347171294391,0.751194179915,952.44861793,-0.399875111008,0.333888029948,0.73732087935,0.571602993192,0.766175035114,1029.79464383,641.418076667
Inflammatory_Response,0.00209263898432,-0.343243875094,0.314111827668,3.99999327015,0.191071378888,0.16996899418,-0.0212788789758,-0.159360280206,-0.00011586170188,1349.56158154,1363.97631229
IL6_JAK_STAT3,0.554939472675,0.326986831203,0.74441440165,1091.68440634,-0.320101268155,0.283636233101,0.604469855566,0.459509641224,0.629739249615,1216.01448619,741.501672205
P53_Pathway,0.622651017085,0.352616175264,0.921071820483,1044.15049361,-0.271386350632,0.28563355146,0.559659063935,0.33031228168,0.588407053744,1206.03769264,793.506689204
DNA_Damage_Response,0.579212725721,0.214727924839,0.923283391744,851.734265073,-0.163371098072,0.207432425399,0.370988672421,0.135228513723,0.411096680128,1078.04711275,844.07235497
Complement,1.1020182305,0.779100822061,1.43776185054,1925.95693492,-1.69055988126,-0.0525850550788,1.63926437252,1.40884216451,1.66426249272,2058.36925195,1153.58944351
Coagulation,0.0438949691132,-0.336272357944,0.348543643737,43.6412532275,0.132775491029,0.0921012553382,-0.0392321247855,-0.292221739797,0.00145399346983,553.2829762,566.857119522
Oxidative_Phosphorylation,0.0670458490029,-0.129009991214,0.225908997059,163.065836658,0.613685743943,0.604168533011,-0.00885560175513,-0.102893228318,0.00350565694164,703.181655538,708.474061308
Reactive_Oxygen_Species,0.56531416513,0.257827624232,0.881874447968,640.803363107,-0.524401881536,0.0124477240563,0.537017672768,0.289017003063,0.565589467979,855.752537204,621.159968191
Wound_Healing,0.146355748829,-0.0922513221297,0.396953670103,292.817994239,0.336580853752,0.350476623198,0.014794167501,-0.165886037629,0.0388034036967,808.924688448,796.922399492
Fibrosis,0.0698990280274,-0.195867789863,0.323896998912,194.008515962,0.512552816671,0.493254789233,-0.0180015868989,-0.177875074349,0.00359611702583,1077.32197419,1083.70194523
MYC_Targets,0.263567993231,0.112883091699,0.424123429507,833.853467848,0.409800957189,0.57482735615,0.164898865018,0.0277186388606,0.181509414303,982.80282267,767.014330279
E2F_Targets,0.511651646625,0.221811314896,0.78238474343,1036.32436329,0.0042649013213,0.366749781418,0.364355469283,0.167776291789,0.391479106821,1229.93523204,919.67166714
G2M_Checkpoint,0.80691363737,0.455150526837,1.09708468966,1736.89968562,-0.188216108529,0.430644732925,0.620195016076,0.46908588927,0.643744627969,1899.21559759,1147.66767104
Mitotic_Spindle,0.697771088779,0.339120871704,1.02362496346,1287.68236785,-0.0975594482503,0.380282197926,0.477998343812,0.286529762615,0.502881809108,1540.82791084,1037.49588785
Unfolded_Protein_Response,0.356356674433,0.111737672091,0.610721106678,685.152972954,0.141888066138,0.336643767022,0.194890496057,0.0399286006172,0.218520207168,1009.35619164,793.937104294
mTOR_Signaling,0.172072019428,-0.072656086944,0.397248727195,310.050584014,0.391767368004,0.416390640462,0.0245228074179,-0.131058627599,0.0478055276707,735.325382352,698.610729952
Interferon_Alpha,0.990516486391,0.749823267581,1.22559415985,1843.26983067,-2.66292987071,-0.0916299020212,2.5713766989,2.36155229386,2.61653650527,1904.48200526,891.414327436
Angiogenesis,-0.26794198174,-0.686579121668,0.0927214832045,-473.476911014,0.31472544054,0.380423955721,0.0657165163543,-0.118127556337,0.0880894035085,1218.15959018,1115.99884533
Apoptosis,0.202047344949,-0.132798105301,0.470303201359,315.652063352,0.0915840442265,0.129139871935,0.0366754455464,-0.199592418183,0.076035712887,767.717056161,734.585316214
TNF_Signaling,0.40244708173,0.138615018707,0.683655230645,880.819146651,-0.272828978178,0.0107529876623,0.283908382614,0.0901966863221,0.314055447203,1356.77012747,1112.86730926
ECM_Organization,-0.0149112895131,-0.230033481989,0.184345734455,-47.2583195417,0.532370834456,0.514996041052,-0.0167276365287,-0.160848457557,0.00567922236964,1078.38661935,1105.452195
