patient_id,patch_id,x,y,role,sampling_method,calibration_fraction,repeat,seed
XZY,patch_x12656_y7280,12656,7280,test,spatial_stratified,0.01,130,20260855
XZY,patch_x12656_y7504,12656,7504,test,spatial_stratified,0.01,130,20260855
XZY,patch_x12656_y7728,12656,7728,test,spatial_stratified,0.01,130,20260855
XZY,patch_x12656_y7952,12656,7952,test,spatial_stratified,0.01,130,20260855
XZY,patch_x12880_y6160,12880,6160,test,spatial_stratified,0.01,130,20260855
XZY,patch_x12880_y6384,12880,6384,test,spatial_stratified,0.01,130,20260855
XZY,patch_x12880_y6608,12880,6608,test,spatial_stratified,0.01,130,20260855
XZY,patch_x12880_y6832,12880,6832,test,spatial_stratified,0.01,130,20260855
XZY,patch_x12880_y7056,12880,7056,test,spatial_stratified,0.01,130,20260855
XZY,patch_x12880_y7280,12880,7280,test,spatial_stratified,0.01,130,20260855
XZY,patch_x12880_y7504,12880,7504,test,spatial_stratified,0.01,130,20260855
XZY,patch_x12880_y7728,12880,7728,test,spatial_stratified,0.01,130,20260855
XZY,patch_x12880_y7952,12880,7952,test,spatial_stratified,0.01,130,20260855
XZY,patch_x12880_y8176,12880,8176,test,spatial_stratified,0.01,130,20260855
XZY,patch_x12880_y8400,12880,8400,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13104_y5712,13104,5712,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13104_y5936,13104,5936,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13104_y6160,13104,6160,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13104_y6384,13104,6384,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13104_y6608,13104,6608,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13104_y6832,13104,6832,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13104_y7056,13104,7056,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13104_y7280,13104,7280,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13104_y7504,13104,7504,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13104_y7728,13104,7728,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13104_y7952,13104,7952,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13104_y8176,13104,8176,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13104_y8400,13104,8400,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13104_y8624,13104,8624,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13328_y5264,13328,5264,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13328_y5488,13328,5488,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13328_y5712,13328,5712,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13328_y5936,13328,5936,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13328_y6160,13328,6160,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13328_y6384,13328,6384,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13328_y6608,13328,6608,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13328_y6832,13328,6832,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13328_y7056,13328,7056,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13328_y7280,13328,7280,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13328_y7504,13328,7504,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13328_y7728,13328,7728,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13328_y7952,13328,7952,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13328_y8176,13328,8176,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13328_y8400,13328,8400,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13328_y8624,13328,8624,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13328_y8848,13328,8848,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13552_y4816,13552,4816,calibration,spatial_stratified,0.01,130,20260855
XZY,patch_x13552_y5040,13552,5040,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13552_y5264,13552,5264,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13552_y5488,13552,5488,test,spatial_stratified,0.01,130,20260855
XZY,patch_x13552_y5712,13552,5712,test,spatial_stratified,0.01,130,20260855
