sampling_method,calibration_fraction,repeat,seed,n_calibration,n_test,baseline_mean_r2,calibrated_mean_r2,delta_mean_r2,baseline_mean_pcc,calibrated_mean_pcc,baseline_mean_ccc,calibrated_mean_ccc,baseline_mean_raw_mae,calibrated_mean_raw_mae,delta_mean_raw_mae
random,0.01,0,20260725,10,1029,-0.0870318912187,0.180075881499,0.267107772718,0.52058484515,0.52058484515,0.399480926644,0.436507821144,1176.11797565,1017.26829897,-158.849676676
random,0.01,1,20260726,10,1029,-0.0870727452729,0.227681805151,0.314754550424,0.519701470725,0.519701470725,0.399229003262,0.449997720655,1175.94792288,997.622773033,-178.325149846
random,0.01,2,20260727,10,1029,-0.0852078466431,0.202091190391,0.287299037034,0.519888580716,0.519888580716,0.399285727677,0.44487322919,1177.45631293,991.536852179,-185.919460756
random,0.01,3,20260728,10,1029,-0.0886734631755,0.215215099606,0.303888562781,0.519410248317,0.519410248317,0.39863639474,0.448405186251,1177.31388471,988.067366855,-189.246517856
random,0.01,4,20260729,10,1029,-0.0882513105094,0.214282198542,0.302533509052,0.519440503175,0.519440503175,0.398834936574,0.448539725843,1175.97546653,992.818655652,-183.156810878
random,0.01,5,20260730,10,1029,-0.0831031949353,0.191235734446,0.274338929382,0.520189763686,0.520189763686,0.399686078733,0.439370607105,1175.68341491,993.853682158,-181.829732755
random,0.01,6,20260731,10,1029,-0.090029055665,0.190718100845,0.28074715651,0.518800818831,0.518800818831,0.398395415277,0.442150427461,1176.65225056,1009.0175654,-167.634685151
random,0.01,7,20260732,10,1029,-0.0852262669197,0.216792560109,0.302018827028,0.519751366491,0.519751366491,0.399176824344,0.446700325349,1177.25509627,977.256734901,-199.998361369
random,0.01,8,20260733,10,1029,-0.0853320149144,0.184594907781,0.269926922696,0.51949419608,0.51949419608,0.399092842098,0.440491819748,1176.38491635,1016.70502781,-159.679888538
random,0.01,9,20260734,10,1029,-0.0857344902079,0.220093267988,0.305827758195,0.519935908402,0.519935908402,0.39919854269,0.449882931096,1177.34694888,971.098029778,-206.248919103
random,0.01,10,20260735,10,1029,-0.0861080717107,0.228495627991,0.314603699702,0.519442382227,0.519442382227,0.399141861577,0.449197099881,1177.3768467,972.876220869,-204.500625828
random,0.01,11,20260736,10,1029,-0.0868823282621,0.197994602742,0.284876931005,0.519136044808,0.519136044808,0.398860776592,0.439327853719,1175.50163621,991.087740138,-184.413896074
random,0.01,12,20260737,10,1029,-0.0856952673427,0.219400333958,0.305095601301,0.520265628643,0.520265628643,0.3996280378,0.446215845329,1176.83842318,981.565934368,-195.272488816
random,0.01,13,20260738,10,1029,-0.0886133896167,0.124460851364,0.213074240981,0.519900551758,0.519900551758,0.399151626438,0.418325859271,1175.61790064,1089.09414494,-86.5237557052
random,0.01,14,20260739,10,1029,-0.090184447048,0.174543328208,0.264727775256,0.520733359084,0.520733359084,0.399561702624,0.441585226827,1175.11326704,1021.70153611,-153.411730923
random,0.01,15,20260740,10,1029,-0.0844724520682,0.209265546331,0.293737998399,0.519989118205,0.519989118205,0.399698495497,0.444806625069,1176.32869549,973.7292251,-202.599470387
random,0.01,16,20260741,10,1029,-0.0821590684198,0.11038327962,0.192542348039,0.520649164561,0.520649164561,0.400119141635,0.425766317111,1174.62757438,1031.5429544,-143.084619985
random,0.01,17,20260742,10,1029,-0.0885303030275,0.195317237113,0.28384754014,0.519167760433,0.519167760433,0.398946648479,0.438477421465,1176.89327858,1009.24216975,-167.651108832
random,0.01,18,20260743,10,1029,-0.0868221315973,0.214389701725,0.301211833323,0.520538603505,0.520538603505,0.400161155685,0.449589608194,1174.57113677,988.973931581,-185.597205187
random,0.01,19,20260744,10,1029,-0.0922535408943,0.200264840617,0.292518381512,0.517161987881,0.517161987881,0.397029384613,0.439531163597,1175.87110853,995.558256006,-180.312852522
random,0.01,20,20260745,10,1029,-0.092778542008,0.179451959147,0.272230501155,0.517846853278,0.517846853278,0.397641791605,0.434722251491,1176.26523831,1025.59565359,-150.66958472
random,0.01,21,20260746,10,1029,-0.0863823527435,0.214074959055,0.300457311799,0.518731543103,0.518731543103,0.398278640957,0.446293358763,1176.7223262,984.225769823,-192.49655638
random,0.01,22,20260747,10,1029,-0.0844543831277,0.22166351485,0.306117897978,0.520506857469,0.520506857469,0.40010890749,0.448546047743,1176.06902608,976.708009249,-199.361016835
random,0.01,23,20260748,10,1029,-0.084680634864,0.219460593222,0.304141228086,0.52046593711,0.52046593711,0.400002690761,0.448864716019,1176.70809686,979.22182956,-197.486267305
random,0.01,24,20260749,10,1029,-0.0829330400197,0.185197136539,0.268130176559,0.520437051538,0.520437051538,0.399804508325,0.439609387417,1176.05416219,988.735894131,-187.318268054
random,0.01,25,20260750,10,1029,-0.0890517164499,0.200818415858,0.289870132307,0.517893591639,0.517893591639,0.397794076577,0.440735788586,1176.06965125,1011.28896558,-164.780685669
random,0.01,26,20260751,10,1029,-0.0910784140724,0.189961139414,0.281039553487,0.518226238695,0.518226238695,0.397757512508,0.439924977537,1175.40248835,1007.20591585,-168.196572491
random,0.01,27,20260752,10,1029,-0.084430797565,0.166995880814,0.251426678379,0.519992704542,0.519992704542,0.399953973385,0.435085100626,1176.16912872,1004.16573444,-172.003394278
random,0.01,28,20260753,10,1029,-0.0897731823996,0.19872324451,0.288496426909,0.519933603845,0.519933603845,0.399194841185,0.447162193318,1176.30219125,1003.42690271,-172.875288531
random,0.01,29,20260754,10,1029,-0.0861131800359,0.220948304512,0.307061484548,0.520427823097,0.520427823097,0.399661567468,0.452472089498,1176.15554512,985.414566997,-190.740978121
random,0.01,30,20260755,10,1029,-0.0841298175943,0.146571957731,0.230701775325,0.520546788062,0.520546788062,0.400148679767,0.429329384438,1175.57953328,1032.09415602,-143.485377254
random,0.01,31,20260756,10,1029,-0.0834515240933,0.218828542004,0.302280066098,0.520474242517,0.520474242517,0.400122995805,0.44886491024,1176.43973522,979.108294468,-197.331440756
random,0.01,32,20260757,10,1029,-0.0858282947357,0.1901153194,0.275943614136,0.519322354143,0.519322354143,0.398972098011,0.438212872904,1176.5711431,1001.1128491,-175.458294005
random,0.01,33,20260758,10,1029,-0.0833801216589,0.206707215409,0.290087337068,0.520461935605,0.520461935605,0.400287486987,0.443999070839,1175.81021891,973.829645542,-201.980573367
random,0.01,34,20260759,10,1029,-0.0846732295044,0.209042005128,0.293715234633,0.520858032011,0.520858032011,0.400342879875,0.449708881457,1175.87510849,985.005751616,-190.869356877
random,0.01,35,20260760,10,1029,-0.0854043966093,0.214441726544,0.299846123153,0.519793767967,0.519793767967,0.39919050064,0.446036762453,1177.10491305,982.074914953,-195.029998095
random,0.01,36,20260761,10,1029,-0.0910322559833,0.172059927517,0.2630921835,0.519249798572,0.519249798572,0.398266003513,0.438769766463,1176.70042485,1012.94730303,-163.753121818
random,0.01,37,20260762,10,1029,-0.0839903032282,0.165038443743,0.249028746971,0.520079700661,0.520079700661,0.399741060296,0.43059471992,1174.97433655,1016.72354735,-158.250789198
random,0.01,38,20260763,10,1029,-0.0869475780411,0.228183900079,0.31513147812,0.519661701518,0.519661701518,0.39877183373,0.450866023382,1177.54283796,975.058610398,-202.484227558
random,0.01,39,20260764,10,1029,-0.0889759511519,0.230381897482,0.319357848633,0.519147061807,0.519147061807,0.398515426277,0.452194367349,1177.07022771,968.819376753,-208.250850953
random,0.01,40,20260765,10,1029,-0.0903357327654,0.203108533727,0.293444266492,0.519060951709,0.519060951709,0.398362840157,0.442720084817,1175.93400492,1008.25645179,-167.677553128
random,0.01,41,20260766,10,1029,-0.085631878199,0.19389406276,0.279525940959,0.519989275829,0.519989275829,0.399465956936,0.439508417524,1176.66624085,1009.45882601,-167.207414841
random,0.01,42,20260767,10,1029,-0.0900211257485,0.196597056195,0.286618181943,0.518778792312,0.518778792312,0.398146481125,0.44257841016,1176.64918371,1011.07488968,-165.574294029
random,0.01,43,20260768,10,1029,-0.0839803775465,0.18774337746,0.271723755007,0.520795979914,0.520795979914,0.400265055646,0.437600590729,1175.31419009,1000.51455444,-174.799635641
random,0.01,44,20260769,10,1029,-0.087498247888,0.210235258494,0.297733506382,0.520074580203,0.520074580203,0.399676246282,0.4456593504,1176.07701495,985.747885631,-190.329129321
random,0.01,45,20260770,10,1029,-0.0963095861635,0.20893793552,0.305247521684,0.515992127235,0.515992127235,0.39575322395,0.442341955079,1176.02020445,997.606962019,-178.413242427
random,0.01,46,20260771,10,1029,-0.0835940524098,0.239637784317,0.323231836727,0.520722842222,0.520722842222,0.399586862624,0.454266276075,1176.08022283,958.551044429,-217.529178404
random,0.01,47,20260772,10,1029,-0.0841935401156,0.197311520306,0.281505060422,0.520445169702,0.520445169702,0.399973231712,0.443597605715,1176.4230507,989.417925328,-187.005125376
random,0.01,48,20260773,10,1029,-0.0854657934816,0.238085129631,0.323550923112,0.520258745607,0.520258745607,0.399411581603,0.453350184799,1177.17946384,971.576115483,-205.603348353
random,0.01,49,20260774,10,1029,-0.0863860768906,0.237471157279,0.32385723417,0.52039591283,0.52039591283,0.399630126908,0.453007163769,1176.56021446,978.000000686,-198.56021377
random,0.01,50,20260775,10,1029,-0.0875596492985,0.214121642907,0.301681292205,0.519171801853,0.519171801853,0.398760988674,0.447902316971,1177.40420043,983.204409452,-194.199790977
random,0.01,51,20260776,10,1029,-0.0869252115053,0.187835328003,0.274760539509,0.519272533705,0.519272533705,0.398547623382,0.441451250791,1176.47791737,989.289858362,-187.188059012
random,0.01,52,20260777,10,1029,-0.0840158892772,0.229894458657,0.313910347934,0.520647760368,0.520647760368,0.400087419121,0.449408155316,1175.87803693,973.304739425,-202.573297504
random,0.01,53,20260778,10,1029,-0.088147192109,0.185968266977,0.274115459086,0.520055410375,0.520055410375,0.399316567587,0.44073857022,1175.84275212,1009.28957165,-166.553180472
random,0.01,54,20260779,10,1029,-0.094953199133,0.171348139184,0.266301338317,0.516749114189,0.516749114189,0.396481678925,0.43195234169,1176.43957547,1034.39991016,-142.039665306
random,0.01,55,20260780,10,1029,-0.0855452640717,0.165253986361,0.250799250433,0.519978369086,0.519978369086,0.3997856759,0.439238710117,1175.72519553,998.780441835,-176.944753691
random,0.01,56,20260781,10,1029,-0.0878597090123,0.2243252597,0.312184968712,0.520234884323,0.520234884323,0.399286610656,0.447891860496,1176.24973709,1005.54652662,-170.703210464
