analysis_id,analysis_class,evidence_status,attempt_id,arm,analysis_card_id,task,seed,fold,split,n,n_positive,n_negative,auc,auprc,brier,calibration_intercept,calibration_slope,calibration_status,calibration_reason
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,1,0,test,31,15,16,0.8958333333333333,0.9028265107212474,0.14904222543526088,1.1748437677235966,1.4150830263617957,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,1,0,validation,31,15,16,0.875,0.8797883597883598,0.15090820498166277,0.5917548482746439,1.33205652368654,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,1,1,test,31,15,16,0.9208333333333334,0.919701502201502,0.11939034833418916,-0.2657888215150157,1.2602953607709182,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,1,1,validation,31,15,16,0.8333333333333334,0.8165777299133067,0.16902154134506037,-0.26830921498333715,1.2460750526862965,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,1,2,test,31,15,16,0.6583333333333333,0.6820105846373595,0.23245552882907314,0.03397473207429551,0.674090406980979,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,1,2,validation,31,15,16,0.7291666666666666,0.7482506279410304,0.2175324608713422,-0.4048802777076072,1.0013428784722207,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,1,3,test,31,15,16,0.8291666666666666,0.8163171648849398,0.18066708478526938,0.17852589720023065,0.8963335542915456,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,1,3,validation,31,15,16,0.9125,0.9257671957671956,0.12015466710590178,-0.6167920904279632,1.5567025947217525,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,1,4,test,31,15,16,0.875,0.8983583083583083,0.16453810996176443,-0.41327346130894854,2.4436068549323773,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,1,4,validation,31,15,16,0.7249999999999999,0.7658675477446091,0.2014087102301483,0.12504421301585236,1.1252416132413103,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,2,0,test,31,15,16,0.9833333333333334,0.9838235294117645,0.06942196693479732,-1.6240755099667579,5.127313391714393,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,2,0,validation,31,15,16,0.9583333333333334,0.9733333333333332,0.06548024883721287,-0.5166976253784454,1.828239859254782,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,2,1,test,31,15,16,0.7833333333333334,0.8514567901234567,0.17350681524272402,0.18883315613715732,0.6595958846948978,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,2,1,validation,31,15,16,0.7166666666666666,0.8149954548397262,0.20346556894678738,0.31581507414812454,0.5371036017441093,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,2,2,test,31,15,16,0.9208333333333334,0.9357511769276474,0.15790504328003485,-0.9178768366991876,3.6651971204117832,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,2,2,validation,31,15,16,0.6416666666666666,0.6881936050643144,0.23131115813120487,-0.11316255942590168,0.936792413558401,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,2,3,test,31,15,16,0.8958333333333333,0.897566846638054,0.13779785549607715,-0.08027854189423636,1.9908555452888541,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,2,3,validation,31,15,16,0.7875000000000001,0.8389328449328448,0.1916581226437449,-0.19651979191239355,0.782289534588971,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,2,4,test,31,15,16,0.9666666666666667,0.9689987789987788,0.08411462096631696,0.6283163568668235,2.7519190113365806,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,2,4,validation,31,15,16,0.8583333333333333,0.8746731046731047,0.15547649442536177,0.3502941415447167,1.1462815861539288,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,42,0,test,31,15,16,0.8541666666666665,0.8991493886230728,0.14126497213520348,0.3720507736523294,1.1463729101638502,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,42,0,validation,31,15,16,0.8374999999999999,0.8786202686202684,0.16049769879976147,0.025442118877913998,1.0384014839658762,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,42,1,test,31,15,16,0.9125,0.9341269841269841,0.11719742043618847,-0.24479295800609918,1.9758353954648515,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,42,1,validation,31,15,16,0.8541666666666666,0.8875538109980834,0.13755794673582022,-0.045434018493107735,1.124349853509042,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,42,2,test,31,15,16,0.9000000000000001,0.9215552965552964,0.1366484087675102,-0.35579974854228835,1.5171497005720727,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,42,2,validation,31,15,16,0.9541666666666666,0.9565720012701437,0.11500838663233875,1.432840801632736,2.481015987636808,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,42,3,test,31,15,16,0.9708333333333333,0.9683778639660992,0.09062052565145658,0.41412577422770885,2.07447178012765,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,42,3,validation,31,15,16,0.8833333333333333,0.9113716108452949,0.1413069631269391,-0.5490054336463362,1.137141682078536,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,42,4,test,31,15,16,0.6916666666666667,0.6312439857279899,0.21733349543323421,-0.10506945045308129,0.8429632938254613,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,42,4,validation,31,15,16,0.7625,0.7129076479076479,0.20118732107682172,-0.18619994389591524,1.1462584947484455,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,61,0,test,31,15,16,0.8583333333333334,0.8850179014884896,0.15310459715834204,0.2945634981681207,0.9129632932534095,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,61,0,validation,31,15,16,0.8583333333333334,0.856656028521017,0.156912942928279,-0.13461974311770972,0.8951932827744268,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,61,1,test,31,15,16,0.8083333333333333,0.8492503983883294,0.17495817354065143,0.1543978467025504,0.7650903373334419,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,61,1,validation,31,15,16,0.8458333333333333,0.8555853405853404,0.15981033119058477,0.16446076257139383,1.077871602154335,computed,
