analysis_id,analysis_class,evidence_status,arm,split,patient,pathway,n,hh_count,ll_count,hl_count,lh_count,neutral_count,isolated_count,hotspot_definition,computation_status,reason
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,Angiogenesis,145,45,43,32,25,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,Apoptosis,145,41,26,37,41,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,Coagulation,145,50,24,38,33,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,Complement,145,51,22,35,37,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,DNA_Damage_Response,145,40,38,37,30,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,E2F_Targets,145,42,42,34,27,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,ECM_Organization,145,54,38,24,29,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,Fibrosis,145,59,41,20,25,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,G2M_Checkpoint,145,51,32,33,29,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,Glycolysis,145,53,38,27,27,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,IL6_JAK_STAT3,145,42,36,34,33,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,Inflammatory_Response,145,44,37,35,29,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,Interferon_Alpha,145,44,36,34,31,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,MYC_Targets,145,44,36,33,32,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,Mitotic_Spindle,145,39,31,37,38,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,Oxidative_Phosphorylation,145,53,38,28,26,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,P53_Pathway,145,48,40,26,31,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,Reactive_Oxygen_Species,145,38,25,43,39,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,TNF_Signaling,145,43,30,36,36,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,Unfolded_Protein_Response,145,43,39,34,29,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,Wound_Healing,145,54,37,28,26,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,emt,145,57,41,23,24,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,hypoxia,145,52,42,27,24,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,icp,145,56,30,32,27,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,ifng,145,51,25,35,34,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,mTOR_Signaling,145,48,28,30,39,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
