mpp_id,patient,patch_stem,x,y,split,block_id
2,HYZ15040,patch_x10248_y10248,10248,10248,train,HYZ15040:15:15
2,HYZ15040,patch_x10248_y10584,10248,10584,train,HYZ15040:15:15
2,HYZ15040,patch_x10248_y10920,10248,10920,train,HYZ15040:15:16
2,HYZ15040,patch_x10248_y11256,10248,11256,train,HYZ15040:15:16
2,HYZ15040,patch_x10248_y11592,10248,11592,internal_val,HYZ15040:15:17
2,HYZ15040,patch_x10248_y11928,10248,11928,internal_val,HYZ15040:15:17
2,HYZ15040,patch_x10248_y12264,10248,12264,train,HYZ15040:15:18
2,HYZ15040,patch_x10248_y12600,10248,12600,train,HYZ15040:15:18
2,HYZ15040,patch_x10248_y12936,10248,12936,internal_val,HYZ15040:15:19
2,HYZ15040,patch_x10248_y13272,10248,13272,internal_val,HYZ15040:15:19
2,HYZ15040,patch_x10248_y13608,10248,13608,train,HYZ15040:15:20
2,HYZ15040,patch_x10248_y13944,10248,13944,train,HYZ15040:15:20
2,HYZ15040,patch_x10248_y14280,10248,14280,train,HYZ15040:15:21
2,HYZ15040,patch_x10248_y14616,10248,14616,train,HYZ15040:15:21
2,HYZ15040,patch_x10248_y14952,10248,14952,train,HYZ15040:15:22
2,HYZ15040,patch_x10248_y15288,10248,15288,train,HYZ15040:15:22
2,HYZ15040,patch_x10248_y15624,10248,15624,train,HYZ15040:15:23
2,HYZ15040,patch_x10248_y16632,10248,16632,train,HYZ15040:15:24
2,HYZ15040,patch_x10248_y16968,10248,16968,internal_val,HYZ15040:15:25
2,HYZ15040,patch_x10248_y17304,10248,17304,internal_val,HYZ15040:15:25
2,HYZ15040,patch_x10248_y17640,10248,17640,train,HYZ15040:15:26
2,HYZ15040,patch_x10248_y17976,10248,17976,train,HYZ15040:15:26
2,HYZ15040,patch_x10248_y18312,10248,18312,train,HYZ15040:15:27
2,HYZ15040,patch_x10248_y18648,10248,18648,train,HYZ15040:15:27
2,HYZ15040,patch_x10248_y18984,10248,18984,train,HYZ15040:15:28
2,HYZ15040,patch_x10248_y19320,10248,19320,train,HYZ15040:15:28
2,HYZ15040,patch_x10248_y19656,10248,19656,train,HYZ15040:15:29
2,HYZ15040,patch_x10248_y19992,10248,19992,train,HYZ15040:15:29
2,HYZ15040,patch_x10248_y4200,10248,4200,internal_val,HYZ15040:15:6
2,HYZ15040,patch_x10248_y4536,10248,4536,internal_val,HYZ15040:15:6
2,HYZ15040,patch_x10248_y4872,10248,4872,train,HYZ15040:15:7
2,HYZ15040,patch_x10248_y5208,10248,5208,train,HYZ15040:15:7
2,HYZ15040,patch_x10248_y5544,10248,5544,train,HYZ15040:15:8
2,HYZ15040,patch_x10248_y9576,10248,9576,train,HYZ15040:15:14
2,HYZ15040,patch_x10248_y9912,10248,9912,train,HYZ15040:15:14
2,HYZ15040,patch_x10584_y10248,10584,10248,train,HYZ15040:15:15
2,HYZ15040,patch_x10584_y10584,10584,10584,train,HYZ15040:15:15
2,HYZ15040,patch_x10584_y10920,10584,10920,train,HYZ15040:15:16
2,HYZ15040,patch_x10584_y11256,10584,11256,train,HYZ15040:15:16
2,HYZ15040,patch_x10584_y11592,10584,11592,internal_val,HYZ15040:15:17
2,HYZ15040,patch_x10584_y11928,10584,11928,internal_val,HYZ15040:15:17
2,HYZ15040,patch_x10584_y12264,10584,12264,train,HYZ15040:15:18
2,HYZ15040,patch_x10584_y12600,10584,12600,train,HYZ15040:15:18
