pathway,weight_uni2h,weight_virchow2,pcc_unni2h,pcc_virchow2,pcc_fused,improvement_vs_unni,improvement_vs_virchow2
tls,0.75,0.25,0.6051465077949031,0.5629859316213196,0.6104956294073202,0.005349121612417074,0.04750969778600056
tgfb,0.6000000000000001,0.3999999999999999,0.17160181521191414,0.13497714615492717,0.17862486921657802,0.007023054004663881,0.04364772306165085
emt,0.75,0.25,0.5184825056623662,0.43389496915929154,0.5244635511778526,0.005981045515486394,0.09056858201856105
hypoxia,0.45,0.55,0.4005626633719364,0.3991345255826007,0.4215145484877295,0.0209518851157931,0.022380022905128805
mhc,0.75,0.25,0.4363031824182777,0.3982611590213202,0.4392625505129194,0.002959368094641701,0.041001391491599204
icp,0.55,0.44999999999999996,0.30545963749702765,0.29761909823481747,0.31554018136492384,0.010080543867896197,0.017921083130106374
ifng,0.45,0.55,0.12728638659124064,0.12766328040902566,0.13771934071716166,0.010432954125921018,0.010056060308135994
toxic,0.75,0.25,0.5190811453423817,0.4807603478732549,0.5226898247180228,0.003608679375641133,0.04192947684476794
Glycolysis,0.65,0.35,0.5544732140830242,0.5126715933811651,0.562027649352159,0.007554435269134796,0.049356055970993906
Inflammatory_Response,1.0,0.0,0.3342512302720124,0.10400929859442137,0.3342512302720124,0.0,0.23024193167759105
IL6_JAK_STAT3,0.6000000000000001,0.3999999999999999,0.5696270580677516,0.5424797133414839,0.5824128778833727,0.012785819815621102,0.03993316454188878
P53_Pathway,0.75,0.25,0.39949384269226956,0.3655739010323852,0.4017333270383718,0.0022394843461022163,0.036159426005986595
DNA_Damage_Response,1.0,0.0,0.3309065734344224,0.22691847585009975,0.3309065734344224,0.0,0.10398809758432268
Complement,0.6000000000000001,0.3999999999999999,0.354014094498944,0.3266941086098073,0.3653924828337437,0.011378388334799705,0.038698374223936405
Coagulation,1.0,0.0,0.2645282184656439,0.12775154277281803,0.2645282184656439,0.0,0.13677667569282587
Oxidative_Phosphorylation,0.75,0.25,0.6908722202774298,0.627368648325075,0.6943772857455887,0.0035050654681588744,0.06700863742051366
Reactive_Oxygen_Species,0.8500000000000001,0.1499999999999999,0.28071527944445396,0.22240391734472564,0.2818708868532812,0.0011556074088272528,0.05946696950855557
Wound_Healing,0.65,0.35,0.5305559162930366,0.4674191697265193,0.5446855969332542,0.01412968064021769,0.07726642720673493
Fibrosis,0.8,0.19999999999999996,0.6478196008793884,0.5425816509359057,0.6526916794926974,0.004872078613308961,0.11011002855679164
MYC_Targets,0.75,0.25,0.6869771647614876,0.6242243263301824,0.6927775069371293,0.005800342175641626,0.06855318060694682
E2F_Targets,0.9,0.09999999999999998,0.5068027483497033,0.41871623172930583,0.5074568734185503,0.0006541250688469891,0.08874064168924445
G2M_Checkpoint,0.7000000000000001,0.29999999999999993,0.4191510110850309,0.34353343369926964,0.42385690983032615,0.004705898745295256,0.0803234761310565
Mitotic_Spindle,0.75,0.25,0.4140824329648497,0.3394845168483429,0.4167110158783272,0.0026285829134775063,0.0772264990299843
Unfolded_Protein_Response,0.55,0.44999999999999996,0.37974991796549157,0.3694215279997758,0.39199607921435353,0.012246161248861964,0.022574551214577743
mTOR_Signaling,0.8,0.19999999999999996,0.45854427864315533,0.4111169937565207,0.46055131020058954,0.0020070315574342024,0.049434316444068815
Interferon_Alpha,1.0,0.0,0.036431414964087444,-0.002236731405698594,0.036431414964087444,0.0,0.038668146369786036
Angiogenesis,0.9,0.09999999999999998,0.47441476060637566,0.3206369450661338,0.4753917256253714,0.0009769650189957457,0.15475478055923758
Apoptosis,0.7000000000000001,0.29999999999999993,0.2051117724876367,0.16729546490051384,0.21166083834549057,0.006549065857853864,0.044365373444976736
TNF_Signaling,0.45,0.55,0.273525456870192,0.26247892914012483,0.2994756606603901,0.025950203790198134,0.03699673152026528
ECM_Organization,0.8,0.19999999999999996,0.6825660158218746,0.5507226521521366,0.6864927382098216,0.0039267223879470015,0.13577008605768504
