pathway,weight_uni2h,weight_virchow2,pcc_unni2h,pcc_virchow2,pcc_fused,improvement_vs_unni,improvement_vs_virchow2
tls,0.75,0.25,0.6154848177870452,0.5629859316213196,0.6196371147372827,0.004152296950237444,0.056651183115963066
tgfb,0.65,0.35,0.18948450485888044,0.13497714615492717,0.19596637688686946,0.006481872027989027,0.06098923073194229
emt,0.7000000000000001,0.29999999999999993,0.5052040959852239,0.43389496915929154,0.5132573307510114,0.008053234765787565,0.07936236159171989
hypoxia,0.5,0.5,0.4057534457914871,0.3991345255826007,0.4271857354114761,0.021432289619988998,0.02805120982887538
mhc,0.7000000000000001,0.29999999999999993,0.42452267692141316,0.3982611590213202,0.4290371303273041,0.004514453405890961,0.030775971305983918
icp,0.5,0.5,0.3013095365331326,0.29761909823481747,0.3177170671130323,0.016407530579899743,0.020097968878214856
ifng,0.4,0.6,0.1235207291690202,0.12766328040902566,0.1350247286464565,0.011503999477436314,0.007361448237430845
toxic,0.75,0.25,0.5246181645268254,0.4807603478732549,0.5305356273511369,0.005917462824311492,0.04977527947788202
Glycolysis,0.6000000000000001,0.3999999999999999,0.5393944265712047,0.5126715933811651,0.5541847447506505,0.01479031817944576,0.04151315136948541
Inflammatory_Response,1.0,0.0,0.26308989752640327,0.10400929859442137,0.26308989752640327,0.0,0.1590805989319819
IL6_JAK_STAT3,0.5,0.5,0.5496111528896414,0.5424797133414839,0.5695647205735956,0.019953567683954287,0.027085007232111713
P53_Pathway,0.8,0.19999999999999996,0.4052419605358733,0.3655739010323852,0.40779654222747563,0.002554581691602331,0.04222264119509045
DNA_Damage_Response,1.0,0.0,0.3489457592160538,0.22691847585009975,0.3489457592160538,0.0,0.12202728336595406
Complement,0.5,0.5,0.33682735054780655,0.3266941086098073,0.357427069112625,0.02059971856481846,0.030732960502817708
Coagulation,1.0,0.0,0.2708207937959271,0.12775154277281803,0.2708207937959271,0.0,0.14306925102310908
Oxidative_Phosphorylation,0.65,0.35,0.6746014667923387,0.627368648325075,0.6843856632879664,0.009784196495627673,0.057017014962891355
Reactive_Oxygen_Species,0.8,0.19999999999999996,0.2714008412773517,0.22240391734472564,0.27404308123707777,0.002642239959726067,0.051639163892352125
Wound_Healing,0.75,0.25,0.5444987122096845,0.4674191697265193,0.5510266697489068,0.006527957539222307,0.08360750002238748
Fibrosis,0.8,0.19999999999999996,0.6408518681530329,0.5425816509359057,0.6461981089291432,0.005346240776110345,0.10361645799323749
MYC_Targets,0.7000000000000001,0.29999999999999993,0.6811867563832184,0.6242243263301824,0.6901101224589234,0.008923366075705097,0.06588579612874101
E2F_Targets,1.0,0.0,0.5324799193858768,0.41871623172930583,0.5324799193858768,0.0,0.11376368765657097
G2M_Checkpoint,0.75,0.25,0.4269409592790344,0.34353343369926964,0.43051863425242975,0.0035776749733953395,0.08698520055316011
Mitotic_Spindle,0.75,0.25,0.405954160439241,0.3394845168483429,0.4096236442252314,0.003669483785990413,0.07013912737688849
Unfolded_Protein_Response,0.5,0.5,0.3736901912981988,0.3694215279997758,0.3896143871420888,0.015924195843889988,0.020192859142313002
mTOR_Signaling,0.8,0.19999999999999996,0.4639645165354808,0.4111169937565207,0.4661883594010945,0.0022238428656136677,0.055071365644573766
Interferon_Alpha,0.0,1.0,-0.004245280759243379,-0.002236731405698594,-0.002236731405698594,0.0020085493535447847,0.0
Angiogenesis,0.9500000000000001,0.04999999999999993,0.4423582826029858,0.3206369450661338,0.4425791883676078,0.0002209057646219703,0.12194224330147396
Apoptosis,1.0,0.0,0.2265284655167753,0.16729546490051384,0.2265284655167753,0.0,0.059233000616261466
TNF_Signaling,0.30000000000000004,0.7,0.21988521394348334,0.26247892914012483,0.2734283552354573,0.053543141291973934,0.010949426095332448
ECM_Organization,0.8,0.19999999999999996,0.6702881529090128,0.5507226521521366,0.6747300767824592,0.004441923873446441,0.12400742463032266
