Pathway,HisToGene_CrossPatient,HisToGene_CrossPatient_orig,HisToGene_HYZ15040,HisToGene-UNI_HYZ15040,HisToGene_JFX0729,HisToGene_LMZ12939,HisToGene_MultiPatient_3ST,EGNv2_CrossPatient,EGNv2-UNI_CrossPatient,EGNv2_MultiPatient_3ST,EGNv2_HYZ15040,EGNv2-UNI_HYZ15040,EGNv2-UNI_HYZ15040_20260425_000605,EGNv2-UNI_HYZ15040_20260425_000841,EGNv2_JFX0729,EGNv2-UNI_JFX0729,EGNv2_LMZ12939,EGNv2-UNI_LMZ12939
tls,0.5924,0.2783,0.5512,0.7317,0.4610,0.5210,0.5126,0.3259,0.5825,0.3907,0.4946,0.5729,0.5260,0.5576,0.2880,0.4092,0.4526,0.5231
tgfb,0.1647,0.0207,0.1972,0.0986,0.3850,0.1017,0.2570,0.0956,0.1583,0.2283,0.1649,0.3994,0.3548,0.3760,0.3284,0.3858,0.0707,0.1290
emt,0.4903,0.0514,0.6360,0.7547,0.7815,0.5488,0.6620,0.1191,0.3436,0.5435,0.3796,0.7165,0.6440,0.7119,0.6464,0.7325,0.4266,0.5992
hypoxia,0.4050,0.1210,0.4757,0.5025,0.6267,0.6119,0.5913,0.3574,0.4518,0.4233,0.4454,0.5789,0.5257,0.5790,0.4395,0.6161,0.3744,0.5234
mhc,0.4273,0.2703,0.5100,0.7471,0.6055,0.5914,0.5721,0.3386,0.3874,0.4883,0.3009,0.5910,0.5092,0.6016,0.4374,0.5238,0.4961,0.5654
icp,0.2895,0.1979,0.2070,0.4589,0.3288,0.3096,0.3039,0.1636,0.3029,0.2336,0.2560,0.2782,0.2286,0.2753,0.1905,0.2325,0.2392,0.3079
ifng,0.1696,0.0979,0.3915,0.3015,0.6169,0.5565,0.5483,0.0879,0.1097,0.2566,0.0393,0.2481,0.0680,0.3418,0.2558,0.3829,0.2732,0.4335
toxic,0.5093,0.3425,0.5242,0.8051,0.4628,0.4758,0.4797,0.3516,0.5076,0.3232,0.5101,0.5272,0.5692,0.5257,0.2862,0.3109,0.3452,0.4113
Glycolysis,0.5606,0.1798,0.6619,0.6567,0.6166,0.6493,0.6286,0.4181,0.5809,0.4768,0.5844,0.7611,0.7091,0.7538,0.4586,0.6114,0.4556,0.5838
Inflammatory_Response,0.3461,0.1412,0.4782,0.3519,0.6527,0.6490,0.6171,0.0618,-0.1482,0.2351,0.3709,0.5836,0.4384,0.5922,0.2116,0.4979,0.0771,0.4789
IL6_JAK_STAT3,0.5703,0.4125,0.6388,0.8081,0.6834,0.5933,0.6336,0.4740,0.6086,0.5287,0.5448,0.7511,0.7125,0.7442,0.5036,0.6197,0.4867,0.5564
P53_Pathway,0.3902,0.2393,0.3884,0.6428,0.4089,0.4460,0.4365,0.3280,0.3865,0.3824,0.3487,0.4488,0.3496,0.4563,0.3931,0.4645,0.4236,0.4829
DNA_Damage_Response,0.3275,0.1848,0.4575,0.3489,0.2102,0.2294,0.2356,-0.0340,0.0123,0.2574,0.3584,0.4801,0.4715,0.4852,0.2874,0.3058,0.1393,0.2686
Complement,0.3557,0.0135,0.4351,0.4378,0.5964,0.5451,0.5743,0.0721,0.2829,0.3971,0.3589,0.5286,0.4750,0.5379,0.3394,0.5725,0.4007,0.5534
Coagulation,0.2143,-0.2610,0.6493,0.7300,0.6909,0.4500,0.5600,-0.3348,0.2758,0.3453,0.5378,0.6702,0.6202,0.6604,0.4761,0.6272,0.1172,0.3090
Oxidative_Phosphorylation,0.6725,0.4215,0.7576,0.8543,0.7411,0.6324,0.7040,0.4465,0.6572,0.5706,0.7063,0.8324,0.7979,0.8266,0.5533,0.6774,0.5244,0.6368
Reactive_Oxygen_Species,0.2782,0.0981,0.3534,0.2497,0.2980,0.4982,0.3844,0.2086,0.3058,0.2364,0.2654,0.4821,0.3487,0.4751,0.2217,0.3189,0.2664,0.3775
Wound_Healing,0.5294,-0.0176,0.6708,0.3736,0.8608,0.6594,0.7472,0.1439,0.5352,0.5655,0.4569,0.7644,0.6618,0.7586,0.6884,0.7961,0.4524,0.6620
Fibrosis,0.6289,0.0745,0.7560,0.7525,0.8618,0.6979,0.7724,0.1170,0.5402,0.6016,0.4052,0.8263,0.7263,0.8231,0.6909,0.8247,0.5137,0.7185
MYC_Targets,0.6953,0.3056,0.7177,0.8139,0.7746,0.7293,0.7373,0.4425,0.6403,0.5926,0.6714,0.8356,0.7842,0.8403,0.5955,0.7455,0.5564,0.7048
E2F_Targets,0.5094,0.1016,0.4947,0.7505,0.6173,0.6238,0.5802,0.3029,0.3338,0.5189,0.4871,0.6811,0.6552,0.6941,0.4869,0.6227,0.4942,0.5946
G2M_Checkpoint,0.4255,0.1320,0.4922,0.7186,0.6403,0.4204,0.5233,0.1801,0.3140,0.4340,0.4095,0.6222,0.4804,0.6228,0.5065,0.6276,0.3206,0.4319
Mitotic_Spindle,0.4008,0.0956,0.3605,0.5056,0.5872,0.4123,0.4576,0.1613,0.3103,0.3897,0.3117,0.5274,0.4010,0.5420,0.4640,0.6026,0.2669,0.3634
Unfolded_Protein_Response,0.3428,0.3126,0.2935,-0.0214,0.5073,0.4148,0.4320,0.3103,0.3500,0.3950,0.4049,0.5249,0.4715,0.5218,0.3907,0.5079,0.3686,0.4321
mTOR_Signaling,0.4510,0.2590,0.4036,0.5042,0.5511,0.3980,0.4693,0.3521,0.4341,0.4198,0.3184,0.4867,0.3372,0.4795,0.4486,0.5225,0.4038,0.4563
Interferon_Alpha,0.0280,-0.0134,0.5926,0.4804,0.7404,0.7506,0.7059,-0.0706,-0.1430,0.4628,0.3138,0.4110,0.3310,0.4782,0.5155,0.6433,0.5218,0.6597
Angiogenesis,0.4278,0.0724,0.4778,0.3272,0.6271,0.3462,0.4941,0.1410,0.3519,0.3931,0.3222,0.7027,0.5379,0.6953,0.4984,0.6215,0.3052,0.4163
Apoptosis,0.1969,0.1135,0.2311,0.5531,0.2653,0.2425,0.2629,0.1749,0.1640,0.2460,0.1548,0.3277,0.2874,0.3540,0.2237,0.3019,0.2287,0.2407
TNF_Signaling,0.2506,0.1829,0.4396,0.2014,0.5603,0.4409,0.4927,0.3365,0.3956,0.2967,0.3880,0.5605,0.4467,0.5747,0.3418,0.4689,0.1789,0.3615
ECM_Organization,0.6591,0.0880,0.8004,0.7158,0.8978,0.7407,0.8005,0.1870,0.6540,0.6455,0.4223,0.8817,0.7951,0.8745,0.7306,0.8480,0.5695,0.7484
Mean,0.4103,0.1506,0.5014,0.5385,0.5886,0.5095,0.5392,0.2086,0.3562,0.4093,0.3911,0.5867,0.5088,0.5920,0.4299,0.5474,0.3583,0.4843
