pathway,pcc,r2,mae,rank
Oxidative_Phosphorylation,0.6273686483250752,0.3785978576851595,0.6220379463661582,1
MYC_Targets,0.6242243263301823,0.3726743972126263,0.636504193043145,2
tls,0.5629859316213197,0.22816169168952505,0.48099648047978155,3
ECM_Organization,0.5507226521521363,0.19989587637741923,0.5974836921575959,4
Fibrosis,0.5425816509359054,0.18370420441687263,0.5931603054112994,5
IL6_JAK_STAT3,0.5424797133414838,0.2844279450861438,0.6781452787277401,6
Glycolysis,0.5126715933811651,0.2524141104007972,0.6886597392926402,7
toxic,0.48076034787325467,0.16156886431312156,0.5343350303699586,8
Wound_Healing,0.4674191697265195,0.13042130076551062,0.6355071207117062,9
emt,0.4338949691592917,0.09024825195823527,0.6406627177479285,10
E2F_Targets,0.41871623172930594,0.17269379993738965,0.6220247045555104,11
mTOR_Signaling,0.4111169937565208,0.16833738322299863,0.6753140695989605,12
hypoxia,0.3991345255826007,0.13935863417856953,0.7500622179680038,13
mhc,0.3982611590213203,0.15204911278945832,0.7964215346798837,14
Unfolded_Protein_Response,0.36942152799977573,0.1313658308069604,0.7041928711650621,15
P53_Pathway,0.3655739010323852,0.1309996347065433,0.6933705619206659,16
G2M_Checkpoint,0.3435334336992697,0.09199977272743265,0.6094084252590659,17
Mitotic_Spindle,0.33948451684834297,0.09990428243211158,0.6208572812734671,18
Complement,0.3266941086098073,0.025176736179589376,0.6517410123327306,19
Angiogenesis,0.3206369450661339,0.06056817995007446,0.6719163552964295,20
icp,0.29761909823481747,0.040649980863615265,0.45892938720239923,21
TNF_Signaling,0.26247892914012494,0.06329469151439837,0.7701985338540489,22
DNA_Damage_Response,0.22691847585009983,0.028604865239646005,0.6373776868723174,23
Reactive_Oxygen_Species,0.22240391734472567,0.045708322530367496,0.7402695111396234,24
Apoptosis,0.16729546490051386,0.014956303095645107,0.685013992527194,25
tgfb,0.13497714615492715,-0.010979018289270615,0.6658340367356034,26
Coagulation,0.12775154277281808,-0.024743368988144443,0.7615922219781341,27
ifng,0.12766328040902566,-0.008983901932952731,0.659243252463774,28
Inflammatory_Response,0.10400929859442136,-0.02050671753427835,0.8201903204331037,29
Interferon_Alpha,-0.0022367314056985963,-0.20053122997377026,0.8393073051576649,30
