pathway,pcc,r2,mae,rank
MYC_Targets,0.6991151270613706,0.4801830237332976,0.5568414253597664,1
ECM_Organization,0.6941798788840462,0.28618173859355367,0.5711918171078417,2
Oxidative_Phosphorylation,0.6719498635421485,0.44691885510548757,0.5655287662365198,3
Fibrosis,0.6586977607867311,0.2485675875525576,0.5812992097837288,4
tls,0.6092951756161521,0.3107222191242248,0.4461854079787194,5
Wound_Healing,0.5636840321876062,0.15387596338955556,0.6450537403716272,6
IL6_JAK_STAT3,0.5628623874118636,0.3135767583372251,0.6370417400361091,7
Glycolysis,0.5487091750235614,0.2615904422854465,0.6629487955134312,8
emt,0.5305982128914772,0.1369777781713324,0.6241500597676836,9
toxic,0.5177679138226936,0.20901756974448793,0.5018050729222309,10
E2F_Targets,0.5139395358081184,0.2193361761032563,0.5712994803148739,11
Angiogenesis,0.45528889841748,0.16421644613635822,0.6386152403632015,12
mTOR_Signaling,0.4435253719215164,0.19297569850260632,0.6388649378727683,13
mhc,0.42426943351347585,0.14846706766855966,0.745983271398776,14
G2M_Checkpoint,0.4224213384739169,0.13587030872230477,0.5714213690718494,15
Mitotic_Spindle,0.416031156745312,0.14923268264866707,0.5878495898889681,16
hypoxia,0.40703968422331,0.06729852053394147,0.7424317584675141,17
P53_Pathway,0.3889907790168233,0.14433685387605144,0.671164624474116,18
Unfolded_Protein_Response,0.34925977024561033,0.10741292556321491,0.6882048534292128,19
Complement,0.3469527290997094,0.03684316817472011,0.6648082550672579,20
Inflammatory_Response,0.3270545721312102,0.08050490051149817,0.7643988273979021,21
DNA_Damage_Response,0.319858622539952,0.06784370090940728,0.6099585777995266,22
icp,0.3151900692720943,0.06546052116773848,0.44208996952588325,23
Coagulation,0.26447935984886667,0.014481626717467333,0.7613992490474388,24
TNF_Signaling,0.26265883455376243,0.03924407980523037,0.7635450117554838,25
Reactive_Oxygen_Species,0.256082980291992,0.043041448955543626,0.737090171201175,26
Apoptosis,0.19689547850182226,0.0031969059187043625,0.6755423316029171,27
ifng,0.14646236107154942,-0.04759621744404008,0.6918141453358682,28
tgfb,0.1346107361984473,-0.032718107941465346,0.6738844701973785,29
Interferon_Alpha,-0.0011971654381145059,-0.28989297190789665,0.8831578153026177,30
