pathway,pcc,r2,mae,rank
ECM_Organization,0.5836523327780556,0.33537729877804023,0.6950364972797923,1
MYC_Targets,0.5830788480613665,0.31748338775051477,0.6852340023421345,2
Fibrosis,0.558916269275367,0.29526956909582747,0.719481484645165,3
Oxidative_Phosphorylation,0.5283986853231174,0.26293224096333834,0.7085579190751639,4
Interferon_Alpha,0.4920930274100428,0.23092927153676845,0.7236124204059747,5
Glycolysis,0.48439358793897763,0.21247006210245434,0.7361902054833679,6
E2F_Targets,0.46255380347749686,0.20460340647666353,0.6653285806830039,7
mhc,0.43011747081685914,0.12742146695872336,0.6203459182144658,8
hypoxia,0.4137049593382845,0.1610514954590605,0.7967462451787063,9
IL6_JAK_STAT3,0.41328612614298843,0.1614704838773885,0.7543689570379354,10
mTOR_Signaling,0.4016483514946173,0.15477013281484775,0.7462397292645024,11
Wound_Healing,0.3942307364919021,0.1536634364894195,0.7774415671100263,12
emt,0.3910412215284788,0.1349510662584089,0.8098602498898214,13
Complement,0.3786393893251074,0.11185341826718176,0.7089461997889283,14
Mitotic_Spindle,0.3755978532229152,0.11986705598708147,0.6945994783412864,15
G2M_Checkpoint,0.370472097183036,0.11569800197258939,0.6939427348728258,16
Unfolded_Protein_Response,0.3637890655795138,0.12970385860542666,0.7546195935642824,17
P53_Pathway,0.3216841634523442,0.10016491882620793,0.7526365894201837,18
tls,0.318862020088104,0.049068908439030556,0.6395688602856245,19
Angiogenesis,0.31266033288020306,0.08218153542772433,0.76419320281961,20
tgfb,0.26419362032329285,0.055310631358924334,0.792236256250531,21
Apoptosis,0.26062518849639676,0.06609571250458934,0.7593623318773987,22
ifng,0.23922441245459766,0.04207501709699446,0.72588712353154,23
toxic,0.18299399408643935,-0.011583121541358876,0.561118572655423,24
Coagulation,0.16628288673147856,0.014075191147234878,0.8200123281423011,25
Reactive_Oxygen_Species,0.16095481840704584,0.009900579408311572,0.7864482601787656,26
DNA_Damage_Response,0.15628576396596955,-0.0025720536930717852,0.7184924065818592,27
icp,0.13547611471071516,-0.024811608831133425,0.5790883954834651,28
TNF_Signaling,0.1033701331861462,-0.04672276426989108,0.8276204125232403,29
Inflammatory_Response,0.056607314680274974,-0.10577584285445796,0.8498638903575849,30
