pathway,pcc,r2,mae,rank
ECM_Organization,0.5967709697202407,0.35457347704755926,0.6792446002822187,1
Fibrosis,0.5663081803522799,0.31906916770722515,0.6971081358571193,2
MYC_Targets,0.5494708926450798,0.2978792926721787,0.6790142148370043,3
Oxidative_Phosphorylation,0.5243966638435945,0.2654003345531205,0.6867430056728612,4
Glycolysis,0.44888298498238294,0.19707402833183352,0.7309658377230246,5
Wound_Healing,0.42975396860017023,0.17595304050025518,0.7651933441653608,6
E2F_Targets,0.425077283354608,0.1528790682606309,0.6679658267158809,7
emt,0.4221883710715051,0.1774966238218273,0.7793861099395281,8
Interferon_Alpha,0.41999360425549487,0.16410035106946264,0.7552043116913103,9
Angiogenesis,0.4170288688901979,0.15782796322367032,0.7300147507317918,10
Complement,0.41196185966331034,0.16647241636758137,0.7049323035449778,11
IL6_JAK_STAT3,0.40713771315487063,0.1432580094771968,0.7551903728517715,12
hypoxia,0.39536465923360276,0.1557840731780572,0.7982902930560014,13
mTOR_Signaling,0.3929012196587663,0.14027025378964553,0.7331157024389986,14
mhc,0.37936903780703574,0.11487019213388305,0.7121160200252316,15
G2M_Checkpoint,0.3771322386587084,0.09997790348575486,0.6867803492531062,16
Unfolded_Protein_Response,0.35263941991516945,0.11077696773727819,0.7478451320889726,17
Mitotic_Spindle,0.35037860917499986,0.09189935590725806,0.69862520219967,18
tls,0.30981698266926855,0.07621003984935404,0.6553090746990144,19
P53_Pathway,0.30493633054927555,0.07171229267714141,0.7569906504956166,20
tgfb,0.2456457702137616,0.050845227723092856,0.7963640496578575,21
Apoptosis,0.23946832315876737,0.046674205613281616,0.7641463134138893,22
ifng,0.2097862500877242,0.0036657443460066386,0.7363444470933662,23
TNF_Signaling,0.19849894794027984,0.00820098189508267,0.8120552907718079,24
Reactive_Oxygen_Species,0.18269537507531095,0.014912818782527038,0.7829332215413148,25
toxic,0.17158046792970919,-0.002910488841614045,0.5762640093774918,26
icp,0.15954580066368887,0.0044559060632808345,0.6004106332311138,27
Coagulation,0.14030792925402913,0.004582553952924728,0.8376445153185923,28
DNA_Damage_Response,0.12472279763432789,-0.015120752409645277,0.7197622400252096,29
Inflammatory_Response,0.08159761889535415,-0.07742465610883009,0.841557239876074,30
