pathway,pcc,r2,mae,rank
ECM_Organization,0.6190261493597091,0.3525630063944495,0.6515297936798714,1
MYC_Targets,0.6059281230522494,0.3156381062080962,0.6060023359976561,2
Fibrosis,0.5860047740957557,0.30191878662666294,0.6799684566857074,3
Oxidative_Phosphorylation,0.5493592445387064,0.26983414006463924,0.613778235366008,4
E2F_Targets,0.5181520255925879,0.2483005113539416,0.625462545849498,5
Wound_Healing,0.5072521240567668,0.22297751229071894,0.7078969528180069,6
mhc,0.4989553800783907,0.24229947723309275,0.7271466696274372,7
Glycolysis,0.47860884591723857,0.17645542691951166,0.6516773843060162,8
IL6_JAK_STAT3,0.47765629346625327,0.1890810412421573,0.6871008162282869,9
tls,0.47005498400029216,0.21889412742265013,0.5276353993824678,10
Complement,0.45056681088660056,0.19517967433024852,0.6785408460298362,11
mTOR_Signaling,0.4354305670509747,0.17238629821284646,0.6413978190966836,12
emt,0.430585010816661,0.17114704386053337,0.7235491191919899,13
P53_Pathway,0.3997134070128728,0.1532392873932702,0.6724636685305797,14
hypoxia,0.37289126430507863,0.09737123809621928,0.6842565991957129,15
toxic,0.3523641732123433,0.11113974401542237,0.5345874596637276,16
Unfolded_Protein_Response,0.35013088332433323,0.10670264497704118,0.6808853773476974,17
Angiogenesis,0.3468299586961133,0.11495423253283554,0.6770096829715013,18
Interferon_Alpha,0.31588605483191085,0.09941335363558501,0.7983541188235201,19
G2M_Checkpoint,0.3081739943060067,0.07293242310452708,0.6112146148079303,20
Mitotic_Spindle,0.2724966689277069,0.055340115073182705,0.649054673809449,21
Inflammatory_Response,0.25376508276673376,0.043484541052908776,0.6769884195030571,22
icp,0.22701249369953666,0.0401598327535444,0.5043791669859585,23
Reactive_Oxygen_Species,0.22248897648036417,0.03647849316071283,0.7360517414882093,24
Apoptosis,0.21335520453789866,0.040513117380253205,0.687613042554166,25
ifng,0.19864280911280718,0.030921949827370843,0.7572815088524472,26
TNF_Signaling,0.18136778976184126,-0.028464146175133376,0.7288075611763103,27
DNA_Damage_Response,0.14816917064711868,0.012009687425966753,0.6785117538889505,28
Coagulation,0.10543404578736791,-0.1073647952733221,0.8342187320615624,29
tgfb,0.10276968455003865,-0.018852508975242488,0.7038691874217571,30
