pathway,pcc,r2,mae,rank
MYC_Targets,0.6255858203248675,0.3704410006354538,0.5910715573449861,1
ECM_Organization,0.6044554201233109,0.36015066125000117,0.6373631403218275,2
Fibrosis,0.5998191557807244,0.35399399432123524,0.6361983506398309,3
Oxidative_Phosphorylation,0.5642884236616513,0.2931608806894579,0.5997690765161532,4
mhc,0.5038834025984983,0.24379598627321475,0.6813540811888833,5
tls,0.49173666662876436,0.24071115756938188,0.48731025882752554,6
Glycolysis,0.49167841350262487,0.1905404973434779,0.6486535426793517,7
IL6_JAK_STAT3,0.47087018217764176,0.20151122511708075,0.6921952827988087,8
Wound_Healing,0.4704322115859581,0.22034027477427542,0.6995755162158246,9
Complement,0.45694836965856767,0.20461526714037204,0.6698802421506875,10
E2F_Targets,0.4515666941809089,0.1859799292750023,0.6624485525528209,11
mTOR_Signaling,0.42830265610491847,0.166269613850478,0.6434374403081499,12
emt,0.4188997114334947,0.1702792650622692,0.7117594487180704,13
hypoxia,0.41203553920828734,0.10045309934328328,0.6760602007287807,14
P53_Pathway,0.4034172185624532,0.1567574524042551,0.6719389276910952,15
toxic,0.3610690940517937,0.12308636308865417,0.49510137911594304,16
Unfolded_Protein_Response,0.3586533051542996,0.10950455872064357,0.6760622747914813,17
Interferon_Alpha,0.35693236494565245,0.12353362221407871,0.7733227222821311,18
Angiogenesis,0.3530360408190194,0.11245569421325696,0.6736855313970598,19
G2M_Checkpoint,0.30162882543381536,0.0563078192618065,0.6035506096772754,20
Inflammatory_Response,0.280531287255672,0.04950194840157962,0.677769129470955,21
Mitotic_Spindle,0.2535934876601418,0.03361442045164531,0.6470785816605085,22
icp,0.24415010531890466,0.05149107255652052,0.48944366715040144,23
Reactive_Oxygen_Species,0.2370423625667376,0.04796937399302981,0.7379812509946733,24
Apoptosis,0.23059679216025167,0.03967626499589505,0.678386485780395,25
ifng,0.21023509827849038,0.01625081981275145,0.7374189875161721,26
TNF_Signaling,0.20428625772429798,-0.022627394088073904,0.7288772670901398,27
Coagulation,0.1277952018257137,-0.1571611614765176,0.8188795919282603,28
DNA_Damage_Response,0.12355340569984018,-0.00870904701254993,0.662573194850382,29
tgfb,0.09814698955851792,-0.021592031101545173,0.6931985252712769,30
