pathway,pcc,r2,mae,rank
ECM_Organization,0.6500980478444325,0.32056250363075967,0.5551059322273433,1
MYC_Targets,0.6366314939869103,0.3924540656091029,0.6013717078944971,2
Oxidative_Phosphorylation,0.6330786038026833,0.3943608881541323,0.5919593826594651,3
Fibrosis,0.6231669241652802,0.2632481035083246,0.5752376565003616,4
tls,0.576946761950879,0.27058694390086646,0.4525023485960451,5
IL6_JAK_STAT3,0.5447493887628584,0.2946045626346818,0.6552497478142912,6
Wound_Healing,0.5183194160661916,0.17669244819696217,0.6308554846161581,7
Glycolysis,0.511197162264611,0.2457598417690342,0.6640714615557439,8
toxic,0.5067449788382639,0.19888566276704978,0.4952006351857535,9
E2F_Targets,0.49810362373710654,0.24635692513418073,0.5893156049512267,10
emt,0.4897475432113029,0.1624279762440154,0.6247745251353296,11
mTOR_Signaling,0.45772880802231414,0.20384751582698535,0.630903655453823,12
mhc,0.4435696665096965,0.18388154593560935,0.7362650941683955,13
Angiogenesis,0.43613111572930974,0.1568530145963225,0.6402088037062863,14
hypoxia,0.4128048546091621,0.1192751438442845,0.7183262169048399,15
P53_Pathway,0.396857159921208,0.1532054114009812,0.6701744792158782,16
G2M_Checkpoint,0.3886556421859837,0.1499473550970153,0.5950421664886327,17
Mitotic_Spindle,0.38192480426968134,0.14518094028439166,0.610763711722595,18
Unfolded_Protein_Response,0.3792400771511287,0.12778397540804398,0.6721191763967345,19
Complement,0.3329912186750972,0.039227987293522726,0.6791768590573861,20
DNA_Damage_Response,0.323355467621944,0.09499342235790009,0.6257897317285548,21
icp,0.29151113438377413,0.033113238075714424,0.4328639147086554,22
Reactive_Oxygen_Species,0.24647988618689895,0.05267570289656798,0.7338218842232166,23
TNF_Signaling,0.23234411200545083,0.0375284481400211,0.7739520198132205,24
Inflammatory_Response,0.22772646825954068,0.015550957898337603,0.7914371186686419,25
Apoptosis,0.2224974872518384,0.03572539813465481,0.6765719520494953,26
tgfb,0.19462968313920917,0.022746224263249237,0.6648617925024765,27
ifng,0.1301273396977423,-0.050773699695842334,0.689726722698354,28
Coagulation,0.10368718569360835,-0.11052282792572665,0.7790759530184659,29
Interferon_Alpha,-0.03135620531598263,-0.33507787023620983,0.9057801222922411,30
