pathway,pcc,r2,mae,rank
MYC_Targets,0.6886695572950212,0.45794057406895894,0.5774800238048474,1
Oxidative_Phosphorylation,0.6743141786687906,0.4460228975333662,0.5709853206729271,2
ECM_Organization,0.6725283092602071,0.36016060382377524,0.5322138967695104,3
Fibrosis,0.6382397892957881,0.3238203794033727,0.543304761100339,4
tls,0.6017071350101818,0.3039000122708472,0.4313309394363932,5
Glycolysis,0.5554272048749194,0.2887628659471926,0.6597885540981017,6
Wound_Healing,0.5445226431186041,0.203156344670833,0.6152689329307345,7
IL6_JAK_STAT3,0.5440507961765512,0.2914926331202934,0.6530459683431488,8
E2F_Targets,0.5241364052468682,0.27266136105457783,0.5649409312809754,9
toxic,0.5172736766867975,0.20351838318541304,0.4909964238736309,10
emt,0.5002753599076872,0.17690923482500343,0.6097730505325611,11
Angiogenesis,0.46890438744267643,0.19537625617893606,0.6299240850893408,12
mTOR_Signaling,0.45680237937447166,0.20642664708767078,0.6370117243112882,13
G2M_Checkpoint,0.4482759481582617,0.20030207774625286,0.5798365823581393,14
mhc,0.4301388307465226,0.16519681130667907,0.7569671887019608,15
Mitotic_Spindle,0.4288629203617261,0.18313759711339317,0.5982664250199473,16
hypoxia,0.411160155369986,0.12411347597100664,0.7280099004878945,17
P53_Pathway,0.39288282277058545,0.1478608575362229,0.6693135904780331,18
Unfolded_Protein_Response,0.35762260912220356,0.12025318074677005,0.6886892258607645,19
Complement,0.3496465078648812,0.03140909534734293,0.6576907427311112,20
DNA_Damage_Response,0.33855845694436676,0.10193092431597217,0.6100823336267469,21
Inflammatory_Response,0.31556495104514665,0.05407100520791752,0.7684931560638945,22
icp,0.3123766467216185,0.05539885517075005,0.43190070273256875,23
Reactive_Oxygen_Species,0.28063844081234063,0.07105998800299818,0.7260010095735744,24
Coagulation,0.243924179753014,-0.014003500521406753,0.7478486338636723,25
TNF_Signaling,0.2344223104417946,0.0041504249776775914,0.768740330965563,26
Apoptosis,0.20804473289130893,0.024795681577114426,0.6801609153069417,27
tgfb,0.14939419883713234,0.01134766316620417,0.6706452267689681,28
ifng,0.11541325625243505,-0.07448304143343454,0.6616050000852053,29
Interferon_Alpha,0.05210848525823586,-0.2441855024826416,0.8614195766772579,30
