pathway,pcc,r2,mae,rank
ECM_Organization,0.6538151210886063,0.28234646126735896,0.5570727104502825,1
Fibrosis,0.6270468435139954,0.2352646593944886,0.5674272609076836,2
Oxidative_Phosphorylation,0.6244521829897823,0.38697046634558774,0.6048639967353596,3
MYC_Targets,0.6232761137494683,0.3851677270228232,0.6164858974800941,4
tls,0.5903567555839477,0.29294657551178094,0.46196407828754427,5
Wound_Healing,0.5547752727109203,0.17428808234342497,0.6166395245905084,6
IL6_JAK_STAT3,0.5442453492726015,0.2861134894952474,0.658376299211435,7
toxic,0.5102767869158681,0.2004426681269027,0.5027778523126365,8
Glycolysis,0.5072343095715479,0.251836548324643,0.6778337389384482,9
emt,0.49840178718178546,0.14791440520302468,0.6084604740126741,10
E2F_Targets,0.48508404273748457,0.21146307286218302,0.5893735468524031,11
mTOR_Signaling,0.4490606790466859,0.19999706582816423,0.647977629185322,12
mhc,0.4300029635207709,0.16505363715886656,0.7805852349873634,13
Angiogenesis,0.4167171376087501,0.12205235631413958,0.6510009907888362,14
hypoxia,0.3891441601637184,0.13031851139535344,0.7281002880156648,15
P53_Pathway,0.3869609580404306,0.1294544215313863,0.668830244605406,16
Unfolded_Protein_Response,0.3855272357891295,0.1322908654240622,0.6838892597652693,17
G2M_Checkpoint,0.37689268573301354,0.1198498191010301,0.5933402645216949,18
Mitotic_Spindle,0.3627537291550311,0.1179515548797152,0.613652044619936,19
Complement,0.3507395071315188,0.05087497373288841,0.6491782067354276,20
DNA_Damage_Response,0.3018242643681982,0.07099939791221,0.6293855050416237,21
icp,0.29247059734762265,0.044078338797044925,0.4482711649640716,22
Reactive_Oxygen_Species,0.277489773844347,0.07444206251930874,0.7185878750981921,23
Inflammatory_Response,0.23684643630222105,0.0437651335628132,0.7887352035860565,24
TNF_Signaling,0.2289690997056928,0.04457933232303313,0.7787286647863615,25
Coagulation,0.1944260427126491,-0.008801553148642283,0.7327393684216235,26
Apoptosis,0.1936054581598716,0.02136850533101564,0.6775390494991307,27
ifng,0.12369477637307541,-0.03622012052623269,0.6496676296538493,28
tgfb,0.12262159504655706,-0.02022392271921425,0.6688083582893728,29
Interferon_Alpha,-0.00970896874626309,-0.20331017693267417,0.8289626424501055,30
