pathway,pcc,r2,mae,rank
ECM_Organization,0.6911679955270127,0.3253104090690613,0.5935367345809937,1
MYC_Targets,0.6619740931655493,0.4288538694381714,0.570217490196228,2
Oxidative_Phosphorylation,0.6444160719045308,0.4073954224586487,0.5633294582366943,3
Fibrosis,0.6385703518560778,0.22613173723220825,0.6288096904754639,4
tls,0.6358893083493993,0.3831431269645691,0.45932018756866455,5
Wound_Healing,0.5535057802634449,0.1460246443748474,0.6658451557159424,6
IL6_JAK_STAT3,0.5524849538349084,0.3015623688697815,0.6400734782218933,7
Glycolysis,0.5215187893252125,0.23957008123397827,0.6683272123336792,8
emt,0.5152306511568667,0.15227270126342773,0.6383242607116699,9
E2F_Targets,0.5125705275524833,0.2495044469833374,0.5820622444152832,10
toxic,0.49492179542837034,0.2295195460319519,0.4999435544013977,11
mhc,0.4589004244252746,0.18243074417114258,0.7513426542282104,12
mTOR_Signaling,0.4557884646494156,0.20182383060455322,0.6441149711608887,13
Angiogenesis,0.43414591663136043,0.16466742753982544,0.6440691947937012,14
G2M_Checkpoint,0.42786168933614316,0.17300313711166382,0.5969716906547546,15
Mitotic_Spindle,0.4168840851959289,0.16837340593338013,0.6073901057243347,16
P53_Pathway,0.4077192905135028,0.16457903385162354,0.6724320650100708,17
hypoxia,0.38957187612605515,0.11610639095306396,0.7290918231010437,18
Complement,0.37766276441210145,0.04445391893386841,0.6873932480812073,19
Unfolded_Protein_Response,0.36801047649572144,0.12400764226913452,0.6807004809379578,20
DNA_Damage_Response,0.3368130940205925,0.11244302988052368,0.6240029335021973,21
icp,0.29830047654314196,0.08274543285369873,0.4997009038925171,22
Reactive_Oxygen_Species,0.2572422564197254,0.05904507637023926,0.73623126745224,23
Apoptosis,0.23708221986235112,0.051346421241760254,0.683298647403717,24
Inflammatory_Response,0.19792552673000466,-0.04367625713348389,0.8286489844322205,25
tgfb,0.19725826387741568,0.027560949325561523,0.6806546449661255,26
Coagulation,0.18415860209439083,-0.10991168022155762,0.7654035091400146,27
TNF_Signaling,0.18053014992077304,-0.0009535551071166992,0.7974993586540222,28
ifng,0.14050994085540766,-0.06198596954345703,0.702151358127594,29
Interferon_Alpha,0.014278431798885651,-0.28609931468963623,0.9014050960540771,30
