pathway,pcc,r2,mae,rank
ECM_Organization,0.7892405983900199,0.6072519024743641,0.42183499506037736,1
Oxidative_Phosphorylation,0.7879695378434406,0.6035399320152899,0.46715066486075474,2
MYC_Targets,0.783522965442959,0.6075085762451027,0.45038041095094344,3
Fibrosis,0.7154316077954328,0.4953946066992939,0.45890183913433963,4
IL6_JAK_STAT3,0.6949604246049136,0.4726820385978726,0.5657291863675471,5
Glycolysis,0.6799526765028375,0.46114898473961774,0.5280001088890566,6
Coagulation,0.6462509101721887,0.39158294127176163,0.5184550650720754,7
Wound_Healing,0.6121296383230453,0.34387370896078284,0.5074955474128302,8
emt,0.6118340098197514,0.3563507568855677,0.5125273601320753,9
toxic,0.5802763729280377,0.3322489458042682,0.33415383328867926,10
tls,0.5645723718718316,0.3103323617378202,0.36838341130490565,11
E2F_Targets,0.5641442073737687,0.31626926918566256,0.5176702199067924,12
hypoxia,0.5450199741056424,0.28974862559267944,0.5917932182513207,13
mhc,0.5229502974632748,0.2686494780987053,0.6685856324958491,14
Inflammatory_Response,0.5066511645263837,0.2511662467742176,0.6485875923924529,15
Angiogenesis,0.47873817051587,0.18947211051332524,0.6235826542622641,16
G2M_Checkpoint,0.4725262553816957,0.21260111944066118,0.5289161765307547,17
TNF_Signaling,0.4528574021970049,0.19585363373562126,0.7446166771913207,18
Complement,0.44777628684280324,0.18695450979817707,0.504385653008302,19
DNA_Damage_Response,0.44511851461820917,0.19792864372121155,0.5188527450841509,20
Unfolded_Protein_Response,0.4282101476758985,0.1730114744080039,0.6152547685247168,21
Interferon_Alpha,0.41070267564165397,0.16727369898383027,0.5886723314839623,22
P53_Pathway,0.3952510744144137,0.15110529699276065,0.7376388248449056,23
mTOR_Signaling,0.3710714757129653,0.13203939277868315,0.6334823083671699,24
Mitotic_Spindle,0.35457944109489625,0.09936222618914303,0.5830588829652831,25
Reactive_Oxygen_Species,0.34487597591477337,0.10177732989520416,0.6867888260369811,26
tgfb,0.2609711038422035,0.0595949195778992,0.6606790062972832,27
icp,0.25512876443160015,0.02786828610965364,0.3931944994672981,28
ifng,0.23450406251633293,0.041134827562326115,0.5100936994874716,29
Apoptosis,0.21817842939501847,0.023887352097279768,0.6363126298431697,30
