pathway,pcc,r2,mae,rank
Oxidative_Phosphorylation,0.7916530378767496,0.6104199028033911,0.4443777963230189,1
ECM_Organization,0.7862662893867263,0.6114400639851607,0.43246852647622647,2
MYC_Targets,0.770015156243751,0.58114944995086,0.4342250465969811,3
Fibrosis,0.7101321407751402,0.49480440980363627,0.4726833631196227,4
IL6_JAK_STAT3,0.7045245609277856,0.4878513698256276,0.5346914471162265,5
Glycolysis,0.6812913500827865,0.46241568823777235,0.5237295101415095,6
Wound_Healing,0.6442389436758678,0.41402218897922527,0.4851479267028679,7
emt,0.6383477297490124,0.39296377579487307,0.5476060532509435,8
Coagulation,0.6288745754556071,0.39524261538875705,0.5514069450626415,9
tls,0.5643150057674478,0.3130143712245672,0.418018360654717,10
E2F_Targets,0.5588637204444602,0.30121457733461654,0.5250580988135849,11
hypoxia,0.5551228106839909,0.30578759300572544,0.59164067454,12
toxic,0.5550011250916815,0.2905476322335734,0.3525859763562264,13
G2M_Checkpoint,0.5185559243595828,0.26693276970922253,0.5191246947909435,14
mhc,0.5180636585474498,0.2665199280318511,0.6666911696037736,15
Angiogenesis,0.49558768316052526,0.24057052029599058,0.6325826527927925,16
Inflammatory_Response,0.4910903671240011,0.1950317499687778,0.6644576383328301,17
DNA_Damage_Response,0.4720068810180913,0.22255018627426537,0.5041449001845282,18
Complement,0.4522362206243083,0.1761638735316955,0.5348473967166039,19
TNF_Signaling,0.44116637474615517,0.1532014091726025,0.7447477964792454,20
Unfolded_Protein_Response,0.4264054244738268,0.17383186873993195,0.6201325267989435,21
P53_Pathway,0.3869375203894436,0.14455077848140452,0.7274929008973585,22
Interferon_Alpha,0.3839840554079,0.1449721387196129,0.5963949023609433,23
mTOR_Signaling,0.3773929410397978,0.11600975197229857,0.625322165385132,24
Mitotic_Spindle,0.3685481070817994,0.09129069269620216,0.6105754060675472,25
Reactive_Oxygen_Species,0.3502932754021601,0.11517261762703013,0.6791086108633961,26
Apoptosis,0.2990524475671348,0.08717104162341172,0.648023189699019,27
tgfb,0.26585063273795473,0.06624691983305653,0.6510035806981133,28
icp,0.24155201702724693,0.010533000059783859,0.40962043847509433,29
ifng,0.1280359715710259,0.002963578967418279,0.5687513201373585,30
