pathway,pcc,r2,mae,rank
Oxidative_Phosphorylation,0.7979182811275455,0.6281068553209381,0.44260909238679247,1
ECM_Organization,0.7871526799249148,0.6183595777789117,0.4120622956981132,2
MYC_Targets,0.7865059827058944,0.6126288935933792,0.4189565546490565,3
Fibrosis,0.715170067544531,0.5080081602240478,0.4539325272935849,4
IL6_JAK_STAT3,0.6914047245961994,0.4758377959355975,0.5489346602045284,5
Glycolysis,0.6805138051282941,0.4616200015947909,0.5230369976022642,6
Coagulation,0.6434311065916768,0.4022816826909523,0.5183109850369811,7
Wound_Healing,0.632229423269794,0.3879928578791755,0.4929477853954717,8
emt,0.628221423741735,0.389937125503782,0.5184834728849057,9
E2F_Targets,0.5864124305305622,0.3431040458842072,0.493942186361132,10
tls,0.5686648441111793,0.3151723783687309,0.3760523151475472,11
toxic,0.5586799055938525,0.29886592167385495,0.3346453604098113,12
hypoxia,0.5466361718108154,0.2962306709533339,0.5819177477107925,13
mhc,0.5086104950962134,0.2482815653753685,0.6576326692283019,14
Angiogenesis,0.49843529420834454,0.24037614560479903,0.6145165576056605,15
G2M_Checkpoint,0.48965377233813007,0.23322410714937802,0.5100932153173585,16
TNF_Signaling,0.47032063946719577,0.20062393535562573,0.7510507137090566,17
Inflammatory_Response,0.456281603706139,0.1972994438919463,0.6921033372413963,18
DNA_Damage_Response,0.4396868083599495,0.18957262947723774,0.5162856756770566,19
Complement,0.43040279317514263,0.16335573679995985,0.5169471805698114,20
Interferon_Alpha,0.41082462573109835,0.16813777903817373,0.5964274534718869,21
P53_Pathway,0.37983999555688586,0.13236392525854357,0.7290161803522641,22
mTOR_Signaling,0.37436107738301855,0.10607481064886659,0.6340870687169812,23
Reactive_Oxygen_Species,0.37194910713100643,0.13696903209478062,0.679368262114717,24
Unfolded_Protein_Response,0.3630353762088043,0.11626616600593254,0.6319685841654716,25
Mitotic_Spindle,0.33134821978193285,0.07344029960915188,0.6033809108871698,26
tgfb,0.28959527118341194,0.06826962650430235,0.6508463782362265,27
icp,0.2559157961881513,0.017474829662381675,0.3913018116664151,28
Apoptosis,0.24807629452460642,0.05529074974612147,0.6374680230235472,29
ifng,0.20641746374302872,0.033825542286150534,0.5045962702603773,30
