pathway,pcc,r2,mae,rank
MYC_Targets,0.6022446649640372,0.343032535305257,0.6602561038391168,1
ECM_Organization,0.5953594558934776,0.3402366008457295,0.684464850192701,2
Fibrosis,0.5813826290517654,0.32965597368556276,0.68884708349752,3
Oxidative_Phosphorylation,0.5670588815829722,0.2962188013407373,0.6751763323222721,4
Glycolysis,0.5057131401739765,0.2374540687465846,0.7137780847063647,5
E2F_Targets,0.45892433416743794,0.177511355650119,0.6656965590364314,6
IL6_JAK_STAT3,0.4534904914557224,0.20377798542246517,0.7302820474595684,7
mTOR_Signaling,0.4515171172279744,0.18949312848315347,0.7169552786046198,8
emt,0.44704527462395854,0.19749656713256425,0.7659705072894705,9
Interferon_Alpha,0.44444614345846695,0.19330100352696966,0.7462461323321647,10
hypoxia,0.4391647916940641,0.18673808370437528,0.7823510866279634,11
mhc,0.43396183540205907,0.17746306209958929,0.6072077231931927,12
Complement,0.4310934967681405,0.17594608106630094,0.6966128686994693,13
Wound_Healing,0.4251790956447963,0.15174911336569752,0.7732961165413915,14
Angiogenesis,0.4242468847827215,0.17480934428306316,0.7300945488541554,15
G2M_Checkpoint,0.40404634598066397,0.10806727268434102,0.6689986366592447,16
Mitotic_Spindle,0.3979027185704998,0.1147286751808364,0.6823301461743595,17
Unfolded_Protein_Response,0.3920488000868826,0.14679504339506122,0.73963388955561,18
P53_Pathway,0.3368669922873928,0.11097777961853961,0.7480121647474721,19
tls,0.3322480234950512,0.09503201563794061,0.647533162765083,20
tgfb,0.25770910234288685,0.03854009485059828,0.7937961764841392,21
Apoptosis,0.2285028526478864,0.03882052045268769,0.7660721105653113,22
toxic,0.2254314491550536,0.020706305036717998,0.546450570021568,23
TNF_Signaling,0.20642574308416173,0.018076342023136904,0.7984108434336141,24
ifng,0.19498905129820082,0.000809440997337707,0.753053850945523,25
Reactive_Oxygen_Species,0.18379561605872205,0.01759991649614534,0.7793054977658954,26
DNA_Damage_Response,0.18230935463740122,0.009319565232921767,0.709232799926313,27
icp,0.17157475500152522,0.0003474449989866457,0.5785605423572984,28
Inflammatory_Response,0.1289581587091832,-0.0294022433394332,0.8144011203100575,29
Coagulation,0.12724171309864,-0.00542192910571937,0.8454341691607421,30
