pathway,pcc,r2,mae,rank
MYC_Targets,0.6862107180056922,0.41998256879990903,0.6038192862414125,1
Oxidative_Phosphorylation,0.6775610665232186,0.43332873194554,0.5876108707538757,2
ECM_Organization,0.674898556679755,0.3294256777229797,0.5366551145355857,3
Fibrosis,0.6414928926926838,0.292709564557457,0.5462142967721582,4
tls,0.6182933421047584,0.3129571915573405,0.43972071681321656,5
Glycolysis,0.5623020818406284,0.25569845122421075,0.6802919974904558,6
IL6_JAK_STAT3,0.5566347813046923,0.3095866784582112,0.6494356622705161,7
Wound_Healing,0.5457866706555057,0.18615094766165985,0.6208596211042184,8
toxic,0.5234036579198154,0.19601234139894208,0.5119576754208873,9
emt,0.5057894649447702,0.17654172906696775,0.6002892143434652,10
E2F_Targets,0.48831089822193746,0.230599581813701,0.5803930051903541,11
Angiogenesis,0.4694603978536081,0.17814903226424472,0.6318409486439247,12
mTOR_Signaling,0.4468931043140345,0.1987536091578893,0.6521216922850885,13
mhc,0.43290937714115996,0.16553475619546132,0.7740462218948061,14
G2M_Checkpoint,0.4139772636925068,0.16889275962040284,0.5838217427956114,15
hypoxia,0.4092496039042511,0.06867439334596048,0.7511859139758418,16
Mitotic_Spindle,0.4021018723439621,0.15912518421863142,0.6041495159767383,17
P53_Pathway,0.38578347785339145,0.14692824021439788,0.6781462090262926,18
Unfolded_Protein_Response,0.3494614717394851,0.12007696669411128,0.6995811896389642,19
Complement,0.3362222822962846,0.05044232839276186,0.6582941860875481,20
DNA_Damage_Response,0.3299762927878278,0.09755651591154646,0.6098322255446034,21
Inflammatory_Response,0.31288971140917937,0.08333600342500203,0.7693324921974478,22
icp,0.3096187939435748,0.05586853755043286,0.44819411637119216,23
Reactive_Oxygen_Species,0.2925686213842299,0.05794762219561367,0.7449416084835404,24
Coagulation,0.2746466095424738,0.04090615882388804,0.7335996621849717,25
TNF_Signaling,0.2700858955228935,0.06527756925807171,0.774248012184589,26
Apoptosis,0.22894310975765453,0.0380105778872174,0.6685754896177816,27
tgfb,0.18179780093906367,0.020495278059399546,0.6645937993565865,28
ifng,0.14461059961469258,-0.023785602645759907,0.6708111135633861,29
Interferon_Alpha,0.06382035043415238,-0.19753591073321464,0.8433498826165574,30
